@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,11,14-19,23-27,30-33,36,38,40-41,43-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute floatShares numeric
@attribute sharesPercentSharesOut numeric
@attribute heldPercentInsiders numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
22,5,144464904192,4.326586,10.83,14700000256,47.689,10225000448,12014999552,0.807,0.007923,0.2875,304622234,0.0101,0.00253,36.371253,0
17,7,89077145600,3.771984,1.95,50273001472,185.34,7743000064,10618999808,0.737,0.017665,0.3922,251745725,0.01,0.00508,22.224832,2
11,2,5653899776,1.96965,3.387,2824026880,13.425,1334104064,4090802944,0.411,0,0,161164744,0.0345,0.12613,25.196078,1
30,6,46505623552,7.004123,13.539,2968217088,18.248,2243760128,85448000,5.479,0,0,150420023,0.0325,0.08521,58.501031,2
27,2,19853010944,4.538702,1.876,10904036352,90.031,6443886080,1762717952,0.832,0,0,109026169,0.0725,0.04617,11.427304,4
15,5,46349918208,10.724977,10.151,4827668992,23.218,1834992000,13471129600,0.469,0.029029,2.3295,213506722,0.0332,0.12295,80.607955,2
15,2,10920685568,3.734331,1.419,12012999680,102.325,2679000064,6703000064,0.643,0.011046,0.2147,110880677,0.052,0.00903,19.755789,1
24,7,68154208256,5.343846,6.185,14122999808,7.492,6537999872,19811000320,0.67,0.014171,0.3312,1857847080,0.0153,0.00247,23.766234,1
15,10,42297008128,2.536742,5.887,11134000128,22.335,3936000000,23433000960,0.556,0.029168,0.6212,497817082,0.0175,0.00115,21.401515,3
1,9,1179949696,2.149954,2.291,520936992,17.346,196667008,113648000,1.874,0.003901,0.0758,28981135,0.0154,0.02152,18.971564,0
4,7,2974189568,27.797457,0.721,4992999936,100.869,838000000,1035000000,0.361,0.01737,0.3584,29721490,0.0509,0.01556,20.890785,3
