@relation 'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,11,14-19,23-27,30-33,36,38,40-41,43-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute floatShares numeric
@attribute sharesPercentSharesOut numeric
@attribute heldPercentInsiders numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
1.16693,5,1.964575,0.34115,1.121652,0.987604,0.516162,0.795898,1.12517,-0.322882,-0.318083,-0.084777,0.908425,-1.8352,-0.556711,0.638345,0
0.555429,7,1.662882,0.200358,-0.351581,1.699188,1.571352,0.507606,1.067421,-0.416257,0.139419,0.069917,0.744433,-1.84803,-0.531096,0.345239,2
-0.178373,2,-0.057402,-0.466502,0.122842,0.03293,-0.440257,-0.236806,0.621405,-1.01724,-0.690137,-0.584779,0.360809,-0.25124,0.684863,0.41942,1
2.145333,6,1.257369,0.835559,1.31349,0.061748,-0.213479,-0.131147,-1.187426,1.648189,-0.690137,-0.584779,0.301462,-0.328244,0.273818,0.924927,2
1.778432,2,0.726265,0.390273,-0.384825,0.814738,1.008131,0.35671,0.227766,-0.291485,-0.690137,-0.584779,0.024626,0.706321,-0.118343,-0.040076,4
0.310828,5,1.255277,1.272859,1.066015,0.343229,-0.032895,-0.178627,1.178657,-0.88139,0.673029,1.79515,0.602721,-0.300766,0.65292,1.1196,2
0.310828,2,0.353342,0.190062,-0.624728,0.870789,1.107728,-0.080592,0.852297,-0.556669,-0.171417,-0.199943,0.039134,0.27779,-0.491417,0.275982,1
1.411531,7,1.495836,0.557879,0.640287,0.964431,-0.856822,0.367642,1.358993,-0.51434,-0.024694,-0.018734,2.463677,-1.29968,-0.557313,0.384835,1
0.310828,10,1.198185,-0.206812,0.597855,0.826815,-0.062096,0.065412,1.437501,-0.706274,0.679559,0.371224,1.3309,-1.126448,-0.570573,0.322999,3
-1.401377,9,-1.035028,-0.376604,-0.2131,-0.945244,-0.251214,-0.368923,-1.054076,0.544133,-0.506926,-0.440212,-1.115034,-1.291279,-0.365954,0.25225,0
-1.034476,7,-0.458201,2.250315,-1.206521,0.362716,1.09657,-0.29443,-0.021193,-1.150728,0.125535,0.021288,-1.093336,0.250221,-0.425823,0.308788,3
0.800029,9,0.852405,0.822809,1.080286,-0.044122,-0.123531,-0.155852,0.123943,-0.407913,-0.690137,-0.584779,0.102184,-0.72997,-0.470825,0.80048,1
-1.034476,7,-0.406901,0.594214,-0.953383,0.149091,1.691158,-0.349505,-0.977324,0.15504,-0.690137,-0.584779,-1.668717,-0.079996,-0.400208,0.748709,2
-0.300674,3,-0.695694,-1.453551,-0.886791,0.590168,-0.233921,-0.094647,0.794295,-0.883587,2.049161,1.56066,1.121432,1.006438,-0.529589,-1.592794,3
0.677729,7,-0.489838,-0.57037,-1.326557,0.424858,0.278668,-0.283976,-0.21829,0.11166,-0.690137,-0.584779,0.204509,0.688412,-0.449831,-1.592794,4
0.555429,6,0.521916,-0.609838,0.290766,0.240968,-0.134611,-0.077108,0.387074,-0.201531,-0.690137,-0.584779,0.535701,-0.103111,-0.520548,0.620075,2
