@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,12,14-19,21,25-27,29-31,36-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute totalDebt numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
22,5,144464904192,159203901440,10.83,14700000256,10225000448,7260000256,4011000064,12014999552,5583000064,4932874752,0.007923,0.2875,36.371253,0
17,7,89077145600,98039226368,1.95,50273001472,7743000064,6072999936,4086000128,10618999808,5016999936,3491124992,0.017665,0.3922,22.224832,2
11,2,5653899776,9564423168,3.387,2824026880,1334104064,707478016,226762000,4090802944,693841024,36997000,0,0,25.196078,1
30,6,46505623552,40187355136,13.539,2968217088,2243760128,869854976,809932032,85448000,1349251968,1096729856,0,0,58.501031,2
27,2,19853010944,20459077632,1.876,10904036352,6443886080,2976704000,1785750016,1762717952,1911771008,1018826496,0,0,11.427304,4
15,5,46349918208,49006465024,10.151,4827668992,1834992000,1182716032,369512992,13471129600,4058841088,1484232192,0.029029,2.3295,80.607955,2
15,2,10920685568,17043852288,1.419,12012999680,2679000064,2055000064,557000000,6703000064,1312000000,989000000,0.011046,0.2147,19.755789,1
24,7,68154208256,87347855360,6.185,14122999808,6537999872,6537999872,2902000128,19811000320,4615000064,922249984,0.014171,0.3312,23.766234,1
15,10,42297008128,65544007680,5.887,11134000128,3936000000,4203000064,1980000000,23433000960,2516999936,-965750016,0.029168,0.6212,21.401515,3
1,9,1179949696,1193496832,2.291,520936992,196667008,115049000,64179000,113648000,105219000,66982876,0.003901,0.0758,18.971564,0
4,7,2974189568,3602189824,0.721,4992999936,838000000,238000000,143000000,1035000000,319000000,220124992,0.01737,0.3584,20.890785,3
19,9,24301148160,25513545728,10.321,2471977984,2031069056,853766016,512727008,1411719040,861779968,863937728,0,0,47.619718,1
4,7,3229060096,3340025856,0.968,3451782912,363844992,176458000,76375000,133922000,172891008,116724752,0,0,43.701681,2
11,2,6032298496,7810965504,8.408,928990976,-922144000,-2629029120,-3056891904,2740926976,-2254796032,-2090154112,0,0,0,4
10,3,2032635008,7734635008,1.046,7397000192,2558000128,824000000,-243000000,5920999936,161000000,124250000,0.058333,1.9574,0,3
18,7,2827139840,3488140032,0.627,5559000064,928000000,137000000,-308000000,679000000,7000000,-116250000,0,0,0,4
17,6,14308279296,16661877760,4.118,4045700096,2708999936,1113100032,407800000,2478299904,816300032,276212512,0,0,35.279412,2
6,5,778392192,1192725248,1.178,1012155008,973102016,71709000,-53985000,563464000,89236000,81127504,0,0,0,1
3,2,522233184,1039339200,0.864,1203186944,415366016,106892000,-20444000,524878016,104335000,108517872,0.065116,1.75,0,3
7,6,677337600,567291584,137.093,4138000,-67646000,-103730000,-113296000,7412000,-76408000,-33263124,0,0,0,0
17,2,8595792896,38791929856,2.254,17211652096,7736788992,2398681088,536368000,31591444480,2531934976,891623488,0,0,17.256831,2
9,0,13529164800,13811787776,9.463,1459632000,686353024,576857984,190670000,394268000,449441984,93526872,0,0,52.625,1
3,7,433710912,548891904,0.122,4495900160,925200000,116100000,-6300000,134000000,114000000,147724992,0.02447,0.2586,0,2
38,1,138183884800,133782880256,8.053,16613000192,5271000064,1926000000,806000000,2449999872,2846000128,751374976,0,0,149.226667,2
7,2,11199144960,19577843712,0.64,30577500160,5069599744,1503699968,956800000,8516299776,961100032,387775008,0.029486,0.3299,11.808496,2
19,6,78535434240,74058440704,0.391,189253992448,50787000320,9486999552,5360000000,30186000384,6454000128,12048000000,0.019185,0.2834,14.790925,2
5,2,2063882368,2759882496,0.822,3358000128,752000000,483000000,108000000,1043000000,265000000,190250000,0.019483,0.4015,20.482625,2
7,9,422887584,730193664,2.353,310367008,237159008,71544000,-111071000,509532992,129878000,58568752,0,0,0,1
15,4,6922257408,6519057408,14.921,436900000,157500000,99400000,104800000,429800000,114000000,118937504,0,0,61.717532,1
9,0,1931108096,5842107904,0.999,5849999872,1073000000,664000000,-412000000,4410999808,258000000,99250000,0.060901,5.5556,0,2
6,6,1105652992,1529398912,2.116,722678976,360329984,236730000,134708000,655497024,159655008,84179872,0,0,8.906367,2
5,9,5030613504,5796701696,3.409,1700612992,854996992,386300992,251054000,955785024,308508000,285156000,0,0,20.65678,0
15,6,11859510272,19871510528,1.825,10887000064,4228999936,2039000064,-247000000,9724999680,765000000,1707250048,0.034828,3.0769,0,3
18,5,96558465024,98232967168,15.271,6432699904,6432699904,4546999808,3721400064,3773400064,4196000000,2922299904,0.018285,1.0261,25.912476,3
