@relation 'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,12,14-19,21,25-27,29-31,36-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute totalDebt numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
1.16693,5,1.964575,1.901481,1.121652,0.987604,0.795898,1.346521,1.5388,1.12517,1.20707,1.92223,-0.318083,-0.084777,0.638345,0
0.555429,7,1.662882,1.595408,-0.351581,1.699188,0.507606,1.057641,1.574324,1.067421,1.042839,1.257314,0.139419,0.069917,0.345239,2
-0.178373,2,-0.057402,0.126142,0.122842,0.03293,-0.236806,-0.248166,-0.253631,0.621405,-0.21157,-0.335685,-0.690137,-0.584779,0.41942,1
2.145333,6,1.257369,1.032393,1.31349,0.061748,-0.131147,-0.208648,0.022591,-1.187426,-0.021396,0.15305,-0.690137,-0.584779,0.924927,2
1.778432,2,0.726265,0.606177,-0.384825,0.814738,0.35671,0.304095,0.484794,0.227766,0.141825,0.117122,-0.690137,-0.584779,-0.040076,4
0.310828,5,1.255277,1.157646,1.066015,0.343229,-0.178627,-0.132507,-0.186016,1.178657,0.764819,0.331761,0.673029,1.79515,1.1196,2
0.310828,2,0.353342,0.490876,-0.624728,0.870789,-0.080592,0.07978,-0.097212,0.852297,-0.032205,0.103367,-0.171417,-0.199943,0.275982,1
1.411531,7,1.495836,1.522511,0.640287,0.964431,0.367642,1.170808,1.013514,1.358993,0.926195,0.072582,-0.024694,-0.018734,0.384835,1
0.310828,10,1.198185,1.341213,0.597855,0.826815,0.065412,0.602539,0.576802,1.437501,0.317438,-0.798138,0.679559,0.371224,0.322999,3
-1.401377,9,-1.035028,-1.187725,-0.2131,-0.945244,-0.368923,-0.392345,-0.33064,-1.054076,-0.382365,-0.321856,-0.506926,-0.440212,0.25225,0
-1.034476,7,-0.458201,-0.490341,-1.206521,0.362716,-0.29443,-0.362423,-0.293306,-0.021193,-0.320334,-0.251229,0.125535,0.021288,0.308788,3
0.800029,9,0.852405,0.745561,1.080286,-0.044122,-0.155852,-0.212564,-0.118182,0.123943,-0.162841,0.045689,-0.690137,-0.584779,0.80048,1
-1.034476,7,-0.406901,-0.538046,-0.953383,0.149091,-0.349505,-0.3774,-0.324863,-0.977324,-0.362729,-0.298915,-0.690137,-0.584779,0.748709,2
-0.300674,3,-0.695694,-0.007913,-0.886791,0.590168,-0.094647,-0.219808,-0.476137,0.794295,-0.366179,-0.295445,2.049161,1.56066,-1.592794,3
0.677729,7,-0.489838,-0.510653,-1.326557,0.424858,-0.283976,-0.387003,-0.506925,-0.21829,-0.410864,-0.40636,-0.690137,-0.584779,-1.592794,4
0.555429,6,0.521916,0.476567,0.290766,0.240968,-0.077108,-0.14945,-0.167881,0.387074,-0.176037,-0.225362,-0.690137,-0.584779,0.620075,2
-0.789875,5,-1.294582,-1.188133,-0.78467,-0.560866,-0.278738,-0.402893,-0.386609,-0.3055,-0.387002,-0.315332,-0.690137,-0.584779,-1.592794,1
-1.156776,2,-1.543605,-1.275037,-1.051048,-0.460813,-0.34352,-0.39433,-0.370722,-0.338668,-0.382621,-0.3027,2.367685,1.416795,-1.592794,3
-0.667575,6,-1.381347,-1.657276,3.302804,-3.743507,-0.399624,-0.445589,-0.414702,-2.330542,-0.435066,-0.368088,-0.690137,-0.584779,-1.592794,0
0.555429,2,0.203981,1.010083,-0.227091,1.078888,0.506885,0.163422,-0.106984,1.577183,0.321772,0.058458,-0.690137,-0.584779,0.196935,2
-0.422974,0,0.486982,0.358132,1.005708,-0.349001,-0.312044,-0.279955,-0.270727,-0.472456,-0.282485,-0.309614,-0.690137,-0.584779,0.860857,1
-1.156776,7,-1.659492,-1.678092,-2.733139,0.302027,-0.284302,-0.392089,-0.364023,-0.977052,-0.379817,-0.284618,0.458951,-0.129696,-1.592794,2
3.123736,1,1.936841,1.791653,0.867067,1.058401,0.220476,0.048386,0.020729,0.381704,0.412901,-0.006223,-0.690137,-0.584779,1.495606,2
-0.667575,2,0.369052,0.578382,-1.308923,1.411455,0.197083,-0.054389,0.092156,0.964246,-0.134022,-0.173911,0.694531,-0.020667,-0.021459,2
0.800029,6,1.584296,1.418317,-1.732344,2.466327,5.507294,1.888505,2.177763,1.555905,1.4598,5.203632,0.210801,-0.091088,0.107524,2
-0.912175,2,-0.686176,-0.658494,-1.093868,0.13315,-0.304419,-0.302797,-0.309884,-0.017593,-0.336003,-0.265006,0.224771,0.083091,0.297191,2
-0.667575,9,-1.67526,-1.49791,-0.190155,-1.244938,-0.36422,-0.402933,-0.413648,-0.352541,-0.37521,-0.325736,-0.690137,-0.584779,-1.592794,1
0.310828,4,0.06888,-0.115854,1.397008,-1.047052,-0.373472,-0.396154,-0.311399,-0.43211,-0.379817,-0.297895,-0.690137,-0.584779,0.957368,1
-0.422974,0,-0.727664,-0.18507,-0.926296,0.454385,-0.267134,-0.258747,-0.556185,0.656641,-0.338034,-0.306974,2.169745,3.13566,-1.592794,2
-0.789875,6,-1.075606,-1.031167,-0.28138,-0.755814,-0.349913,-0.362732,-0.297233,-0.234761,-0.36657,-0.313925,-0.690137,-0.584779,-0.179776,2
-0.912175,9,-0.13028,-0.189996,0.128405,-0.260573,-0.292456,-0.326331,-0.242125,-0.058423,-0.323378,-0.221237,-0.690137,-0.584779,0.302166,0
0.310828,6,0.404799,0.587781,-0.408508,0.813833,0.099445,0.075887,-0.478032,1.0263,-0.190922,0.434614,0.945367,2.195849,-1.592794,3
0.677729,5,1.7132,1.596655,1.416932,0.509334,0.355411,0.686258,1.401629,0.583642,0.804618,0.994979,0.168516,0.81235,0.436045,3
-1.279077,7,-2.325226,-1.840712,-1.250534,-0.84489,-0.375536,-0.409153,-0.441652,-1.112131,-0.398228,-0.335067,-0.690137,-0.584779,-1.592794,3
-0.545274,2,-1.216413,-0.854818,-1.393511,0.154415,-0.258424,-0.372321,-0.339071,0.039956,-0.349379,-0.341342,0.482675,0.19813,0.260264,4
-0.545274,1,0.150594,0.389825,-0.107361,0.429627,0.106414,0.170801,0.091304,0.932307,0.074864,0.393107,3.100988,-0.050347,-0.214664,3
-1.034476,10,0.006525,0.472708,1.178001,-0.360062,-0.284789,-0.162373,-0.325041,1.009212,-0.18686,-0.137258,1.802806,1.967104,0.814498,0
-0.545274,7,-0.800185,-0.988,-0.803848,-0.364546,-0.359626,-0.381951,-0.306149,-1.155466,-0.364598,-0.295718,-0.690137,-0.584779,0.135926,1
-0.545274,2,-0.009149,0.026096,-0.950724,0.663989,-0.150631,-0.091425,0.065547,0.325775,-0.260441,-0.12517,-0.690137,-0.584779,-0.300446,1
-0.422974,9,-2.056482,-2.209411,-0.377527,-1.770891,-0.381876,-0.417629,-0.36844,-1.260826,-0.408178,-0.353724,-0.690137,-0.584779,-1.592794,0
-0.422974,7,-0.465823,-0.501983,-0.241313,-0.297762,-0.346961,-0.339591,-0.212279,-0.276755,-0.266756,-0.286466,-0.354206,-0.454795,-0.15254,1
0.677729,7,1.523262,1.492902,0.165889,1.256685,0.596579,0.550945,0.581539,1.110545,0.564075,0.905659,-0.05468,0.208625,0.636784,2
0.677729,7,0.882475,0.776899,0.457527,0.403978,-0.018799,-0.097636,0.061937,0.45438,-0.121284,0.005653,-0.496604,-0.36532,0.496855,2
0.92233,9,-0.110675,-0.314593,0.088419,-0.347838,-0.248577,-0.421724,-0.349766,0.233834,-0.311152,-0.242026,-0.690137,-0.584779,-1.592794,2
1.16693,4,0.249452,0.443899,-0.436261,0.700585,0.143002,0.658271,-0.079213,0.844773,0.726855,-0.818892,0.856276,0.254853,0.147371,1
0.066227,9,0.273218,0.123158,1.626198,-0.982293,-0.35391,-0.403669,-0.346053,-1.824027,-0.366511,-0.28981,-0.690137,-0.584779,1.934071,0
-1.279077,4,-2.298892,-2.355629,-0.253413,-1.988726,-0.387526,-0.413861,-0.360515,-1.571678,-0.403305,-0.348183,4.274734,5.021075,1.502837,2
-0.422974,1,0.552097,0.586655,-0.735757,1.033409,-0.048511,0.200857,0.292229,0.879879,0.143342,0.444674,1.012833,0.08182,-0.057025,2
-0.912175,2,-0.496591,-0.550754,-1.106505,0.240422,-0.282108,-0.295262,-0.187796,0.006973,-0.290229,-0.181913,-0.690137,-0.584779,-0.229908,2
1.04463,6,1.058419,1.04547,-0.306515,1.164822,0.572187,0.473796,0.699953,1.071672,0.165975,0.377312,-0.603744,-0.532835,0.122301,1
1.289231,6,-0.603538,-0.657625,-0.83267,-0.04189,-0.326124,-0.410574,-0.38849,0.107966,-0.500162,-0.47132,-0.690137,-0.584779,-1.592794,3
-0.789875,9,-0.884467,-1.077901,0.689294,-1.452263,-0.386431,-0.428031,-0.383292,-1.646703,-0.41606,-0.354518,-0.690137,-0.584779,-1.592794,1
0.433128,9,0.609457,0.579584,0.07162,0.483129,0.035107,-0.021778,0.003156,0.713117,0.026437,0.260136,-0.381511,-0.31842,0.337069,3
1.16693,5,1.776873,1.758112,-0.245198,1.776776,1.444496,2.358939,3.995659,1.398832,3.649349,5.558804,-0.042373,-0.285321,-0.019623,3
-0.545274,0,0.450236,0.299126,1.626903,-0.821469,-0.328265,-0.294426,-0.231236,-2.378601,-0.278879,-0.353021,-0.553793,-0.132843,0.49074,2
-1.034476,4,-1.236646,-1.297824,0.303401,-1.393963,-0.370524,-0.376033,-0.342261,-1.08665,-0.36533,-0.33271,3.921001,1.585922,0.291745,2
-1.279077,2,-0.654974,-0.47013,-1.127988,0.328757,-0.282358,-0.317802,-0.219942,0.176703,-0.416295,-0.421259,-0.690137,-0.584779,-0.269796,4
1.289231,8,0.354543,0.402164,1.002888,-0.306773,-0.27975,-0.204482,-0.287314,0.590403,-0.182857,-0.029141,1.22789,2.112689,1.047601,3
-0.422974,6,-1.498913,-1.891407,0.07565,-1.784713,-0.400005,-0.437201,-0.389536,-1.726722,-0.431738,-0.374699,-0.690137,-0.584779,-1.592794,0
-0.422974,6,-0.198866,-0.219761,-0.900871,0.405274,-0.268967,-0.322985,-0.260977,0.059021,-0.331755,-0.263222,-0.690137,-0.584779,0.340307,1
1.16693,3,1.499584,1.350905,0.932483,0.610323,0.099168,0.135155,0.384221,-1.311854,0.183012,0.310536,-0.690137,-0.584779,0.747512,2
-1.279077,1,-0.072598,-0.194823,1.733336,-1.345935,-0.371561,-0.395963,-0.384254,-0.322872,-0.243892,-0.492754,-0.690137,-0.584779,-1.592794,0
-1.156776,2,-1.024222,-0.652058,-1.285089,0.267868,-0.30349,-0.328326,-0.293685,0.276319,-0.323352,-0.239653,0.371092,-0.23362,-0.198386,4
-1.279077,1,-1.650531,-1.057375,-0.163902,-0.858862,-0.348383,-0.367752,-0.391684,-0.003855,-0.375203,-0.357071,-0.690137,-0.584779,-1.592794,3
-0.789875,2,-1.51384,-0.971383,-1.201767,-0.080777,-0.304421,-0.388041,-0.373724,0.075869,-0.409828,-0.401725,-0.690137,-0.584779,-1.592794,1
-0.789875,9,-0.700109,-0.572085,-1.127988,0.235102,-0.257598,-0.330712,-0.294679,0.080078,-0.303302,-0.220456,-0.690137,-0.584779,0.10299,3
1.533831,6,1.763483,1.955351,-1.609673,2.876285,5.547599,2.980263,1.785101,2.027276,1.783038,2.335626,0.844974,0.512173,0.365112,1
0.188528,9,-0.315616,-0.465787,0.464544,-0.739806,-0.346356,-0.411019,-0.358725,-0.325973,-0.361114,-0.268658,-0.690137,-0.584779,2.662827,2
-0.912175,8,-0.963193,-0.706289,-0.180351,-0.525919,-0.360147,-0.362808,-0.331454,0.132492,-0.362738,-0.336078,1.2028,0.610825,0.302899,1
-0.545274,6,-1.580043,-1.380032,0.56072,-1.642619,-0.38677,-0.475282,-0.610352,-0.202567,-0.456287,-0.321757,-0.690137,-0.584779,-1.592794,2
-0.545274,5,-0.034769,-0.202586,0.363165,-0.43031,-0.270786,-0.205634,-0.022446,-0.366421,-0.161323,0.304739,0.252245,-0.270749,-0.194435,2
-0.178373,7,0.807737,0.713089,0.329325,0.431832,-0.164281,-0.096906,0.03167,0.286979,-0.135096,-0.132946,-0.122884,-0.01102,0.47407,2
-1.034476,7,-2.342033,-2.798296,-2.428064,-0.930234,-0.367966,-0.417867,-0.450313,-1.755527,-0.409594,-0.348179,3.606802,1.271735,-1.592794,2
-0.178373,7,0.56115,0.482173,0.335091,0.216259,-0.189916,-0.193037,-0.064435,0.337796,-0.190893,-0.099567,-0.166308,-0.104081,0.405651,3
-0.912175,4,-0.911634,-1.067191,-1.052043,-0.269949,-0.34653,-0.344417,-0.327286,-0.759428,-0.342492,-0.288273,-0.690137,-0.584779,0.294628,2
0.188528,6,0.326843,0.214199,0.522066,-0.155253,-0.20159,-0.177519,-0.184182,0.147056,-0.217028,-0.037688,-0.446218,-0.311859,0.493907,3
-0.056073,10,0.364888,0.738042,0.421912,0.392339,-0.142199,0.068886,-0.088184,1.196814,0.090826,-0.57979,1.109973,0.503744,0.25824,3
-0.667575,5,-0.616132,-0.732586,0.639036,-1.101911,-0.362784,-0.371761,-0.32114,-0.821949,-0.334177,-0.292909,1.281241,0.8961,0.456366,2
-1.156776,0,-0.751186,-0.706682,-0.741288,-0.148644,-0.330856,-0.333097,-0.360044,-0.045153,-0.358084,-0.216247,-0.350995,6.902696,3.760263,0
