@relation 'train_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,12,14-19,21,25-27,29-31,36-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute totalDebt numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
1.091417,5,0.471727,0.525418,-0.032764,0.06144,0.340099,0.514536,0.417155,0.420833,0.427897,0.826634,-0.309708,-0.089688,-0.023038,0
0.506213,7,0.224851,0.250551,-0.03545,0.905983,0.194718,0.38988,0.428289,0.325615,0.360808,0.524389,0.108986,-0.073349,-0.095084,2
-0.196032,2,-0.146987,-0.147045,-0.035016,-0.220509,-0.180677,-0.173594,-0.144586,-0.119659,-0.151623,-0.199727,-0.650203,-0.134552,-0.079952,1
2.027743,6,0.035099,-0.009429,-0.031944,-0.217085,-0.127395,-0.156542,-0.058019,-0.392856,-0.073936,0.022433,-0.650203,-0.134552,0.089665,2
1.676621,2,-0.083698,-0.098085,-0.035473,-0.02868,0.118624,0.064714,0.086834,-0.278453,-0.00726,0.006102,-0.650203,-0.134552,-0.150074,4
0.272132,5,0.034405,0.030203,-0.032969,-0.17294,-0.151338,-0.123686,-0.123396,0.520153,0.247236,0.103669,0.597332,0.228967,0.202252,2
0.272132,2,-0.123511,-0.113433,-0.035611,-0.002352,-0.101901,-0.032081,-0.095565,0.058513,-0.078352,-0.000151,-0.175484,-0.101048,-0.107658,1
1.325499,7,0.131592,0.202505,-0.034169,0.047742,0.124136,0.438713,0.252533,0.952582,0.313158,-0.014144,-0.041206,-0.082868,-0.087234,1
0.272132,10,0.016341,0.104521,-0.034259,-0.023221,-0.028273,0.193497,0.115669,1.199632,0.064479,-0.40994,0.603308,-0.037614,-0.099277,3
-1.366439,9,-0.166928,-0.184663,-0.035347,-0.275186,-0.247301,-0.23581,-0.16872,-0.390933,-0.221393,-0.193441,-0.482532,-0.122724,-0.111652,0
-1.015317,7,-0.158931,-0.173838,-0.035822,-0.169015,-0.209736,-0.222898,-0.15702,-0.328089,-0.196054,-0.161336,0.096279,-0.078624,-0.101878,3
0.740295,9,-0.063871,-0.075371,-0.032918,-0.228867,-0.139853,-0.158232,-0.102137,-0.302394,-0.131717,-0.026369,-0.650203,-0.134552,0.034248,1
-1.015317,7,-0.157795,-0.175016,-0.035748,-0.205605,-0.237509,-0.229361,-0.16691,-0.38955,-0.213372,-0.183013,-0.650203,-0.134552,0.014294,2
-0.196032,2,-0.1453,-0.154924,-0.033496,-0.265499,-0.312834,-0.523986,-0.632019,-0.211732,-0.50113,-0.645658,-0.650203,-0.134552,-0.208271,4
-0.313072,3,-0.163128,-0.155267,-0.035724,-0.111941,-0.108988,-0.161358,-0.214319,0.005174,-0.214782,-0.181435,1.856733,0.1709,-0.208271,3
0.623254,7,-0.159586,-0.174351,-0.035851,-0.155577,-0.204464,-0.233505,-0.223967,-0.352371,-0.233035,-0.231853,-0.650203,-0.134552,-0.208271,4
0.506213,6,-0.108412,-0.115149,-0.034794,-0.191505,-0.100144,-0.130997,-0.117712,-0.229645,-0.137108,-0.149578,-0.650203,-0.134552,-0.028599,2
-0.781236,5,-0.168718,-0.184666,-0.035684,-0.263524,-0.201822,-0.240361,-0.186261,-0.360252,-0.223288,-0.190475,-0.650203,-0.134552,-0.208271,1
-1.132358,2,-0.16986,-0.185355,-0.035779,-0.258989,-0.234491,-0.236666,-0.181282,-0.362884,-0.221498,-0.184733,2.148238,0.138536,-0.208271,3
-0.664195,6,-0.169168,-0.187477,0.005439,-0.287456,-0.262783,-0.258786,-0.195065,-0.398179,-0.242922,-0.214456,-0.650203,-0.134552,-0.208271,0
0.506213,2,-0.133874,-0.0157,-0.035358,0.12107,0.194354,0.004012,-0.098627,1.756102,0.066249,-0.020565,-0.650203,-0.134552,-0.120385,2
-0.430113,0,-0.111885,-0.127957,-0.033177,-0.252901,-0.218618,-0.187312,-0.149944,-0.371792,-0.180592,-0.187876,-0.650203,-0.134552,0.059739,1
-1.132358,7,-0.170254,-0.187559,-0.036004,-0.180816,-0.204628,-0.235699,-0.179182,-0.389545,-0.220353,-0.176514,0.401413,-0.094198,-0.208271,2
2.96407,1,0.443731,0.411179,-0.033604,0.106857,0.049923,-0.045628,-0.058602,-0.231575,0.103476,-0.049966,-0.650203,-0.134552,0.551715,2
-0.664195,2,-0.12227,-0.102045,-0.035847,0.43839,0.038126,-0.089977,-0.036217,0.182194,-0.119944,-0.12619,0.61701,-0.083071,-0.148132,2
0.740295,6,0.177864,0.142784,-0.035922,4.205546,2.715979,0.74841,0.617404,1.66024,0.531138,2.318234,0.174313,-0.090328,-0.132943,2
-0.898276,2,-0.162988,-0.177623,-0.035792,-0.207831,-0.214773,-0.197169,-0.162215,-0.327544,-0.202454,-0.167599,0.187097,-0.071898,-0.103956,2
-0.664195,9,-0.170303,-0.186745,-0.035329,-0.280186,-0.244929,-0.240379,-0.194735,-0.36393,-0.21847,-0.195204,-0.650203,-0.134552,-0.208271,1
0.272132,4,-0.141333,-0.16073,-0.031526,-0.277182,-0.249595,-0.237453,-0.16269,-0.369369,-0.220353,-0.182549,-0.650203,-0.134552,0.106046,1
-0.430113,0,-0.16358,-0.163772,-0.035738,-0.148669,-0.195971,-0.17816,-0.239405,-0.097819,-0.203284,-0.186676,1.967089,0.7324,-0.208271,2
-0.781236,6,-0.167259,-0.183153,-0.0354,-0.270397,-0.237715,-0.223031,-0.158251,-0.353974,-0.214941,-0.189835,-0.650203,-0.134552,-0.162912,2
-0.898276,9,-0.149765,-0.163976,-0.035009,-0.24718,-0.20874,-0.207324,-0.14098,-0.333492,-0.197297,-0.147703,-0.650203,-0.134552,-0.10307,0
0.272132,6,-0.119327,-0.100726,-0.035488,-0.029085,-0.011111,-0.033761,-0.214912,0.264637,-0.143188,0.150422,0.846569,0.345598,-0.208271,3
0.623254,5,0.258197,0.251422,-0.03142,-0.134835,0.117969,0.229623,0.374167,-0.141309,0.263493,0.405142,0.135615,0.025571,-0.076303,3
-1.249399,7,-0.171522,-0.188119,-0.035833,-0.272845,-0.250636,-0.243062,-0.203511,-0.391838,-0.227874,-0.199446,-0.650203,-0.134552,-0.208271,3
-0.547154,2,-0.168255,-0.180938,-0.035865,-0.204848,-0.191578,-0.227169,-0.171362,-0.318226,-0.207919,-0.202298,0.423125,-0.058805,-0.110321,4
-0.547154,1,-0.137016,-0.124762,-0.035257,-0.154485,-0.007597,0.007196,-0.036485,0.143841,-0.034614,0.131554,2.819338,-0.086161,-0.16569,3
-1.015317,10,-0.144268,-0.115606,-0.032542,-0.253557,-0.204874,-0.136573,-0.166965,0.240833,-0.141529,-0.109529,1.631275,0.276141,0.039946,0
-0.547154,7,-0.164525,-0.182667,-0.035692,-0.253819,-0.242613,-0.231325,-0.161045,-0.392444,-0.214136,-0.18156,-0.650203,-0.134552,-0.12915,1
-0.547154,2,-0.14496,-0.153344,-0.035747,-0.088048,-0.13722,-0.105959,-0.044557,-0.250415,-0.171587,-0.104035,-0.650203,-0.134552,-0.171885,1
-0.430113,9,-0.171164,-0.188963,-0.035468,-0.284585,-0.253833,-0.24672,-0.180567,-0.393703,-0.231938,-0.207927,-0.650203,-0.134552,-0.208271,0
-0.430113,7,-0.159092,-0.174134,-0.03537,-0.249693,-0.236226,-0.213046,-0.131626,-0.357815,-0.174167,-0.177354,-0.342767,-0.123956,-0.160632,1
