@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
22,5,1,0,473.19,579.05,0.335938,1.189,1409834,144464904192,159203901440,4.326586,10.83,0.27286,0.69558,0.49388,0.4269,0.06261,0.11291,14700000256,47.689,10225000448,7260000256,4011000064,13.01,1847000064,6.05,12014999552,0.807,0.982,109.368,5583000064,4932874752,0.007923,0.2875,305300000,304622234,3085150,0.0101,1.98,0.0101,0.00253,0.9052,42350,109858455.416575,0,36.371253,0
17,7,1,0,331.15,347.37,0.3375,0.484,1044250,89077145600,98039226368,3.771984,1.95,0.08128,0.15402,0.1208,0.1016,0.05752,0.17915,50273001472,185.34,7743000064,6072999936,4086000128,14.9,1523000064,5.67,10618999808,0.737,1.364,87.792,5016999936,3491124992,0.017665,0.3922,268993342,251745725,2689182,0.01,2.39,0.0112,0.00508,0.8669,117000,120956349.188992,0,22.224832,2
11,2,0,0,25.7,34.99,8.75,1.702,2283057,5653899776,9564423168,1.96965,3.387,0.0803,0.47241,0.25052,0.15883,0.03604,0.0866,2824026880,13.425,1334104064,707478016,226762000,1.02,180280000,0.819,4090802944,0.411,0.647,13.048,693841024,36997000,0,0,219996102,161164744,7582910,0.0345,3.66,0.0573,0.12613,0.8037,49000,313519538.93317,0,25.196078,1
30,6,0,0,283.73,343.96,17.11,0.982,1325242,46505623552,40187355136,7.004123,13.539,0.27287,0.75593,0.29306,0.28709,0.0724,0.13701,2968217088,18.248,2243760128,869854976,809932032,4.85,6403713024,39.069,85448000,5.479,5.573,40.509,1349251968,1096729856,0,0,163908013,150420023,5329311,0.0325,4.06,0.0355,0.08521,0.88599,7291,2109358.41418,0,58.501031,2
27,2,1,1,167.41,516.39,2.165,1.072,4981781,19853010944,20459077632,4.538702,1.876,0.16377,0.59096,0.27299,0.20743,0.21861,0.42422,10904036352,90.031,6443886080,2976704000,1785750016,14.65,1155794048,9.747,1762717952,0.832,2.266,36.885,1911771008,1018826496,0,0,113468082,109026169,8600626,0.0725,1.07,0.0993,0.04617,0.88831,39000,47789560.851295,0,11.427304,4
15,5,0,0,141.87,200.485,10.72,1.447,1672240,46349918208,49006465024,10.724977,10.151,0.09943,0.3801,0.24499,0.1955,0.02394,0.1343,4827668992,23.218,1834992000,1182716032,369512992,1.76,1531905024,6.981,13471129600,0.469,0.541,13.228,4058841088,1484232192,0.029029,2.3295,215934693,213506722,7276985,0.0332,4.64,0.0354,0.12295,0.83927,3776,1018379921.378893,0,80.607955,2
15,2,0,0,93.84,130.42,0.83,0.731,1280610,10920685568,17043852288,3.734331,1.419,0.04637,0.22301,0.17106,0.14036,0.06873,0.22145,12012999680,102.325,2679000064,2055000064,557000000,4.75,936000000,8.136,6703000064,0.643,1.064,25.129,1312000000,989000000,0.011046,0.2147,116375594,110880677,6047712,0.052,4.42,0.0691,0.00903,1.01959,23000,266743605.555334,0,19.755789,1
24,7,1,1,36.6,40.12,0.335648,1.286,19793617,68154208256,87347855360,5.343846,6.185,0.20548,0.46293,0.46293,0.35071,0.07007,0.22589,14122999808,7.492,6537999872,6537999872,2902000128,1.54,618000000,0.332,19811000320,0.67,0.847,6.849,4615000064,922249984,0.014171,0.3312,1862136956,1857847080,28569432,0.0153,1.84,0.0154,0.00247,0.80132,23200,2892539103.518762,0,23.766234,1
15,10,1,0,84.75,95.22,5.166667,0.538,2688268,42297008128,65544007680,2.536742,5.887,0.17783,0.35351,0.37749,0.29697,0.03199,0.12186,11134000128,22.335,3936000000,4203000064,1980000000,3.96,186000000,0.373,23433000960,0.556,1.001,33.409,2516999936,-965750016,0.029168,0.6212,499079754,497817082,8745827,0.0175,3.39,0.0228,0.00115,0.76865,13047,701397855.667634,0,21.401515,3
1,9,0,0,40.03,86.25,2.11,0.84,203668,1179949696,1193496832,2.149954,2.291,0.1232,0.37753,0.22085,0.17019,0.06764,0.11964,520936992,17.346,196667008,115049000,64179000,2.11,100101000,3.396,113648000,1.874,2.605,18.619,105219000,66982876,0.003901,0.0758,29476637,28981135,454027,0.0154,2.58,0.0189,0.02152,0.97277,3549,6103872.38842,0,18.971564,0
