@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
20,5,0,0,78.39,125.35,20.43,1.713,3278148,15270372352,19883571200,3.378297,4.563,0.08996,0.59245,0.32653,0.16855,0.04913,0.09204,4357300224,22.368,2581499904,1422800000,392000000,1.99,690000000,3.542,5197199872,1.685,2.025,23.204,827100032,545075008,0.005747,0.2211,194800000,194013008,10340021,0.0531,2.36,0.0592,0.00338,1.03672,13400,0,223978618.858817,0,39.39196,1
13,6,0,0,7.53,39.779,3.5,0.66,2997807,873262656,1804260608,0.974253,0.822,-0.05941,0.1636,0.0329,0.00636,-0.00211,-0.11042,2195919872,19.049,359260000,72247000,-185186000,-1.6,150995008,1.302,853193024,0.914,1.008,7.729,-33330000,-77390624,0,0,115971135,91317991,18809950,0.1622,6.46,0.1642,0.01544,1.08824,4500,0,110388539.785224,1,0,1
19,6,0,0,39.25,50.5,1.26,0.38,2875290,10566199296,9954942976,5.213868,4.464,0.27009,0.96595,0.35046,0.37584,0.17238,0.29004,2230004992,7.953,2154070016,781521024,602297984,2.08,791097984,2.939,179842000,3.265,3.513,7.528,772030976,637962240,0,0,269202521,231837211,17746951,0.0659,6.92,0.0909,0.02252,0.96772,1147,0,23889744.952179,0,18.870192,2
11,9,1,0,562.26,595.99,7.8125,1.117,314010,26363527168,28676427776,2.540381,4.853,0.14536,0.42752,0.24199,0.18557,0.04721,0.08732,5909400064,126.404,2526400000,1430000000,859000000,18.1,310900000,6.631,2617400064,0.942,1.662,221.329,1051400000,673849984,0,0,46888498,46363816,739386,0.0158,2.64,0.0181,0.00926,0.94747,14900,0,11825834.228682,0,31.064088,1
14,10,1,0,116.84,118.1,2.166667,0.454,2071657,37606871040,58593169408,2.843999,6.296,0.17871,0.4331,0.39434,0.21403,0.0303,0.1273,9306699776,29.271,4030700032,3670000128,1663200000,5.21,23000000,0.071,20562300928,0.323,0.553,41.083,3326700032,-1004475008,0.029736,0.6631,321866395,320952294,12473378,0.0388,5.72,0.0446,0.00151,0.83854,7000,0,500506314.72872,0,22.426104,3
11,2,0,0,43.16,58.14,0.65625,0.689,1176289,4617825792,9352440832,2.077997,1.518,0.04901,0.1788,0.15401,0.11525,0.04748,0.14535,6162113024,57.635,1101785984,949000000,302023008,2.81,317462016,2.967,5052077056,0.498,0.96,20.77,343935008,71649872,0.017927,0.2776,106993180,88700556,5477336,0.0512,4.52,0.0517,0.17146,0.7943,17315,0,243239145.6909,0,15.359431,1
17,6,0,0,136.06,194.73,0.52,0.278,738123,8253237248,12016435200,2.226076,2.94,-0.09906,0.92136,0.39112,0.2094,0.05188,-0.10841,4086694912,66.966,3765299968,1598406016,-404840992,-6.98,1669885952,27.529,5433083904,1.151,1.618,61.121,1315965952,1356260480,0,0,60658809,58681332,4729765,0.078,6.65,0.0901,0.03071,1.04626,2800,0,88890625.218828,1,0,1
16,7,1,0,190.49,524.31,10.57,1.644,1073285,11177182208,12445088768,4.347896,2.821,0.07907,0.39949,0.16853,0.10535,0.06687,0.14154,4411654144,74.75,1762420992,743513024,360451008,6.02,223531008,3.81,1487545984,0.778,2.003,43.812,682080000,379191872,0,0,58675951,57470861,2550672,0.0435,2.49,0.0508,0.01698,0.96685,5389,0,33952934.903679,0,31.642857,2
12,2,0,0,15.07,49.2,3.4,1.969,2090715,944115136,4736350208,2.772259,0.75,-0.00129,0.30026,0.04649,0.06647,0.02535,-0.05459,6318923776,111.336,1897323008,293788992,-8165000,-0.24,118084000,1.885,3734277888,0.207,1.259,5.436,116223000,-25507124,0.032982,2.7273,62648648,54218646,9865015,0.1575,4.68,0.1652,0.01695,1.03803,12701,0,686953253.863135,1,0,1
10,10,1,0,68.07,69.16,3.375,0.54,1847601,17497636864,28469895168,2.448121,6.87,0.20077,0.47104,0.4375,0.23205,0.02734,0.1194,4144000000,16.14,1952000000,1812999936,832000000,3.24,329000000,1.28,11306999808,0.328,0.572,27.805,1096999936,-1308000000,0.029216,0.6096,257053590,256231725,13896112,0.0541,8.21,0.062,0.00231,0.84104,2998,0,406653472.684769,0,21.009259,2
