@relation 'train_processed_std_bal_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
1.16693,5,1,0,1.824608,1.74179,-1.306209,0.027488,0.015337,1.964575,1.901481,0.34115,1.121652,0.661134,1.054658,1.325759,0.145072,0.39609,0.074109,0.987604,0.516162,0.795898,1.346521,1.5388,1.896397,1.000349,0.477452,1.12517,-0.322882,-0.771151,1.676486,1.20707,1.92223,-0.318083,-0.084777,0.828163,0.908425,-0.421972,-1.8352,-1.150589,-2.087522,-0.556711,-0.040659,1.176391,0.246453,0,0.638345,0
0.555429,7,1,0,1.53411,1.206626,-1.304986,-1.271513,-0.231237,1.662882,1.595408,0.200358,-0.351581,0.112189,-1.171488,-0.262232,0.102075,0.324051,0.288071,1.699188,1.571352,0.507606,1.057641,1.574324,2.254571,0.88739,0.416616,1.067421,-0.416257,-0.352337,1.483547,1.042839,1.257314,0.139419,0.069917,0.71684,0.744433,-0.537129,-1.84803,-0.803082,-1.961767,-0.531096,-0.276062,1.71312,0.294176,0,0.345239,2
-0.178373,2,0,0,-0.546263,-1.197252,0.773064,0.972718,0.411307,-0.057402,0.126142,-0.466502,0.122842,0.109314,0.137291,0.289913,0.10964,0.02004,-0.010875,0.03293,-0.440257,-0.236806,-0.248166,-0.253631,-0.375832,-0.362329,-1.009997,0.621405,-1.01724,-1.302971,-0.190215,-0.21157,-0.335685,-0.690137,-0.584779,0.540039,0.360809,0.331944,-0.25124,-0.016157,0.02395,0.684863,-0.664508,1.253425,0.766478,0,0.41942,1
2.145333,6,0,0,1.408324,1.196294,1.420809,-0.353921,-0.035491,1.257369,1.032393,0.835559,1.31349,0.661162,1.302733,0.470982,0.126593,0.53465,0.151955,0.061748,-0.213479,-0.131147,-0.208648,0.022591,0.349993,1.728487,2.385237,-1.187426,1.648189,1.441676,0.804462,-0.021396,0.15305,-0.690137,-0.584779,0.281266,0.301462,0.036282,-0.328244,0.175363,-0.558447,0.273818,-0.158729,0.247167,-1.713708,0,0.924927,2
1.778432,2,1,1,0.978933,1.621848,-0.403923,-0.188091,1.052253,0.726265,0.606177,0.390273,-0.384825,0.3517,0.624605,0.385555,0.116063,2.603991,1.079672,0.814738,1.008131,0.35671,0.304095,0.484794,2.207194,0.725814,0.94035,0.227766,-0.291485,0.294643,0.722176,0.141825,0.117122,-0.690137,-0.584779,-0.042115,0.024626,0.437522,0.706321,-2.287,0.692809,-0.118343,-0.144469,1.132866,-0.16632,0,-0.040076,4
0.310828,5,0,0,0.844206,0.630981,0.965578,0.502867,0.155551,1.255277,1.157646,1.272859,1.066015,0.165308,-0.24216,0.266375,0.114487,-0.151214,0.143201,0.343229,-0.032895,-0.178627,-0.132507,-0.186016,-0.235594,0.890804,0.613638,1.178657,-0.88139,-1.531031,-0.178185,0.764819,0.331761,0.673029,1.79515,0.523655,0.602721,0.29742,-0.300766,0.421929,-0.561879,0.65292,-0.445884,-0.100356,1.35069,0,1.1196,2
0.310828,2,0,0,0.507808,0.180667,-0.977018,-0.816402,-0.063632,0.353342,0.490876,0.190062,-0.624728,0.00934,-0.887897,-0.048304,0.107198,0.482708,0.424705,0.870789,1.107728,-0.080592,0.07978,-0.097212,0.331042,0.602286,0.762037,0.852297,-0.556669,-0.668929,0.385216,-0.032205,0.103367,-0.171417,-0.199943,-0.019868,0.039134,0.142297,0.27779,0.332236,0.251735,-0.491417,0.662417,0.853957,0.686355,0,0.275982,1
1.411531,7,1,1,-0.258506,-1.053969,-1.306436,0.206216,2.185488,1.495836,1.522511,0.557879,0.640287,0.470973,0.098322,1.194023,0.135002,0.501673,0.439046,0.964431,-0.856822,0.367642,1.170808,1.013514,-0.277287,0.35917,-1.352127,1.358993,-0.51434,-0.959652,-0.756114,0.926195,0.072582,-0.024694,-0.018734,2.418044,2.463677,1.44395,-1.29968,-1.285995,-1.574384,-0.557313,-0.679136,0.85853,1.868361,0,0.384835,1
0.310828,10,1,0,0.424884,-0.14878,0.293834,-1.172015,0.545515,1.198185,1.341213,-0.206812,0.597855,0.392041,-0.351461,0.830353,0.127899,-0.037281,0.103019,0.826815,-0.062096,0.065412,0.602539,0.576802,0.181328,-0.344036,-1.318841,1.437501,-0.706274,-0.746726,0.635272,0.317438,-0.798138,0.679559,0.371224,1.260298,1.3309,0.451557,-1.126448,-0.157661,-1.097058,-0.570573,-0.879936,0.554518,1.165776,0,0.322999,3
-1.401377,9,0,0,-0.185597,-0.252399,-0.422262,-0.615563,-1.573932,-1.035028,-1.187725,-0.376604,-0.2131,0.234514,-0.252724,0.163624,0.111141,0.467281,0.095848,-0.945244,-0.251214,-0.368923,-0.392345,-0.33064,-0.169266,-0.706881,-0.04115,-1.054076,0.544133,0.472343,0.121956,-0.382365,-0.321856,-0.506926,-0.440212,-1.227303,-1.115034,-2.028396,-1.291279,-0.661832,-1.325262,-0.365954,0.374647,-0.133102,-1.186805,0,0.25225,0
