@relation 'train_std_bal_main_finantial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
1.091417,5,1,0,1.488927,0.467668,-0.661437,0.00717,-0.244242,0.471727,0.525418,-0.141705,-0.032764,0.381173,0.825793,0.504811,0.047669,0.367808,0.081388,0.06144,-0.063866,0.340099,0.514536,0.417155,0.677552,0.001254,-0.051596,0.420833,-0.311723,-0.425063,1.383468,0.427897,0.826634,-0.309708,-0.089688,0.001479,0.024673,-0.405421,-0.958687,-0.879677,-0.968676,-0.528396,0.023427,0.251177,-0.229904,0,-0.023038,0
0.506213,7,1,0,0.911707,0.168015,-0.661272,-0.999521,-0.283118,0.224851,0.250551,-0.176173,-0.03545,0.055122,-0.819543,-0.116616,0.046685,0.309915,0.213713,0.905983,0.868711,0.194718,0.38988,0.428289,0.80895,-0.027003,-0.068473,0.325615,-0.329954,-0.332646,1.009811,0.360808,0.524389,0.108986,-0.073349,-0.035793,-0.03099,-0.424879,-0.960654,-0.727593,-0.953844,-0.506206,-0.185935,1.155789,-0.220989,0,-0.095084,2
-0.196032,2,0,0,-0.329576,-0.236015,0.226001,0.739698,-0.151384,-0.146987,-0.147045,-0.288187,-0.035016,0.053454,0.147771,0.099454,0.046858,0.065603,0.028829,-0.220509,-0.296002,-0.180677,-0.173594,-0.144586,-0.156022,-0.144103,-0.283923,-0.119659,-0.414861,-0.50611,-0.284616,-0.151623,-0.199727,-0.650203,-0.134552,-0.086093,-0.126346,-0.184403,-0.47874,-0.256503,-0.332258,0.547187,-0.531411,0.331762,-0.066303,0,-0.079952,1
2.027743,6,0,0,0.719002,0.163604,1.107737,-0.288411,-0.253237,0.035099,-0.009429,0.024702,-0.031944,0.38119,1.009145,0.170312,0.047246,0.479158,0.129531,-0.217085,-0.263327,-0.127395,-0.156542,-0.058019,0.110249,0.398649,1.414894,-0.392856,0.905105,0.685638,0.190958,-0.073936,0.022433,-0.650203,-0.134552,-0.143672,-0.137657,-0.295144,-0.51808,-0.108129,-0.626197,0.191096,-0.081582,-0.17367,-0.316459,0,0.089665,2
1.676621,2,1,1,0.246303,0.386624,-0.468524,-0.159898,0.135597,-0.083698,-0.098085,-0.128522,-0.035473,0.195512,0.507943,0.136882,0.047005,2.142136,0.703279,-0.02868,0.222999,0.118624,0.064714,0.086834,0.791569,-0.059027,0.112601,-0.278453,-0.305211,-0.114425,0.128197,-0.00726,0.006102,-0.650203,-0.134552,-0.195452,-0.181233,-0.134393,0.268718,-1.217229,0.234045,-0.148635,-0.0689,0.210581,-0.279764,0,-0.150074,4
0.272132,5,0,0,0.142514,-0.021965,0.433778,0.375576,-0.216338,0.034405,0.030203,0.25595,-0.032969,0.086011,-0.13268,0.090243,0.046969,-0.072021,0.124118,-0.17294,-0.229655,-0.151338,-0.123686,-0.123396,-0.104575,-0.026226,-0.010247,0.520153,-0.399755,-0.531755,-0.281499,0.247236,0.103669,0.597332,0.228967,-0.090262,-0.071245,-0.199436,-0.504311,0.107014,-0.627545,0.519514,-0.336971,-0.216265,0.49991,0,0.202252,2
0.272132,2,0,0,-0.05267,-0.112587,-0.609328,-0.646822,-0.257983,-0.123511,-0.113433,-0.178513,-0.035611,-0.004292,-0.609942,-0.032899,0.046802,0.437416,0.298214,-0.002352,0.30629,-0.101901,-0.032081,-0.095565,0.103297,-0.078196,0.041051,0.058513,-0.354437,-0.405225,-0.075396,-0.078352,-0.000151,-0.175484,-0.101048,-0.192468,-0.179281,-0.259842,-0.134516,0.025408,-0.173154,-0.471832,0.648727,0.016692,-0.103878,0,-0.107658,1
1.325499,7,1,1,-0.285281,-0.22938,-0.661468,0.145679,1.710681,0.131592,0.202505,-0.078483,-0.034169,0.266498,0.118969,0.453259,0.047438,0.452657,0.307083,0.047742,-0.336198,0.124136,0.438713,0.252533,-0.11987,-0.105929,-0.305553,0.952582,-0.347404,-0.457724,-0.391971,0.313158,-0.014144,-0.041206,-0.082868,1.599702,1.659775,0.846865,-0.856403,-0.931608,-0.897214,-0.528918,-0.544421,0.019116,2.005419,0,-0.087234,1
0.272132,10,1,0,-0.08961,-0.158114,-0.151936,-0.922412,-0.108294,0.016341,0.104521,-0.252942,-0.034259,0.219441,-0.213464,0.310944,0.047276,0.019539,0.099267,-0.023221,-0.235637,-0.028273,0.193497,0.115669,0.048374,-0.143604,-0.303732,1.199632,-0.377096,-0.420467,0.067999,0.064479,-0.40994,0.603308,-0.037614,0.20041,0.228052,-0.127258,-0.81313,-0.356656,-0.797437,-0.540405,-0.723008,-0.103919,0.245279,0,-0.099277,3
-1.366439,9,0,0,-0.271342,-0.169716,-0.474325,-0.491177,-0.372505,-0.166928,-0.184663,-0.276981,-0.035347,0.126466,-0.140488,0.050034,0.046893,0.425018,0.094832,-0.275186,-0.269438,-0.247301,-0.23581,-0.16872,-0.080242,-0.151095,-0.16947,-0.390933,-0.033821,-0.032411,-0.188137,-0.221393,-0.193441,-0.482532,-0.122724,-0.281677,-0.265498,-0.534713,-0.854436,-0.657115,-0.850022,-0.363143,0.392791,-0.219016,-0.31325,0,-0.111652,0
-1.015317,7,0,0,-0.185271,-0.10709,0.473857,-0.571142,-0.34735,-0.158931,-0.173838,1.316993,-0.035822,-0.034466,-0.777586,-0.238426,0.046502,0.055822,2.615878,-0.169015,0.296425,-0.209736,-0.222898,-0.15702,-0.023234,-0.12433,0.05171,-0.328089,-0.427884,-0.396274,-0.472449,-0.196054,-0.161336,0.096279,-0.078624,-0.262055,-0.264718,-0.435534,-0.156153,0.882272,-0.001914,-0.415008,0.347147,3.884775,0.059419,0,-0.101878,3
0.740295,9,1,0,0.390364,0.002874,-0.532071,-0.055659,-0.304353,-0.063871,-0.075371,0.019328,-0.032918,0.2698,1.208781,0.257459,0.047371,0.518739,0.169664,-0.228867,-0.247521,-0.139853,-0.158232,-0.102137,0.069231,-0.142442,-0.246394,-0.302394,-0.328391,-0.447805,-0.002729,-0.131717,-0.026369,-0.650203,-0.134552,-0.18896,-0.170404,-0.417035,-0.689209,-0.375203,-0.604624,-0.453993,0.747122,-0.177197,-0.279482,0,0.034248,1
-1.015317,7,0,0,0.411333,0.003301,-0.169515,0.005742,-0.370703,-0.157795,-0.175016,-0.066514,-0.035748,-0.045546,-0.967227,-0.23268,0.04651,0.152727,0.106658,-0.205605,1.076518,-0.237509,-0.229361,-0.16691,0.103992,-0.157823,-0.25461,-0.38955,-0.187487,-0.341356,0.140111,-0.213372,-0.183013,-0.650203,-0.134552,-0.296001,-0.279979,-0.526959,-0.382357,-0.68679,-0.444171,-0.392817,0.645775,-0.15902,-0.31529,0,0.014294,2
-0.196032,2,0,0,-0.354243,0.557624,0.911561,-0.515452,0.723298,-0.1453,-0.154924,-0.254909,-0.033496,-4.288169,-4.303229,-5.031631,0.037022,-2.83838,-1.230795,-0.265499,-0.364598,-0.312834,-0.523986,-0.632019,-1.012538,0.086621,0.088173,-0.211732,-0.016892,-0.039427,-0.374878,-0.50113,-0.645658,-0.650203,-0.134552,0.003532,-0.162385,1.373777,1.358434,-0.460518,5.221564,-0.462608,-0.851085,-0.17962,-0.03717,1,-0.208271,4
-0.313072,3,0,0,-0.414306,-0.209553,-0.649077,-0.251285,0.427219,-0.163128,-0.155267,-0.363809,-0.035724,-0.139116,-0.236827,-0.132273,0.046664,-0.035852,-0.312371,-0.111941,-0.266673,-0.108988,-0.161358,-0.214319,-0.267953,-0.140726,-0.29707,0.005174,-0.400016,-0.391919,-0.39902,-0.214782,-0.181435,1.856733,0.1709,0.118304,0.114783,1.328018,0.642447,0.270226,0.89743,-0.504901,0.778772,0.025175,0.420178,1,-0.208271,3
0.623254,7,0,0,-0.363956,-0.238822,0.58882,0.482671,-0.184042,-0.159586,-0.174351,-0.299969,-0.035851,-0.177511,-0.78029,-0.276786,0.046399,-0.284713,-0.712023,-0.155577,-0.149867,-0.204464,-0.233505,-0.223967,-0.381274,-0.158255,-0.315412,-0.352371,-0.201291,-0.337243,-0.342857,-0.233035,-0.231853,-0.650203,-0.134552,-0.14359,-0.154537,0.018783,0.249048,0.340704,1.590478,-0.435806,0.933252,-0.170653,-0.261835,1,-0.208271,4
0.506213,6,1,0,-0.141545,-0.13137,-0.685745,-0.229866,-0.111039,-0.108412,-0.115149,-0.304142,-0.034794,0.088343,0.746862,0.140446,0.046879,0.087214,-0.044085,-0.191505,-0.249567,-0.100144,-0.130997,-0.117712,-0.085109,-0.148933,-0.292406,-0.229645,-0.285417,-0.150715,0.217056,-0.137108,-0.149578,-0.650203,-0.134552,-0.107843,-0.088093,-0.179288,-0.396126,-0.62744,-0.564173,-0.497069,0.725912,-0.068134,-0.270771,0,-0.028599,2
-0.781236,5,0,0,-0.20177,0.281277,-0.5471,0.778252,-0.36252,-0.168718,-0.184666,-0.001308,-0.035684,-0.173988,1.633453,-0.199816,0.046635,0.194697,-0.961371,-0.263524,0.123752,-0.201822,-0.240361,-0.186261,-0.509891,-0.146819,0.165986,-0.360252,-0.220044,-0.366516,-0.360296,-0.223288,-0.190475,-0.650203,-0.134552,-0.297955,-0.282044,-0.525393,-0.226965,-0.486484,-0.325517,1.074797,-0.474834,-0.25079,-0.265995,1,-0.208271,1
-1.132358,2,0,0,-0.363224,-0.165228,-0.521084,-0.152758,-0.294786,-0.16986,-0.185355,-0.356939,-0.035779,-0.110218,-0.23865,-0.169851,0.046519,-0.174272,-0.204757,-0.258989,-0.114779,-0.234491,-0.236666,-0.181282,-0.274905,-0.159145,-0.30875,-0.362884,-0.509665,-0.540706,-0.161172,-0.221498,-0.184733,2.148238,0.138536,-0.281161,-0.267762,-0.278619,2.560268,0.830341,1.959924,-0.400127,1.187111,-0.172834,-0.297255,1,-0.208271,3
-0.664195,6,0,0,-0.415606,-0.240491,-0.579691,1.273744,0.24146,-0.169168,-0.187477,-0.203282,0.005439,-0.083209,-1.287478,-0.317828,-0.113642,-3.899793,-1.290525,-0.287456,-0.386725,-0.262783,-0.258786,-0.195065,-0.292981,-0.149582,-0.285389,-0.398179,0.460515,0.398709,-0.487065,-0.242922,-0.214456,-0.650203,-0.134552,-0.158439,-0.157122,1.066306,3.18774,0.975006,2.400832,0.259321,-1.645569,-0.260133,-0.313769,1,-0.208271,0
