@relation 'train_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
-0.674815,2,0,0,0.240469,-0.04557,-0.402251,-0.445092,-0.365082,-0.114242,-0.091201,-0.284293,-0.091668,-0.03267,-0.759095,-0.216165,0.053836,0.224308,0.207489,0.583367,2.539714,0.095668,-0.076843,-0.010326,0.696733,-0.276655,-0.202008,0.195905,-0.487973,-0.453665,0.879527,-0.114203,-0.122333,0.587355,-0.083299,-0.237132,-0.26596,-0.464315,-0.703939,0.971788,0.076169,1.303749,-0.674845,0.17307,0,-0.235147,0,-0.145491,2
0.659225,7,0,0,-0.21222,-0.102164,-0.636506,0.422881,-0.217762,-0.142521,-0.16043,-0.070187,-0.081617,0.175116,-0.091904,0.125248,0.055049,0.924168,0.24089,-0.294757,-0.299312,-0.280514,-0.229832,-0.148127,-0.100196,-0.309414,-0.29717,-0.380263,-0.347707,-0.410133,-0.327717,-0.226971,-0.23654,-0.656452,-0.13082,-0.195384,-0.175497,-0.157545,0.31867,0.121875,0.236266,-0.489643,1.053219,-0.34323,0,-0.28758,0,-0.064683,2
1.265607,8,1,0,-0.015375,-0.056229,1.012449,-0.529806,-0.296103,-0.115506,-0.115036,-0.257669,-0.071734,0.072827,0.557407,0.563488,0.054583,-0.09418,-0.076292,-0.281607,-0.27422,-0.23818,-0.155921,-0.153677,-0.119772,-0.303384,-0.28649,-0.132615,-0.525325,-0.66122,0.196531,-0.139813,-0.047638,1.066456,0.288225,-0.195771,-0.177135,-0.398441,-0.619203,-0.342051,-0.589782,-0.429896,0.383335,-0.34669,0,-0.242306,0,0.133173,3
-0.189709,2,0,0,-0.241015,-0.198768,-0.634673,-0.695068,-0.268478,-0.146552,-0.142313,-0.279218,-0.089677,-0.005199,-0.720928,-0.057689,0.054223,0.205102,0.138792,-0.144678,-0.000921,-0.227005,-0.147968,-0.127486,-0.032627,-0.241187,-0.176511,-0.04686,-0.40256,-0.439234,-0.14378,-0.208116,-0.197556,0.099745,-0.090833,-0.195628,-0.193757,-0.28369,-0.170488,0.058782,-0.416231,0.956844,-0.58082,-0.042395,0,-0.125287,0,-0.128944,1
1.023054,8,0,0,-0.280513,-0.215176,0.675142,-0.60341,-0.140288,-0.101244,-0.100617,-0.302481,-0.070811,0.286489,0.394051,0.483547,0.054959,-0.097033,-0.022023,-0.2748,-0.335016,-0.234913,-0.151577,-0.107942,-0.139979,-0.239919,-0.263228,-0.038268,-0.362596,-0.147021,-0.166914,-0.133998,-0.071462,0.790978,0.014523,0.071218,0.040996,-0.172216,-0.746307,-0.668655,-0.701447,0.132047,0.060486,-0.345329,0,-0.106371,0,-0.06286,2
0.901778,4,1,0,0.08697,-0.063564,2.308252,-0.132622,-0.142367,0.087247,0.177132,-0.290078,-0.09187,-0.061149,-0.952632,-0.247126,0.053829,-0.172869,-0.022739,3.6365,1.681557,0.763443,0.219644,0.124087,0.05578,-0.080529,-0.191577,1.066179,-0.368342,-0.412538,0.60911,0.251139,-0.242951,0.871652,0.028279,0.105525,0.125998,-0.185038,-0.792527,-0.661232,-0.829255,-0.524825,-0.661723,-0.12238,0,-0.075742,0,-0.057432,2
-0.310986,9,0,0,-0.356082,-0.19962,0.155563,0.147907,-0.168842,-0.161447,-0.182208,-0.284192,-0.08736,-0.061568,0.599949,-0.239325,0.053228,-0.308187,-0.125765,-0.312333,-0.338201,-0.289012,-0.267307,-0.180305,-0.206916,-0.250642,-0.20652,-0.396595,-0.087027,-0.220856,-0.371355,-0.246138,-0.18785,-0.656452,-0.13082,-0.182003,-0.19315,-0.301271,-0.353441,-0.772574,-0.459283,-0.244512,-0.100559,-0.354659,0,-0.304823,0,1.006408,3
0.659225,7,1,0,-0.014004,-0.132461,6.159,-0.065961,-0.258146,-0.044029,-0.055041,0.181126,-0.081783,0.177007,0.512282,0.083342,0.054851,0.996711,0.654871,-0.168537,-0.228809,-0.055478,-0.099628,-0.021742,0.015997,0.030361,-0.039295,-0.200336,-0.033481,-0.113109,-0.304329,-0.107523,-0.029686,-0.482607,-0.113923,-0.05255,-0.031992,-0.372654,-0.881114,-0.661232,-0.893833,-0.535265,0.349174,-0.048518,0,-0.106538,0,-0.066759,2
-1.15992,2,0,0,-0.233283,-0.047331,0.554675,0.808955,-0.347288,-0.164107,-0.175421,-0.375265,-0.090092,0.037109,-0.557573,-0.162483,0.054051,-0.014174,0.009231,-0.267472,0.187185,-0.277633,-0.247454,-0.153619,0.207967,-0.297595,-0.192405,-0.278506,-0.264384,9.151866,0.946792,-0.286972,-0.260844,-0.656452,-0.13082,-0.280701,-0.263599,-0.392376,1.445273,1.23901,1.381163,0.545016,0.081959,-0.359519,0,-0.297061,0,-0.168708,4
-0.432262,1,1,0,-0.3063,-0.229706,0.124137,-0.0118,0.005829,-0.094313,-0.109857,-0.303747,-0.088868,0.135258,0.403769,-0.087682,0.054089,0.091513,-0.006106,-0.076396,-0.271579,0.069596,-0.124247,-0.09564,-0.157029,0.216491,-0.122742,-0.19487,-0.131954,-0.226387,-0.22744,-0.087893,-0.126444,-0.330846,-0.096523,0.074769,0.185841,-0.132338,-0.856079,-0.965567,-0.796967,-0.541144,0.785514,0.054501,0,-0.166601,0,-0.05617,1
-0.917367,7,0,0,-0.280894,-0.206861,-0.673189,-0.354823,-0.170749,-0.127051,-0.14198,-0.104871,-0.088475,-0.008315,-0.650524,-0.07778,0.054378,0.637507,0.103109,-0.191303,-0.256434,-0.240775,-0.186676,-0.142854,-0.159555,-0.257509,-0.261075,-0.325801,-0.245316,-0.387045,-0.369061,-0.190084,-0.104056,-0.349088,-0.087779,-0.03774,-0.017967,0.011661,-0.284111,0.337137,-0.42834,-0.508419,0.54476,0.204171,0,-0.187959,0,-0.010101,2
-1.038644,1,0,0,-0.363205,-0.163947,-0.089037,-0.293717,-0.338297,-0.166833,-0.185279,-0.267793,-0.090856,-0.252658,0.693576,-0.180428,0.054342,0.058808,-0.957595,-0.305816,-0.248805,-0.27587,-0.26257,-0.196535,-0.354682,-0.308251,-0.289098,-0.381233,-0.277444,-0.382235,-0.396751,-0.248096,-0.190624,-0.656452,-0.13082,-0.259539,-0.246394,-0.289184,1.191065,2.730996,1.379818,-0.015435,0.871026,-0.320916,0,-0.268039,1,-0.200518,1
0.901778,9,0,0,-0.230045,-0.147831,-0.670273,0.431214,-0.18204,-0.131273,-0.151147,-0.092522,-0.074618,0.122375,0.742224,-0.022919,0.054551,0.135632,0.014376,-0.300709,-0.331204,-0.265417,-0.248553,-0.159689,-0.164607,-0.260709,-0.24307,-0.395069,0.040962,0.12018,-0.33178,-0.231418,-0.174979,-0.369591,-0.0678,-0.133898,-0.12079,-0.332522,-0.650016,-0.794843,-0.716246,-0.522719,0.618234,-0.322315,0,-0.304973,0,0.09746,2
0.537949,2,1,0,-0.090182,-0.055716,0.984233,0.499263,-0.14973,-0.080747,-0.063064,-0.292553,-0.090233,-0.001835,-0.682379,-0.050463,0.054194,0.294766,0.040717,0.261812,0.174389,-0.00766,0.133351,-0.00027,0.069041,0.006083,-0.024062,0.184111,-0.219196,-0.246349,0.234274,0.095927,0.158743,-0.656452,-0.13082,-0.083362,-0.064504,-0.316466,-0.734752,-0.824534,-0.764678,-0.504646,0.633471,2.361739,0,-0.168018,0,-0.113265,2
1.14433,4,0,0,0.428591,0.033892,-0.664135,-1.145025,-0.210678,0.067017,0.197503,0.035735,-0.083501,0.24612,0.133752,0.386704,0.056654,0.775679,0.840094,0.215205,0.14936,0.380087,0.777538,0.506283,0.869759,0.073886,0.031776,1.447122,-0.358416,-0.434184,0.007734,0.514239,0.317309,-0.273099,-0.114514,-0.081327,-0.061796,-0.354586,-0.811785,-0.694635,-0.841364,-0.465253,0.111511,-0.34564,0,0.356763,0,-0.140849,1
-1.281196,7,0,0,-0.045504,-0.069348,-0.602959,0.028474,-0.352368,-0.154476,-0.171017,-0.336097,-0.090756,0.139909,-0.50317,0.0335,0.054308,0.597779,0.238666,-0.22511,0.300958,-0.245326,-0.174433,-0.093118,0.717572,-0.297695,-0.222373,-0.354276,-0.366252,-0.483487,0.837402,-0.166427,-0.141845,-0.045311,-0.117481,-0.271851,-0.252463,-0.468066,-0.264853,0.047647,-0.179449,-0.38094,0.053383,-0.294286,0,-0.305891,0,-0.170544,3
1.14433,8,1,0,-0.296777,-0.213159,0.934931,-0.524251,0.046684,-0.083393,-0.060875,-0.295703,-0.071158,0.237965,0.471766,0.539149,0.055121,-0.054671,-0.035349,-0.249481,-0.338492,-0.190647,-0.083347,-0.084152,-0.153871,-0.291945,-0.293569,0.17445,-0.408306,-0.254286,-0.223409,-0.088593,0.019705,1.04863,0.055302,0.317236,0.285286,-0.011047,-0.798304,-0.702057,-0.718936,-0.520701,0.648979,-0.34494,0,0.08769,0,-0.05119,2
-1.038644,8,0,0,-0.200831,0.069303,0.815512,0.657581,-0.356711,-0.161834,-0.180399,-0.356333,-0.07947,0.658421,1.392827,0.88679,0.056133,0.126193,-0.003534,-0.319843,-0.301154,-0.295565,-0.240904,-0.157925,0.082302,-0.288823,-0.152089,-0.380529,-0.132738,-0.155679,0.573645,-0.226159,-0.1729,5.312365,0.105632,-0.275668,-0.256014,-0.441385,0.253192,0.945808,0.412507,-0.408927,-1.040423,-0.378509,0,-0.308702,0,-0.14646,4
0.659225,8,0,0,-0.244862,-0.199701,-0.563048,-0.295106,-0.216671,-0.121788,-0.123589,-0.197442,-0.066025,0.448992,0.876925,0.6834,0.055789,0.191054,0.109878,-0.295742,-0.335377,-0.252155,-0.179106,-0.114456,-0.10651,-0.30871,-0.297749,-0.161252,-0.501033,-0.622018,-0.278105,-0.167042,-0.101585,1.429483,0.050995,-0.072948,-0.053882,-0.260725,-0.651942,-0.349473,-0.628798,-0.478413,0.576373,-0.318622,0,-0.099245,0,-0.080751,2
0.052843,6,0,0,-0.306452,-0.10503,0.658381,1.47417,-0.124039,-0.15632,-0.181275,-0.257769,-0.034524,-0.081179,-1.245873,-0.290513,-0.025154,-2.622544,-0.953379,-0.32663,-0.361546,-0.341117,-0.324016,-0.252846,-0.494239,-0.059021,0.185177,-0.39005,1.192863,0.95329,-0.304281,-0.312924,-0.253638,-0.656452,-0.13082,-0.201538,-0.194825,0.448184,2.914671,1.027459,2.083439,-0.44288,0.810241,-0.369062,0,-0.30098,1,-0.200518,0
