@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,49,51-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,49,51'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute 52WeekChange numeric
@attribute fiftyDayAverageChangePercent numeric
@attribute twoHundredDayAverageChangePercent numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute earningsQuarterlyGrowth numeric
@attribute revenueGrowth numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
8,0,0,42.77,65.67,8.125141,0.001639,0.02398,0.029903,1.109,617575,3305736704,4266757120,1.719881,4.038,0.03943,0.13795,0.15633,0.04908,0.01172,0.02065,-0.462,-0.142,1056523008,13.42,145747008,165168992,41662000,0.53,95277000,1.233,1056512000,0.564,1.128,24.868,161911008,129852496,0.042766,3.3962,77291016,70717463,1460561,0.0189,2.62,0.0273,0.01601,0.9528,1383,0,42484799.742641,0,80.698113,1
5,0,0,1.95,44,0.7,-0.649281,-0.083647,-0.321666,1.941,670203,230436336,138756336,2.919162,8.536,0,-0.47555,0,0.04646,-0.13752,-0.95593,-0.644,-0.053,16255000,0.136,-7730000,-74132000,-141348000,-1.19,230659008,1.952,138979008,5.371,5.666,0.668,5009000,-11513500,0,0,118172477,101584606,1813335,0.0153,3.01,0.0154,0.03207,0.758,205,0,208052407.185629,1,0,2
9,0,0,46.08,131.89,1.28,-0.505155,-0.082525,-0.23006,0.932,596645,2018304128,3164704000,1.104824,0.79,0.03498,0.28842,0.09196,0.06653,0.0476,0.07709,-0.379,-0.014,4004900096,90.917,1155100032,368300000,140100000,3.14,138900000,3.171,1285299968,1.91,2.108,41.708,377700000,286849984,0,0,43800000,42257364,1967015,0.0449,3.15,0.0739,0.03628,1.01022,3200,0,30816629.135897,0,14.675159,3
8,0,0,41.06,45.46,1.35,-0.006292,-0.011512,0.069093,0.697,1890900,12449802240,16600737792,2.413023,14.893,0.42232,0.99631,0.90489,0.63602,0.04473,0.10648,0.2,0.118,1114637056,4.012,1110521984,1008620032,455451008,1.62,734184000,2.489,5021512192,1.288,1.353,17.016,835070016,735233728,0.066402,1.6543,295000000,293746250,10335819,0.035,5.88,0.0398,0.00207,0.77017,60,0,295105323.930418,0,25.345679,2
9,0,0,9.95,44.04,2.71,0.970297,0.370958,0.917804,1.649,6085278,1665258880,1792322816,2.894125,4.477,0.05276,0.33696,0.15405,0.14433,0.03837,0.03772,0.174,0.117,400353984,2.396,134902000,61676000,21124000,0.12,4686000,0.028,131750000,1.45,2.337,3.438,31424000,20159376,0,0,167362699,143978783,22505584,0.1345,4.3,0.1744,0.00921,1.10925,1290,0,38321698.662013,0,82.916667,2
5,0,0,35.86,902.7,4.2,0.191362,-0.115943,-0.012114,1.494,46050,288860256,15438159872,0.583782,15.643,0.03739,0.95005,0.54332,0.55556,0.02235,0.07546,1.048,0.001,986899968,124.815,937600000,536200000,34300000,3.94,228200000,28.329,15327599616,0.149,1.043,61.427,-945699968,-879137472,0,0,8055222,6096595,91595,0.0114,1.96,0.0124,0.18256,0.54243,4200,0,249525446.725381,0,9.101523,1
8,0,0,6.31,31.6,3.44,-0.241587,-0.099446,-0.147355,1.439,274834,322883136,698313408,0.409927,2.252,0.03049,0.47699,0.29129,0.14372,0.01479,0.01198,-0.215,-0.071,310140000,6.337,147935008,90342000,1344000,0.03,17168000,0.351,371568000,0.126,0.211,15.393,68008000,76815872,0.050633,10.6667,48978564,47797900,874001,0.0178,3.13,0.022,0.0261,0.91949,17,0,24138764.373416,0,210.333333,2
3,0,1,90.54,100.67,3.5,0.173558,0.010527,0.028084,0.584,1902503,40951095296,51826065408,5.156624,2.482,0.07345,0.35463,0.16276,0.12945,0.05369,0.17929,0.146,0.045,20884000768,45.449,7406000128,3399000064,1534000000,3.89,2060000000,4.505,12012000256,0.564,0.834,17.558,2924999936,1775750016,0.022625,0.6048,452298353,208896525,5917629,0.0131,2.94,0.0378,0.54268,0.37461,41000,0,684132603.713407,0,23.275064,2
8,0,0,15.4,587.7629,3.212617,-0.34635,-0.018971,-0.044205,1.639,401250,1105041792,5573787648,0.465594,14.161,0.26088,0.98947,0.81992,0.81107,0.02812,0.04321,-0.058,0.025,393596000,5.502,389452992,322716992,102681000,1.43,13907000,0.194,4451978240,38.284,39.435,33.076,53062000,-248146624,0.045796,0.4951,71755958,55668272,3273968,0.0456,8.53,0.0621,0.22417,0.73957,74,0,134598447.21248,0,10.769231,2
10,1,0,143.81,189.65,16.22,0.019567,0.021767,0.03525,0.697,1324437,28057122816,42954125312,2.626571,8.692,0.21914,0.60279,0.53966,0.38636,0.03499,0.10396,0.043,0.111,4942000128,25.344,2979000064,2667000064,1083000064,5.55,175000000,0.897,15072000000,0.265,0.351,54.752,1950000000,-1340499968,0.021807,0.5626,195098566,194643986,7840241,0.0402,6.61,0.0519,0.00142,0.95298,6700,0,275277615.429573,0,25.911712,3
