@relation 'train_processed_std_bal_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,46,44-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,46,44,48'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
7,1,0,1.2325,0.903486,-1.270237,-0.138,-0.542976,1.403754,0.616155,1.862886,0.139427,0.371267,0.001639,0.236028,0.036042,1.730782,1.349321,0.866246,0.614429,1.041503,1.132929,0.919817,1.330881,0.374374,-0.262966,0.883148,-0.075212,-0.159236,-0.333651,0.320107,0.587605,0.500817,0.32626,0.644496,0.639842,0.02661,-0.829598,1.400033,-1.094432,-0.532853,-0.478545,1.107283,0,1.154865,0,0.331812,4
9,0,0,0.309657,0.497273,2.121443,-0.242088,0.074557,0.025791,-0.329994,0.939632,0.119246,-0.266317,0.903172,-0.443715,0.035956,-0.520307,-0.215339,-0.333679,-0.322474,-0.38475,-0.755788,-0.409771,-0.645976,0.762147,1.260221,-0.40003,0.519506,0.181893,-0.493071,-0.337057,-0.196106,-0.689043,-0.602404,-0.280124,-0.296295,-0.43352,-0.181586,-0.914505,-0.336688,0.756338,-0.314731,-0.154066,0,-0.137808,1,-1.585701,1
9,1,0,1.366339,1.735883,-0.190211,0.970539,-1.015468,0.379858,-0.217667,0.182751,-0.195042,0.114447,0.14474,0.018411,0.036006,0.44499,0.140013,0.290869,1.086047,0.099832,-0.169743,-0.166296,1.222971,0.435752,1.462688,0.252851,-0.142868,-0.258037,1.263662,-0.196099,-0.000986,-0.689043,-0.602404,-0.955671,-0.847597,-1.619228,-0.869691,-0.882067,-0.97943,-0.503696,0.230128,0.346433,0,-0.482291,0,0.470457,2
2,0,0,0.085525,-0.474468,0.385209,0.731137,-0.332929,-0.197278,-0.324324,-1.204747,-0.789082,0.118221,-0.577248,-0.04447,0.036006,0.745914,0.136627,0.540075,0.933117,-0.042417,0.011758,-0.03034,0.95091,-0.716717,-0.77199,0.213945,-1.136199,1.793348,1.134487,-0.28893,-0.160998,-0.689043,-0.602404,-0.346533,-0.248879,-0.496545,-0.174838,-0.155121,-0.094297,-0.254777,0.565396,-0.262553,0,-0.447116,0,-0.301,1
6,0,0,-0.704813,-0.560675,0.35127,0.276618,-1.472058,-1.49806,-0.415207,-0.26278,-0.631284,-0.057579,-0.704082,-0.266801,0.035977,0.108338,0.082936,-0.67679,0.020503,-0.89165,-0.708928,-0.36724,-0.343285,-2.051436,-1.3066,-0.69361,-0.071428,-0.491007,-0.505618,-0.401309,-0.354261,-0.689043,-0.602404,-1.309407,-1.305248,-1.783463,-0.607744,-0.466694,-0.704211,-0.065362,0.050206,0.16963,0,-0.447869,0,0.531447,2
10,0,0,0.549874,0.089077,1.104671,-0.875291,-1.023006,-0.149997,-0.308552,-0.254114,0.700725,0.208318,-0.446132,0.669502,0.036003,-0.188121,-0.005849,-0.611575,-0.316104,-0.833869,-0.463077,-0.326953,-0.088567,-0.950316,-0.707856,0.322265,-1.026329,-1.183164,0.792892,-0.306467,-0.431334,-0.476205,-0.162068,-0.79689,-0.728317,-0.627593,0.269185,1.117908,0.270562,-0.52443,0.093054,-0.612043,0,-0.125636,0,0.826514,1
9,1,0,1.211852,1.197605,-0.459236,0.004254,1.464263,2.152781,2.519726,0.098567,0.229269,0.265143,0.967995,0.240158,0.03603,0.309173,0.075785,1.340438,0.41948,2.881643,2.465134,2.191383,0.688692,2.174536,1.400972,1.015056,-0.189619,-0.58684,1.175906,2.648376,5.312204,-0.364165,-0.135299,1.729009,1.765234,0.954794,-1.057506,-1.420049,-1.281729,-0.294302,-0.550615,1.389091,0,0.394678,0,0.614951,1
7,0,0,-0.080063,-0.384223,-0.816308,0.156917,0.188284,-0.146415,-0.330276,-0.141496,-0.561428,0.012144,-0.318022,-0.103573,0.035997,0.392581,0.123157,0.233617,0.306439,-0.234996,-0.35902,-0.26516,-0.079648,0.238008,0.226233,0.088529,0.222196,0.190811,0.039449,-0.299469,-0.240699,0.126973,0.104574,-0.089958,0.002676,-0.137154,-0.037821,-0.727968,-0.056483,-0.513739,0.780843,0.591295,0,0.072167,0,0.357501,1
8,1,1,0.233587,-0.167181,-1.220341,-0.552618,0.469969,0.860163,-0.060744,0.060258,0.6532,-0.052395,1.013962,-0.255785,0.035952,-0.406557,-0.061495,-0.007354,-0.829449,0.034892,-0.612987,-0.337406,-0.440187,1.349107,0.8468,-0.102672,1.585169,1.462047,0.190854,-0.31932,-0.310291,-0.689043,-0.602404,0.987087,1.050788,0.818591,-0.219353,0.787543,-0.3284,-0.446461,0.936762,0.139075,0,-0.225212,0,1.877898,2
0,0,0,-1.176628,0.030918,-1.095587,1.340053,2.403947,-0.148285,-0.242278,-1.09198,-0.86063,-0.3535,-1.55018,-0.452061,0.035945,-1.005648,-0.421768,0.946952,0.358449,-1.83756,-0.951084,-1.020304,-1.200917,-1.176027,-1.558286,0.81563,-0.687785,0.155356,-0.277172,-0.611248,-0.880631,-0.689043,-0.602404,1.129151,1.185001,2.236727,1.526107,-0.204434,1.39834,-0.398621,-0.906447,0.91193,0,1.04805,1,-1.585701,3
7,0,0,1.184119,0.833244,0.087393,0.030276,-1.517062,0.289573,-0.249013,0.996044,-0.145235,0.155292,-0.21503,0.028883,0.036012,1.19093,0.430596,0.168813,0.84338,-0.251246,-0.267452,-0.183697,0.988265,-0.211851,0.335617,-0.025902,-0.191749,-0.084594,0.368222,-0.265906,-0.178417,-0.080789,0.027713,-0.880596,-0.784581,-1.614095,-0.96639,-0.080955,-1.073614,-0.398513,-0.657765,0.444556,0,-0.248254,0,0.441618,2
2,0,0,0.156621,-0.370918,1.681514,-0.909988,0.35721,0.843988,0.072321,0.655689,0.006806,0.087552,-0.30282,0.244831,0.036042,0.346871,0.25085,0.581597,0.136593,0.254806,0.544859,-0.045231,-0.001859,0.5343,-0.144486,1.15785,-0.537878,-0.717434,-0.405968,-0.073901,0.13191,1.054202,0.812731,0.752061,0.750379,0.634374,-0.1482,0.092303,-0.277211,-0.396677,-0.077382,1.027108,0,1.495265,0,0.419969,2
2,0,0,-0.932649,-1.598465,0.931248,-0.554353,-0.330911,-1.309584,-0.403673,-0.624627,-0.50903,-0.128925,-0.721033,-0.222725,0.035972,-0.280986,-0.070065,-0.509055,-0.17662,-0.857335,-0.682227,-0.376005,-0.47872,-1.87721,-1.387762,-0.173372,-1.958925,-2.35669,-0.428771,-0.383497,-0.384692,-0.689043,-0.602404,-0.788455,-0.76918,-0.016348,1.093979,0.611251,1.195668,-0.359204,0.693302,0.558375,0,0.068912,0,1.907398,0
6,0,0,-0.600708,3.529907,-0.728938,0.240187,-0.297699,-0.993961,-0.415054,-0.22816,3.464751,-0.137763,-1.372662,-0.414562,0.009939,-2.922055,-0.466025,-3.22474,-2.346948,-1.12721,-0.904944,-0.454542,-1.111995,0.239099,0.867695,-2.898554,2.803945,2.974248,-0.427295,-0.454246,-0.407712,-0.689043,-0.602404,-0.710998,-0.799019,0.099002,1.144922,0.674213,0.944527,-0.553263,1.239369,-1.680868,0,-2.879817,1,-1.585701,1
9,1,1,0.140598,-0.249346,-1.530913,-0.429447,0.783494,0.879014,-0.02036,-0.476293,-0.595428,0.146263,-0.28566,-0.001289,0.036009,0.931119,0.151219,1.000888,0.423315,1.056381,0.888861,0.561635,0.382462,0.877603,-0.003667,-0.076462,0.551731,0.362118,0.559672,0.184899,0.386781,0.23098,-0.117104,1.117407,1.187818,1.316677,0.280986,0.81003,0.257192,-0.562982,0.614546,2.155924,0,-0.417451,0,0.048231,3
8,0,0,-1.024315,-1.503875,0.32506,-0.396486,0.381607,-0.496873,-0.351152,-1.126006,0.623079,-0.03503,0.447237,0.796506,0.036013,-0.244076,-0.068557,-0.787139,-1.396255,-0.766302,-0.515723,-0.366878,-0.467128,-1.527971,-1.536276,0.230674,-1.673997,-0.636523,-0.089099,-0.347038,-0.314148,1.291724,3.476998,0.442442,0.521973,0.937361,0.69602,1.109792,0.748355,-0.506287,0.76811,-0.86712,0,0.302812,0,1.417069,1
5,1,0,1.759687,1.672413,-1.373119,-0.006155,-0.180685,1.848129,1.631048,0.230439,0.739089,0.513985,0.744375,0.676684,0.036089,0.406372,0.077012,0.829256,0.526598,1.48688,1.765853,1.168887,1.542339,0.890535,0.43606,1.023242,-0.331187,-0.754873,1.631723,0.886028,1.651539,-0.301054,-0.047844,0.686881,0.766867,-0.67064,-1.845689,-1.140621,-2.05013,-0.546568,-0.080438,1.087788,0,0.130907,0,0.632236,0
