@relation 'train_minmax_processed_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,44,46'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
9,1,0,1,0.394651,0.585009,0.297988,0.09947,1,0.99775,0.386724,0.196539,0.762299,0.836535,0.561402,0.940082,0.704727,0.524477,0.189153,0.156304,0.423304,0.206181,0.344643,0.546667,0.398642,0.349553,0.091313,0.079145,0.085669,0.400838,0.455652,0.70903,0,0,0.154671,0.156933,0.07073,0.081526,0.21464,0.032797,0.002319,0.643325,0.185233,0,0.02047,0,0.238336,1
3,0,0,0.027802,0.009915,0.335187,0.341995,0.05632,0.006423,0.013061,0.038714,0.023389,0.652533,0.354794,0.468585,0.924232,0.593744,0.432404,0.025121,0.050251,0.022044,0.024457,0.080179,0.233939,0.004364,0.01058,0.041791,0.062568,0.099671,0.079995,0.036747,0.18135,0.125766,0.228574,0.065305,0.052742,0.155345,0.43681,0.578001,0.459538,0.432042,0.708766,0.02553,0,0.054068,0,0.134692,2
9,1,0,0.293563,0.275899,0.420197,0.604778,0.048574,0.057442,0.03737,0.062947,0.017053,0.710801,0.303205,0.519316,0.936252,0.791746,0.491454,0.086269,0.223199,0.068094,0.074393,0.141831,0.508687,0.080217,0.246581,0.006642,0.211163,0.213203,0.472713,0.068382,0.250741,0,0,0.041236,0.042113,0.04834,0.237033,0.232558,0.172826,0.083549,0.703166,0.352771,0,0.001104,0,0.051477,1
7,1,0,0.499522,0.23265,0.041781,0.373847,0.032164,0.077276,0.065257,0.223847,0.029127,0.709703,0.296379,0.50165,0.945134,0.832411,0.602502,0.089545,0.316325,0.069395,0.067686,0.143058,0.663838,0.006685,0.036539,0.06055,0.070988,0.177368,0.289039,0.071659,0.223063,0.21599,0.08874,0.02639,0.024944,0.074763,0.46145,0.472482,0.36005,0.298374,0.799779,0.04974,0,0.01998,0,0.065913,3
6,1,0,0.472065,0.133161,0.030117,0.260268,0.065009,0.266111,0.209868,0.183163,0.097473,0.880329,0.632501,0.707405,0.974374,0.936787,0.57706,0.087472,0.099572,0.137956,0.170003,0.302744,0.610101,0.092571,0.123522,0.034002,0.164574,0.226929,0.328411,0.18704,0.339796,0.101465,0.044211,0.110512,0.112741,0.203405,0.368727,0.650872,0.276169,0.012578,0.300497,0.084403,0,0.009429,0,0.069188,2
8,0,0,0.076717,0.017175,0.4183,0.227578,0.148896,0.098515,0.094588,0.047104,0.127049,0.849579,0.587044,0.835751,0.960088,0.621562,0.461162,0.031656,0.014696,0.044812,0.09161,0.143457,0.270303,0.025607,0.014519,0.180578,0.057587,0.157325,0.174048,0.103144,0.258879,0.443416,0.200131,0.26121,0.232031,0.184878,0.139072,0.263659,0.118845,0.182927,0.644893,0.014856,0,0.111059,0,0.072368,2
0,0,0,0.476624,0.15109,0.106223,0.27368,0.02202,0.101609,0.084249,0.056027,0.013612,0.688665,0.296016,0.481076,0.934789,0.731732,0.483205,0.210992,0.478712,0.180053,0.124496,0.196041,0.78303,0.019033,0.071702,0.067124,0.115829,0.21388,0.767465,0.139569,0.26435,0.220789,0.066069,0.038747,0.040886,0.0195,0.108743,0.289318,0.082847,0.006743,0.541982,0.121161,0,0.005693,0,0.049259,2
2,0,0,0.093122,0.030249,0.065648,0.189019,0.066632,0.02773,0.049393,0.031374,0.017923,0.718344,0.209505,0.545586,0.936919,0.679348,0.443662,0.106204,0.169379,0.061007,0.105577,0.092242,0.263434,0.026118,0.053597,0.197445,0.058244,0.097208,0.275192,0.076959,0.23627,0.672506,0.441002,0.074915,0.076483,0.092919,0.251537,0.334287,0.202177,0.019919,0.554604,0.168334,0,0.074943,0,0.101562,2
2,0,0,0.140376,0.040077,0.120452,0.497485,0.088696,0.028179,0.029062,0.024864,0.009787,0.710845,0.197626,0.492015,0.935775,0.729451,0.501921,0.109359,0.230685,0.05982,0.074205,0.160073,0.512727,0.02618,0.079727,0.075537,0.049694,0.293747,0.443103,0.06336,0.213127,0.210737,0.027887,0.048463,0.048642,0.144702,0.505698,0.378696,0.470116,0.087901,0.866853,0.020386,0,0.014659,0,0.022323,4
7,0,0,0.059193,0.009124,0.070076,0.403185,0.074258,0.027717,0.020418,0.123162,0.036619,0.735044,0.356335,0.577081,0.951995,0.81065,0.526719,0.024623,0.027004,0.021692,0.039099,0.101255,0.263434,0.029412,0.038706,0.019371,0.178966,0.247593,0.055842,0.047924,0.199688,0.137032,0.055914,0.118102,0.119371,0.077435,0.130154,0.268189,0.080282,0.036155,0.806314,0.028838,0,0.03563,0,0.066178,3
7,1,0,0.156442,0.04142,0.026864,0.457251,0.072444,0.069733,0.105452,0.151042,0.066675,0.761483,0.392666,0.571966,0.953109,0.918801,0.587326,0.065451,0.076483,0.064642,0.078865,0.160738,0.370505,0.014171,0.010613,0.013525,0.083004,0.124061,0.122321,0.081735,0.233612,0.249654,0.074042,0.086844,0.17021,0.051008,0.090485,0.213623,0.05819,0.016188,0.745563,0.099345,0,0.01139,0,0.048611,3
9,0,0,0.01489,0.020924,0.014495,0.370914,0.025584,0.000438,0.000985,0.001618,0.004545,0.5948,0.146412,0.438087,0.922409,0.554154,0.379485,0.018122,0.084069,0.007178,0.018698,0.068463,0.163232,0.009665,0.055041,0.014316,0.12561,0.176508,0.175835,0.031109,0.184031,0.861494,0.072119,0.024676,0.026664,0.031651,0.253916,0.279757,0.186687,0.085007,0.675722,0.053646,0,0.00815,1,0,3
9,1,1,0.307254,0.090866,0.653122,0.41995,0.275975,0.352943,0.273876,0.379242,0.216379,0.67761,0.85219,0.407597,0.914346,0.563409,0.450701,0.052529,0.026669,0.10772,0.017262,0.097308,0.240404,0.272261,0.161412,0.049768,0.230918,0.226527,0.086299,0.1154,0.288492,0,0,0.231818,0.233267,0.286754,0.249745,0.316026,0.168977,0.017623,0.607818,0.053646,0,0.059758,0,0.601244,1
7,0,0,0.025279,0.014804,0.213014,0.77829,0.417675,0.016662,0.010331,0.271753,1,0.641337,0.080246,0.399181,0,0,0.027029,0,0,0,0.003505,0.056641,0.197172,0.016187,0.017188,0.007958,0.26231,0.270984,0.006792,0.019261,0.165931,0,0,0.161726,0.132789,0.793881,0.925863,0.56609,0.803653,0.30098,0.057746,0.00487,0,0.078747,1,0,0
9,1,0,0.053778,0.008,0.259101,0.522213,0.83648,0.209558,0.27123,0.032065,0.018411,0.674467,0.301036,0.52178,0.929743,0.622768,0.456064,0.425026,0.07306,0.441865,0.411603,0.260128,0.259798,0.271898,0.047716,0.565652,0.045981,0.07527,0.167414,0.253788,0.144834,0.298651,0.121348,0.703001,0.704146,0.709841,0.239478,0.193855,0.167687,0.006911,0.59882,0.348676,0,0.407183,0,0.066527,2
7,1,0,0.426507,0.12436,0.043317,0.316429,0.019182,0.093357,0.080938,0.127258,0.070045,0.784831,0.572765,0.656077,0.962842,0.770876,0.51647,0.04861,0.134158,0.067828,0.084773,0.150501,0.547071,0.011785,0.042609,0.084693,0.080693,0.127142,0.403081,0.083242,0.227269,0.173784,0.077851,0.041627,0.03919,0.028412,0.144935,0.400699,0.091971,0.131588,0.497754,0.062878,0,0.018758,0,0.071847,2
4,0,0,0.025601,0.100077,0.10792,0.49078,0.034059,0.002546,0.002102,0.057433,0.015867,0.691624,0.187454,0.502528,0.93653,0.700322,0.493955,0.008928,0.033295,0.00441,0.020009,0.082023,0.250505,0.00249,0.011109,0.007287,0.122862,0.162956,0.052643,0.032357,0.184244,0.045302,0.012793,0.034158,0.036136,0.163427,0.674387,0.73189,0.857437,0.021927,0.952544,0.028013,0,0.014302,0,0.045901,4
5,0,0,0.429567,0.112367,0.318976,0.417016,0.010072,0.047684,0.054704,0.058671,0.065459,0.832659,0.55591,0.672388,0.960965,0.668388,0.507443,0.035686,0.179879,0.04804,0.069061,0.148471,0.776566,0.028554,0.179546,0.104487,1,1,0.68591,0.111016,0.216491,0.00221,0.000575,0.0191,0.019225,0.010451,0.132397,0.275343,0.105348,0.085485,0.718607,0.034566,0,0.010991,0,0.043444,1
5,0,0,0.289158,0.09122,0.363751,0.517603,0.104932,0.310924,0.264851,0.273933,0.131083,0.728643,0.390563,0.608066,0.95185,0.632023,0.503702,0.082366,0.067958,0.081955,0.113459,0.136738,0.296566,0.115841,0.106217,0.38563,0.042317,0.043321,0.122803,0.397311,0.376746,0.37512,0.462046,0.160528,0.161515,0.171824,0.220228,0.421675,0.141608,0.291726,0.54832,0.031924,0,0.343181,0,0.178866,2
