@relation 'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R2-3,45'

@attribute numberOfAnalystOpinions numeric
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
-0.91114,-0.200883,-0.997559,-1.359238,-0.488262,-0.541703,-0.306894,-0.079895,-0.725651,-0.524553,0.094793,-0.228059,0.122342,0.108832,-0.3409,0.085408,0.278313,0.429142,-0.19387,-0.195127,-0.217563,-0.043943,0.680681,1.057154,0.629216,-0.807104,0.414852,0.40304,-0.211858,0.063722,0.081324,-0.179479,-0.184624,-0.102682,-0.882534,-1.047529,-1.043174,-0.85552,-0.3621,0.386762,-0.149038,0.435984,0.092231,4
-1.032492,-0.117618,-0.459659,1.464287,0.97299,-0.92781,-0.44193,-0.548031,0.974613,-0.002377,0.662001,0.060801,0.650177,0.124549,1.734935,1.562401,-0.500174,-0.257866,-0.323867,-0.326687,-0.236758,0.145913,-0.047835,0.181922,-0.601873,0.968013,0.629517,-0.958441,-0.311732,-0.24854,2.529536,0.542358,-0.466574,-0.452775,-0.317065,0.223321,1.555044,0.409176,-0.313923,0.004227,-1.070632,-0.092545,-0.025241,4
-0.668437,-0.295124,0.785726,-0.898661,1.480602,0.375366,-0.071463,-0.268914,1.816941,1.169202,0.318329,1.748287,0.029414,0.120228,0.89125,0.559632,-1.029398,-1.43674,-0.337592,-0.397682,-0.322517,-0.493207,-0.173103,-0.569118,-0.671016,0.973176,0.991708,-1.868459,-0.432475,-0.403686,-0.693431,-0.579137,0.251191,0.207317,1.288465,1.616334,2.014494,1.502611,0.388943,-1.623405,-1.309396,0.349886,1.197487,1
3.457515,0.903453,0.620594,1.907851,0.075337,1.036973,1.350187,1.182627,1.726788,1.522446,0.012208,1.461876,-0.738689,0.084736,-0.521284,-0.143088,0.062786,-0.751354,-0.113666,-0.411241,-0.293032,-0.495087,1.441233,1.068932,0.076977,1.150242,0.838979,-0.501052,-0.136413,0.035936,-0.693431,-0.579137,0.880597,0.958612,0.798869,-0.136838,-0.284803,-0.373984,-0.500534,-0.158359,0.189976,0.365056,2.113598,1
-0.668437,0.768431,0.499311,0.083816,-1.15637,-0.933379,0.202453,0.13059,0.029051,-0.070346,0.236618,-0.236957,0.167199,0.108573,0.518409,0.199308,0.166585,0.610306,-0.227775,-0.22532,-0.170292,0.523746,-0.405308,-0.272375,0.041531,-0.440421,-0.501618,0.802546,-0.237343,-0.220883,-0.054074,-0.065956,-0.526142,-0.423762,-1.328352,-1.223947,-0.742149,-1.366197,-0.477645,0.305469,0.552595,-0.41071,0.359234,1
0.181024,0.775334,2.001609,-0.747548,0.989786,0.132606,0.267613,0.070842,-0.241659,-0.232306,0.243049,1.053464,0.082668,0.109717,0.433614,0.077458,0.22055,0.59968,-0.073492,-0.225278,-0.14909,0.548183,0.577236,1.172755,-1.010282,-0.066723,-0.48893,1.041022,-0.204153,-0.035038,-0.693431,-0.579137,-0.441634,-0.389552,-0.74447,-0.462032,-1.47889,-0.477693,0.085087,0.217735,0.815428,-1.656178,0.351262,2
-0.06168,0.235757,-0.336893,-0.98309,0.161183,0.237586,-0.017117,-0.105705,-0.280985,-0.806252,0.147098,-0.348591,-0.281546,0.104189,0.602635,0.34067,0.44317,0.732259,-0.150942,-0.25413,-0.131701,0.394042,0.359805,0.599097,0.044782,-0.545088,-0.249522,0.493643,-0.244894,-0.211531,-0.693431,-0.579137,-0.253218,-0.440064,0.591213,1.290964,0.818132,1.561181,2.765811,-0.703847,0.47974,-0.232319,0.052531,3
0.302375,-0.622785,0.073066,-0.055986,-0.519988,0.264624,-0.61781,-0.336227,-1.329051,-0.663292,-0.158502,-0.373816,0.281463,0.097145,0.04032,-0.31568,0.136645,0.261422,-0.248314,-0.212991,-0.365486,-0.62667,-0.347139,-0.507201,0.363135,0.090575,0.034885,0.46378,-0.269544,-0.395914,1.290887,0.32258,-0.162033,-0.095666,0.348149,0.790063,0.287558,0.867033,-0.195779,0.502351,0.228745,0.12068,-1.562232,3
-0.183031,0.312212,-0.365634,0.510135,-0.671152,-0.541165,-0.320718,-0.464843,1.579087,0.950006,-0.600998,1.424407,-1.10903,0.085214,-1.220521,-1.050202,-1.061941,-0.751354,-0.34378,-0.426381,-0.377248,-0.79209,-0.061309,0.470556,-0.565806,0.983789,0.720475,-1.011561,-0.412792,-0.360043,-0.693431,-0.579137,-0.765879,-0.85021,0.302442,1.597203,1.894366,1.158102,-0.395684,1.376998,-1.339964,-0.024382,-1.562232,0
-0.91114,-0.429143,-1.323402,0.614434,-0.883902,-0.262833,-0.221561,-0.323217,0.301086,0.036488,0.419803,-0.242386,0.441399,0.13517,1.141231,0.540058,-0.320329,-0.638311,-0.315608,-0.311401,-0.233448,-0.250717,-0.538667,-0.95309,-0.406172,-0.529246,-1.129616,-0.719011,-0.331256,-0.223042,-0.693431,-0.579137,0.185835,0.195708,-0.71405,-1.330696,-1.133634,-1.386191,0.369752,0.269639,1.02056,-0.021555,0.220374,1
0.787781,1.059131,0.722962,-1.460324,0.698655,-0.091087,0.812306,0.684556,1.255496,0.020214,0.35374,0.082719,0.142436,0.11187,1.989603,1.338371,0.613063,0.728679,0.019896,-0.010593,0.167828,1.121512,0.630092,0.746763,0.122583,-0.584127,-0.226993,0.068794,-0.043052,0.028872,-0.090621,-0.120231,0.017273,0.10662,0.144024,0.220765,0.71794,0.194764,-0.469349,0.297555,0.767389,0.090446,0.313833,3
0.181024,-0.044015,-0.095355,-1.00619,0.426187,0.563106,-0.076673,0.141295,-0.810061,-1.187382,-0.048721,-0.85827,-0.312308,0.101039,-0.088363,-0.041193,0.925021,1.148005,-0.036483,-0.062928,-0.206389,-0.105975,1.081896,1.575415,0.831727,-0.978972,-1.589845,0.643976,-0.003067,-0.005166,-0.693431,-0.579137,-0.031078,0.064961,0.213619,0.395142,-0.999539,0.399926,-0.525422,0.054291,0.999341,0.513311,0.276832,0
2.001297,1.539681,1.466847,2.045129,4.684906,1.649235,1.651934,1.497361,0.860085,1.26447,1.252202,1.649388,0.509564,0.107666,-0.381522,0.601696,0.5237,0.060549,0.248165,0.06976,0.965115,1.386559,1.82757,2.062831,0.689282,-0.151533,0.220099,0.923658,0.106706,-0.174112,-0.693431,-0.579137,0.520555,0.600932,0.810879,0.273399,-1.61782,0.13276,-0.465651,-1.548738,-0.09472,0.204523,0.577364,2
0.302375,0.843128,0.624873,0.975679,0.510167,0.146993,1.262585,1.161641,1.276966,1.088684,0.206745,-0.249611,0.268653,0.113939,-0.14958,0.14144,0.334131,-0.041496,-0.177645,-0.1326,-0.180403,-0.233799,0.889545,0.604172,1.180989,-0.879499,-1.54616,-0.182092,0.757389,0.355274,0.638326,1.701002,0.523737,0.604234,0.292199,-0.310273,0.425012,-0.570284,0.645221,-0.435428,-0.094165,1.349903,1.122807,2
-0.304383,0.009177,-0.317043,-0.730867,0.204106,0.349341,0.04335,-0.004231,-0.03235,-0.471539,0.084334,-0.449368,-0.20387,0.104148,0.384754,0.179955,0.312014,0.278758,-0.210563,-0.267193,-0.216238,-0.14921,0.365793,0.2576,0.206187,0.259851,0.204821,0.03749,-0.276684,-0.217764,0.071041,0.03156,0.08027,0.173514,0.053512,-0.008295,-0.742149,-0.052169,-0.528021,0.799053,0.661221,0.196437,0.372822,1
-1.032492,-0.986063,-1.211933,-0.24281,0.308615,0.370331,-0.902416,-0.629258,-0.475423,-1.127498,0.050152,0.296395,-0.276533,0.100254,0.590847,0.6328,0.17902,0.298509,-0.170887,-0.313455,-0.261108,-0.216881,-0.645931,-0.833467,0.160099,-1.046703,0.381509,-0.655897,-0.338929,-0.283004,-0.693431,-0.579137,-0.166447,-0.072277,1.101423,1.939016,1.392733,2.211002,-0.497336,1.898436,0.510721,0.54051,-0.224195,3
-1.032492,-1.971922,-1.18413,0.130901,-1.079855,-1.121475,-2.346239,-2.786603,-1.498707,-2.412658,-1.386284,-0.236672,-0.699401,0.088403,-0.409361,-2.22987,-0.935194,-0.310163,-0.358688,-0.415979,-0.436987,-1.636105,-0.866722,-0.353152,-1.7473,1.057217,0.75345,-0.843989,-0.412104,-0.357085,3.504502,1.199534,-1.127143,-1.079941,-1.804462,-1.0753,-1.142926,-1.289351,0.081489,-0.275359,-1.001112,-1.366593,-1.562232,2
-0.789789,-0.114258,-0.684517,-1.498678,0.633337,-1.10008,-0.865755,-1.055383,1.117459,0.883422,0.662644,0.483907,0.379104,0.12073,1.561937,0.507339,-1.557955,-1.138752,-0.370153,-0.406554,-0.330359,-0.340946,-0.721697,-0.211796,-2.474592,1.643138,1.712609,-1.076739,-0.399924,-0.342258,-0.146386,0.102599,-1.069076,-0.988988,-0.595183,0.67502,0.700705,0.341278,-0.138606,0.038768,-0.758278,-2.002567,0.647614,1
-0.789789,-2.372292,-1.027085,-0.756854,2.480897,-0.376142,-2.033968,-2.184962,0.346033,0.335133,-4.699447,-2.226488,-4.699464,-0.012774,-4.250545,-3.799637,-2.224758,-2.125936,-0.382107,-0.431075,-0.380197,-0.715019,-0.958467,-1.062613,-1.280241,1.654814,1.521507,-2.849488,-0.433079,-0.383617,-0.693431,-0.579137,-0.24762,-0.383812,-0.01152,0.368054,1.284553,0.013358,-0.356703,-0.703602,-1.6636,0.262374,-1.562232,1
-0.547086,-2.759937,-0.767775,-0.957128,1.736275,1.353814,-1.58181,-1.371098,0.978241,0.582339,-0.127803,-0.676309,-6.976266,-0.048071,-5.216664,-6.30062,-1.645263,-2.208215,-0.376668,-0.472996,-0.592357,-0.983826,-0.04195,-0.881461,-0.19746,1.723296,1.743965,-3.806422,-0.458601,-0.329403,-0.693431,-0.579137,0.815619,0.894054,1.690686,1.406789,1.02416,1.134646,0.204031,-2.07441,-1.078757,1.947462,-1.562232,2
0.545078,1.852866,1.816446,-1.341781,-1.678912,0.131419,1.834635,1.804517,1.987447,-0.357859,0.070108,-1.464153,-0.351981,0.094751,0.428927,2.030037,1.891623,1.954598,0.27716,1.320206,1.582836,2.786984,0.789748,0.386349,1.402126,-0.327116,-0.77255,0.298679,1.049846,1.484645,0.520356,0.462432,0.592768,0.541124,-0.751867,-1.972587,-1.593934,-2.014257,-0.575498,-0.947418,1.719656,1.311052,0.48687,3
-0.547086,-0.09639,-0.575844,-1.494992,-0.260583,1.302058,1.214305,1.479451,0.429545,1.555874,0.96461,0.124352,1.021975,0.134909,1.190801,0.301426,0.312124,-1.164051,-0.137988,0.054169,0.363555,-0.265755,1.560456,-0.304287,-1.089828,1.964927,1.997936,-0.470384,0.104637,0.057942,-0.693431,-0.579137,1.850291,2.443077,1.456512,-0.449037,-0.187476,-0.526417,0.280994,-0.245725,0.583837,-0.884108,0.489328,2
-1.396547,-0.635468,-0.961479,-0.280673,0.924468,-1.53659,-1.333451,-0.993326,-1.245298,-1.78423,-0.139017,-1.059088,-0.705228,0.091316,-0.497565,-0.333639,0.285715,1.333501,-0.291828,-0.399467,-0.357032,-0.649228,-1.410006,-0.931104,-0.086096,-0.212199,0.163595,0.378644,-0.354886,-0.301812,0.841273,0.90384,-1.15928,-1.265326,-1.164957,-0.058179,0.80508,-0.036561,-0.148102,0.480386,-0.038492,-0.305351,-1.562232,4
0.787781,-0.147336,-0.822315,-0.416669,-0.059031,-0.435534,-0.408636,-0.657574,0.509853,4.171295,-0.127803,-1.801055,-0.780976,-5.104839,-4.114049,-1.476439,-3.396293,-2.476822,-0.40867,-0.494688,-0.478258,-1.231955,0.215655,0.510194,-2.24559,2.690071,2.754942,-0.593776,-0.481829,-0.434242,-0.693431,-0.579137,-0.386997,-0.344321,0.34067,1.104602,1.967719,0.824124,-0.569401,1.206559,-1.391928,-2.034356,-1.562232,0
-1.032492,-1.282694,-2.019422,0.17404,-0.471466,-1.097614,-1.626633,-1.517223,-1.176758,1.280911,3.636881,1.423549,1.449855,0.123039,-0.256958,0.097318,-2.247018,-1.933645,-0.376619,-0.411518,-0.319648,-0.322148,-1.10741,-0.815748,-0.799202,-0.709075,-0.944755,-0.376698,-0.411195,-0.359678,0.368342,-0.255764,-0.879828,-0.873295,-0.633286,0.342712,1.271853,0.221935,0.522779,-1.88759,-2.762707,-0.630358,-0.2278,2
0.181024,-1.23135,-0.774372,0.956749,-0.491995,0.9585,-0.416321,-0.771161,0.052899,0.014621,-0.369142,1.652858,-1.056675,0.084816,-0.89796,-0.449566,-0.715764,-1.540294,-0.307942,-0.430602,-0.375564,-0.598474,0.593368,-0.102744,-1.583391,0.815743,0.493888,-1.370896,-0.357528,-0.250092,-0.693431,-0.579137,0.609534,0.606718,0.761015,0.033819,-0.238368,-0.043226,0.102079,-0.233025,-0.014155,-0.895121,-1.562232,2
0.181024,1.079061,2.228788,1.072048,2.73657,-0.53284,-0.267573,-0.466604,1.194279,4.402371,-0.127803,-1.801055,-0.780976,-4.193595,-5.883801,-2.215269,-3.376263,-2.294972,-0.405237,-0.48402,-0.465743,-2.897427,-0.067677,1.316046,-3.387004,1.790701,1.624589,0.142499,-0.470668,-0.412143,-0.693431,-0.579137,-1.535188,-1.665301,-0.566763,1.395563,0.676305,0.969084,-0.563604,1.325277,-1.916203,-3.656364,-1.562232,1
-0.547086,-1.356371,-2.230179,0.439076,0.870347,-0.043167,-0.756274,-0.692141,-0.710409,-0.440929,-0.078695,0.149863,-0.11527,0.100964,-0.126286,-0.226138,-0.338193,-0.852302,-0.301553,-0.361924,-0.340327,-0.543961,-1.348578,-1.490153,-0.149954,-0.55471,0.312124,-0.854039,-0.37063,-0.326542,-0.693431,-0.579137,0.44544,0.528476,-0.002275,-0.624239,0.658678,-0.936338,-0.485041,0.802182,-0.079143,0.325413,1.152844,1
-1.396547,0.35229,-0.101522,-0.019247,-1.203026,-1.618095,-0.403175,-0.421217,-0.527962,0.047643,0.595641,-0.036465,0.764655,0.126148,0.401657,0.258792,-0.41756,0.186452,-0.318471,-0.304088,-0.218733,0.711723,-0.056135,0.651181,-0.01269,0.808867,0.79381,0.829899,-0.303093,-0.3733,0.492797,-0.093046,-0.926259,-0.826018,-0.020139,1.341124,3.411498,1.3418,-0.393785,-1.018342,-0.392954,-0.483444,-0.027501,3
-0.789789,-0.573955,0.131745,-1.176697,-1.520283,-1.569474,-1.544652,-1.421321,-1.626455,-0.658761,-0.16506,-0.18014,0.258628,0.113832,0.296409,-0.30868,-0.859679,0.105117,-0.354567,-0.382701,-0.353345,-0.615392,-1.74884,-1.014582,-0.58067,-0.387002,0.627303,0.77018,-0.378102,-0.291095,0.215408,0.696535,-1.525031,-1.755407,-0.960421,0.783476,1.453824,1.109003,2.864565,-1.594323,-1.006631,-1.049235,-1.562232,0
-1.275195,-1.425087,-0.351531,-0.519499,-1.33926,-1.161541,-1.873943,-2.321493,-0.397401,0.030421,-1.122366,0.17819,-3.669286,0.011363,-2.675665,-1.975369,-2.145709,-1.721383,-0.377914,-0.429121,-0.387787,-1.008263,-0.616497,-0.07487,-2.561228,1.388415,1.318832,-1.195167,-0.42367,-0.362894,-0.693431,-0.579137,-1.058492,-1.363013,-0.852692,0.270941,0.287558,0.76598,0.250109,-0.475553,-1.52293,-2.026952,-1.562232,0
1.879945,0.493329,-0.098277,-1.217405,0.245163,1.215971,1.201623,1.114318,1.086115,0.357432,0.564683,1.132934,0.257171,0.111709,0.519971,1.066386,0.780676,-0.079055,0.454417,0.194703,0.656725,0.281257,1.416494,0.760132,0.886191,-0.200693,-0.758212,-0.395821,0.137071,0.373341,-0.1299,-0.157802,1.186764,1.261447,0.931691,-0.283475,-0.536109,-0.446262,-0.559206,0.347987,0.488456,1.15974,0.30767,3
-0.91114,-0.102608,-0.906197,1.493018,0.864749,-0.538703,-0.3343,-0.409606,1.325178,-0.149844,0.249046,-0.633451,-0.014073,0.110709,1.456689,2.131331,-0.274607,-0.142691,-0.328057,-0.345742,-0.263639,-0.139811,-0.336552,-0.352824,-0.252418,0.184602,0.232795,-1.241478,-0.368062,-0.325017,-0.486683,-0.418384,-0.330934,-0.301622,-0.77719,-0.674612,-0.563209,-0.85552,-0.554209,0.714141,-0.002399,0.436684,0.279211,1
0.66643,1.564724,1.38872,-0.306361,-0.534918,-0.074889,1.561621,1.55802,1.156816,0.55912,0.391385,0.099944,0.577599,0.118264,0.257349,0.901015,1.051784,0.881947,0.485071,0.865365,0.846637,1.662884,0.759868,0.413082,1.320821,-1.61654,-0.717386,0.697368,0.494495,1.151435,-0.323063,-0.181476,0.522474,0.58446,-0.768597,-1.903889,-1.501338,-2.13244,-0.279739,-0.032217,1.352696,0.999405,0.517434,2
0.181024,0.101673,-0.236278,0.009243,-0.687948,0.731672,0.790574,1.339703,-0.762558,0.221287,0.374528,0.332273,0.770182,0.112425,-0.109952,0.170517,1.078266,0.470695,0.636672,1.116229,0.860892,0.715482,-0.518776,-1.325385,1.683273,-1.116404,-0.928384,0.76029,1.245462,-0.943191,1.945815,0.304231,1.034764,1.113728,0.378526,-0.904675,-0.842465,-1.043016,-0.560705,-0.039211,0.59185,1.346407,-0.200674,2
-0.789789,-1.852986,-1.389678,0.027907,-0.014242,0.411428,-0.717331,-0.781047,-0.849851,-0.447469,-0.169673,-0.473776,-0.589293,0.08895,-0.484071,-0.319164,-0.41539,-1.37617,-0.3339,-0.404205,-0.357745,-0.572157,-0.340831,-1.231084,-0.380621,0.187751,-0.24603,-1.269715,-0.373106,-0.303251,-0.693431,-0.579137,1.044142,0.377351,0.300047,-1.033865,-0.017015,0.496569,-0.170191,0.039198,0.27915,0.317333,-1.562232,1
-0.91114,-0.693997,-1.078909,-1.24893,1.635499,-0.729639,-1.596903,-1.760599,0.926778,0.344847,0.355022,0.701664,-0.24093,0.102439,1.056294,0.657093,-1.842741,-1.152099,-0.373896,-0.415062,-0.342963,-0.438694,-2.134427,-1.300057,-2.841164,0.184602,1.10368,-1.53818,-0.416617,-0.370435,-0.693431,-0.579137,-1.467438,-1.519359,-0.184611,1.879236,1.416467,1.856892,1.48692,-1.113255,-1.725566,-2.128201,0.562755,0
-1.032492,-1.807792,-1.844327,-0.344887,0.939398,-0.465571,-1.47964,-0.737928,-1.610833,0.122708,-0.08749,0.000923,0.529314,0.104447,-0.264912,-0.283911,-0.757796,-0.932861,-0.345792,-0.364695,-0.354865,-0.583436,-1.187124,-1.2776,0.14106,-1.875859,-2.584764,-0.571579,-0.368427,-0.324775,2.060936,1.232186,-0.082404,-0.220257,-0.179969,-0.126738,0.765368,0.37964,-0.21447,0.516032,-2.07887,0.472654,-1.562232,3
4.671031,1.278124,1.269721,-0.367197,0.039878,1.537805,2.269071,2.129913,0.215632,0.601968,0.434904,1.368324,0.457637,0.117945,0.294562,0.07087,1.5466,0.396429,3.0252,2.341546,2.713575,0.728641,2.246899,1.439456,1.11954,-0.170251,-0.602125,1.192072,3.389718,6.353725,-0.389073,-0.175645,1.835796,1.87857,1.051814,-1.040679,-1.445718,-1.308112,-0.324918,-0.48402,1.479471,0.506718,0.629193,1
2.001297,0.642498,0.638155,-1.547753,0.687458,1.454013,2.174549,2.163919,-0.529422,-0.102893,0.282163,-0.265815,0.102377,0.109219,0.152954,0.079042,2.049945,0.579034,3.567633,4.292145,4.961257,0.632773,1.627518,-0.154401,1.714516,-0.679571,-1.173563,1.143601,5.11645,3.235009,-0.275908,-0.190875,2.398111,2.452808,1.124138,-1.752613,-0.948491,-2.014257,-0.576998,-1.028036,1.918877,1.162286,0.213337,1
0.181024,-0.128919,-0.660763,-0.365356,-0.189667,0.384335,0.251544,0.242663,-0.690334,-1.086228,-0.07693,-1.04321,-0.194531,0.100903,0.312601,-0.143437,0.949955,0.738937,-0.091903,0.04607,-0.249154,-0.365383,1.058433,0.896684,0.62328,0.368323,0.155955,0.450379,0.072058,0.113574,-0.221904,0.079036,0.525611,0.607569,0.276597,-0.318034,-0.255646,-0.487283,-0.484542,0.753162,1.117857,0.402904,0.705593,2
0.181024,0.301485,-0.116512,0.358501,-0.924958,0.543762,0.922674,1.251513,-0.589041,0.359215,0.095329,0.439988,0.695377,0.120141,-0.047315,-0.105903,0.905127,0.282189,0.410749,0.663454,0.044213,-0.134172,0.009858,-0.948544,1.551153,-1.255719,-1.189757,0.827328,0.536859,-0.563755,1.193484,0.98463,1.002662,1.082259,-0.086752,-1.564862,-1.889063,-1.528614,-0.565103,-0.309041,0.449756,1.168958,0.56469,3
0.302375,0.002273,-0.137728,0.850748,0.444849,0.105454,-0.015653,0.077856,-0.178999,-0.330976,0.166977,0.060107,0.086482,0.11024,0.468697,0.24948,0.293075,0.305479,-0.153754,-0.198438,-0.169464,0.031248,-0.214662,-0.481016,0.479457,-0.291531,0.125592,0.155218,-0.258321,-0.179164,0.212835,-0.068561,0.004463,0.098776,-0.042665,-0.045525,-0.302519,-0.086306,-0.533518,0.220066,0.465201,0.418247,0.158882,3
