@relation 'train_std_bal_main_finantial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R2-3,45'

@attribute numberOfAnalystOpinions numeric
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
0.707889,-0.197785,-0.198806,1.495885,0.76276,-0.102284,-0.116118,-0.11752,-0.217306,-0.038833,0.041813,0.499179,0.17055,0.052529,0.208962,0.030969,-0.221183,-0.285244,-0.140923,-0.125438,-0.133771,-0.172516,-0.112337,-0.162567,-0.089229,-0.10702,-0.182674,-0.139488,-0.159042,-0.112285,-0.406665,-0.096352,-0.138535,-0.118532,-0.111228,-0.134592,-0.75757,-0.320149,-0.507528,0.72762,-0.124451,-0.168656,0.011878,1
-0.146174,-0.637695,-0.403207,-0.341021,-0.783648,-0.128093,-0.179688,-0.197295,-0.371373,-0.039773,-0.18671,-0.867194,-0.256044,0.05212,-0.360725,-0.360848,-0.271355,-0.309579,-0.277523,-0.267741,-0.215186,-0.606853,-0.152667,-0.24392,-0.376633,-0.282063,-0.404537,-0.426298,-0.25881,-0.247006,-0.664803,-0.129392,-0.217956,-0.223419,0.257135,1.980544,0.878248,1.104004,-0.400657,1.011632,-0.231338,-0.271936,-0.282303,1
0.58588,-0.440772,-0.377598,-0.584061,-1.194849,-0.139372,-0.136889,-0.16133,-0.099671,-0.038858,0.317397,1.6892,0.205316,0.053052,1.579257,0.414155,-0.270564,-0.390935,-0.167197,-0.193007,-0.104107,-0.161627,-0.104773,-0.184467,-0.421183,0.251693,0.14194,-0.430023,-0.165428,-0.092182,-0.664803,-0.129392,-0.063575,-0.0799,0.210904,0.113563,1.061779,0.109809,-0.337916,0.347249,-0.271607,-0.350584,-0.14138,2
-0.390192,2.806151,0.925399,0.126886,-0.11251,-0.37517,-0.067136,-0.078721,-0.271005,-0.03876,0.126571,-0.02631,0.047728,0.052572,0.187615,0.021835,-0.185155,0.477554,-0.14431,-0.12468,-0.067898,1.776559,-0.140702,-0.05038,-0.259911,-0.275706,-0.261864,3.532511,-0.133034,-0.084415,-0.664803,-0.129392,-0.287556,-0.269333,-0.528766,-0.857732,-0.645856,-0.877604,-0.455422,0.235618,-0.106436,-0.361553,-0.050315,1
-0.024165,0.040918,-0.216124,-0.485687,-1.086174,-0.213357,-0.017491,0.053287,-0.251547,-0.038397,0.177594,-0.008531,0.269066,0.052644,-0.000391,0.099207,-0.106294,-0.23463,-0.051841,0.111341,0.045538,0.217057,-0.162244,-0.288627,0.927344,-0.41624,-0.503797,0.191877,0.130789,-0.447655,0.670808,-0.030303,-0.010516,0.011117,-0.018447,-0.411828,0.583003,-0.518175,-0.524099,-0.364875,-0.201314,0.082774,-0.114824,3
-0.390192,-0.416498,-0.359349,-0.649568,-0.741059,-0.295786,-0.163154,-0.163988,-0.300638,-0.039598,-0.020837,-0.818765,-0.080092,0.052395,0.190617,0.134139,-0.179289,-0.026664,-0.23188,-0.175361,-0.146463,-0.073308,-0.140211,-0.18345,-0.09883,-0.376509,-0.415008,-0.184599,-0.215066,-0.214749,0.140401,-0.087909,-0.227001,-0.226093,-0.32271,-0.171427,0.104227,-0.421875,0.981939,-0.608754,-0.077432,-0.151143,-0.167598,1
0.341862,0.160239,-0.03308,-0.664351,-1.344643,-0.336125,-0.147102,-0.152233,-0.291148,-0.039241,-0.247371,1.547131,0.264388,0.052632,0.239536,-0.356958,-0.227465,0.041751,-0.068155,-0.106935,-0.24617,-1.257755,-0.03902,0.708597,-0.073622,-0.228256,-0.271463,0.563256,-0.102358,0.063279,-0.664803,-0.129392,-0.273683,-0.256753,-0.355222,0.348148,0.954054,0.098959,-0.265339,0.780211,-0.251755,-0.291483,-0.282303,1
0.219853,0.498148,0.754179,0.426074,0.661429,-0.305269,-0.134191,-0.150342,-0.155168,-0.039271,0.025153,-0.115617,-0.058997,0.05237,0.406195,0.126766,-0.219922,0.098824,-0.191271,-0.197012,-0.138221,0.315055,-0.14724,-0.152834,-0.334664,-0.31294,-0.187473,0.242455,-0.175857,-0.148188,-0.664803,-0.129392,-0.275681,-0.257989,-0.449992,-0.320708,-0.705703,-0.434082,-0.38701,0.342453,-0.220662,-0.341434,-0.045993,2
-0.268183,-0.590885,-0.380704,-0.351871,1.138715,-0.211602,-0.179375,-0.184357,-0.256145,-0.039791,-0.097791,-0.431777,-0.2363,0.052272,-0.055425,-0.252801,-0.175649,0.367075,-0.182979,-0.244398,-0.190216,-0.442313,-0.155129,-0.222746,-0.186017,-0.442576,-0.34978,-0.468796,-0.241469,-0.235777,0.816594,0.278156,-0.271678,-0.261311,-0.131887,1.889425,0.168064,1.117568,-0.387276,0.734842,-0.132846,0.252299,-0.282303,1
-0.512201,-0.261853,-0.333026,-0.354583,-0.959877,-0.233984,-0.106283,-0.079632,-0.276918,-0.038253,0.211344,0.112351,0.33177,0.052689,-0.0333,0.083919,-0.226135,-0.330908,-0.179618,-0.084324,-0.071707,-0.021284,-0.139348,-0.244719,0.315002,-0.415105,-0.499652,-0.054214,-0.127747,-0.513346,0.64746,-0.038298,-0.075815,-0.054985,0.043428,-0.115205,1.576463,-0.282172,-0.51701,-0.351093,-0.249377,-0.002561,-0.125405,2
