@relation 'train_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,11,14-19,23-27,30-33,36,38,40-41,43-46-weka.filters.unsupervised.attribute.RemoveType-Tnominal'

@attribute numberOfAnalystOpinions numeric
@attribute marketCap numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute floatShares numeric
@attribute sharesPercentSharesOut numeric
@attribute heldPercentInsiders numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
1.091417,0.471727,-0.141705,-0.032764,0.06144,-0.063866,0.340099,0.420833,-0.311723,-0.309708,-0.089688,0.024673,-0.958687,-0.528396,-0.023038,0
0.506213,0.224851,-0.176173,-0.03545,0.905983,0.868711,0.194718,0.325615,-0.329954,0.108986,-0.073349,-0.03099,-0.960654,-0.506206,-0.095084,2
-0.196032,-0.146987,-0.288187,-0.035016,-0.220509,-0.296002,-0.180677,-0.119659,-0.414861,-0.650203,-0.134552,-0.126346,-0.47874,0.547187,-0.079952,1
2.027743,0.035099,0.024702,-0.031944,-0.217085,-0.263327,-0.127395,-0.392856,0.905105,-0.650203,-0.134552,-0.137657,-0.51808,0.191096,0.089665,2
1.676621,-0.083698,-0.128522,-0.035473,-0.02868,0.222999,0.118624,-0.278453,-0.305211,-0.650203,-0.134552,-0.181233,0.268718,-0.148635,-0.150074,4
0.272132,0.034405,0.25595,-0.032969,-0.17294,-0.229655,-0.151338,0.520153,-0.399755,0.597332,0.228967,-0.071245,-0.504311,0.519514,0.202252,2
0.272132,-0.123511,-0.178513,-0.035611,-0.002352,0.30629,-0.101901,0.058513,-0.354437,-0.175484,-0.101048,-0.179281,-0.134516,-0.471832,-0.107658,1
1.325499,0.131592,-0.078483,-0.034169,0.047742,-0.336198,0.124136,0.952582,-0.347404,-0.041206,-0.082868,1.659775,-0.856403,-0.528918,-0.087234,1
0.272132,0.016341,-0.252942,-0.034259,-0.023221,-0.235637,-0.028273,1.199632,-0.377096,0.603308,-0.037614,0.228052,-0.81313,-0.540405,-0.099277,3
-1.366439,-0.166928,-0.276981,-0.035347,-0.275186,-0.269438,-0.247301,-0.390933,-0.033821,-0.482532,-0.122724,-0.265498,-0.854436,-0.363143,-0.111652,0
-1.015317,-0.158931,1.316993,-0.035822,-0.169015,0.296425,-0.209736,-0.328089,-0.427884,0.096279,-0.078624,-0.264718,-0.156153,-0.415008,-0.101878,3
0.740295,-0.063871,0.019328,-0.032918,-0.228867,-0.247521,-0.139853,-0.302394,-0.328391,-0.650203,-0.134552,-0.170404,-0.689209,-0.453993,0.034248,1
-1.015317,-0.157795,-0.066514,-0.035748,-0.205605,1.076518,-0.237509,-0.38955,-0.187487,-0.650203,-0.134552,-0.279979,-0.382357,-0.392817,0.014294,2
-0.196032,-0.1453,-0.254909,-0.033496,-0.265499,-0.364598,-0.312834,-0.211732,-0.016892,-0.650203,-0.134552,-0.162385,1.358434,-0.462608,-0.208271,4
-0.313072,-0.163128,-0.363809,-0.035724,-0.111941,-0.266673,-0.108988,0.005174,-0.400016,1.856733,0.1709,0.114783,0.642447,-0.504901,-0.208271,3
0.623254,-0.159586,-0.299969,-0.035851,-0.155577,-0.149867,-0.204464,-0.352371,-0.201291,-0.650203,-0.134552,-0.154537,0.249048,-0.435806,-0.208271,4
0.506213,-0.108412,-0.304142,-0.034794,-0.191505,-0.249567,-0.100144,-0.229645,-0.285417,-0.650203,-0.134552,-0.088093,-0.396126,-0.497069,-0.028599,2
-0.781236,-0.168718,-0.001308,-0.035684,-0.263524,0.123752,-0.201822,-0.360252,-0.220044,-0.650203,-0.134552,-0.282044,-0.226965,1.074797,-0.208271,1
-1.132358,-0.16986,-0.356939,-0.035779,-0.258989,-0.114779,-0.234491,-0.362884,-0.509665,2.148238,0.138536,-0.267762,2.560268,-0.400127,-0.208271,3
