@relation 'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,44,46'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
0,1,0,-0.436683,0.403579,0.373831,-0.315408,1.060493,0.262857,-0.211913,-1.49377,-0.750411,0.106363,-1.193968,-0.053869,0.102146,-0.195025,-0.043949,0.840856,0.294095,-0.213098,0.057199,0.081255,-0.020734,-0.079246,-0.958255,0.683955,-1.082102,-0.580598,0.777581,-0.0641,-0.202886,0.723219,-0.072529,0.879917,0.9587,0.791685,-0.051759,-0.388746,-0.252078,-0.527525,0.275019,0.60269,0,0.281863,0,-0.126932,2
2,0,0,0.516885,0.029693,-0.910999,0.629541,-2.201178,-0.793792,-0.425639,0.023412,-0.113413,0.299556,0.922278,0.667632,0.124787,1.153561,0.184057,-0.912541,0.146059,-0.398075,-0.387594,-0.340194,0.214847,-0.888363,0.084399,-2.043836,-0.578855,-1.134372,0.532694,-0.379078,-0.303627,-0.087983,-0.083706,-1.655427,-1.848418,-2.643726,-1.568909,-0.939039,-1.340247,2.598929,-1.573236,-0.223228,0,-2.483511,0,0.341408,3
3,1,0,0.899887,0.507458,-0.975327,-1.505343,1.402477,2.546968,6.289719,0.829516,0.213737,0.426534,0.283579,0.452736,0.123419,1.045606,0.689495,1.99964,0.303037,5.404474,5.736221,7.295123,0.639634,1.969177,0.119738,1.653243,-0.930821,-1.18918,0.270492,4.993222,4.859038,0.61201,0.394703,2.654247,2.699313,1.030559,-2.282344,-0.897968,-2.507454,-0.567343,-1.316986,1.700022,0,1.605878,0,0.363178,2
7,0,0,-0.310387,-1.150154,0.385033,0.808216,0.502087,0.52985,-0.157772,0.376447,-0.357554,-0.047609,-0.547636,-0.315527,0.100501,0.051123,-0.033134,0.5993,-0.219446,-0.135577,-0.22405,-0.309702,-0.50117,0.161162,-0.881934,0.489879,0.154483,-0.272829,-0.645115,-0.227261,-0.119866,-0.696466,-0.591185,1.119975,1.08812,0.626379,-0.651946,0.210638,-0.780037,0.557938,-0.391589,0.997861,0,0.892581,0,1.210533,0
6,0,0,0.699101,0.219461,-0.238736,-0.58434,-1.807179,-0.648555,-0.414889,-0.414453,-0.525694,0.049895,-0.485789,-0.300026,0.101895,0.434617,-0.024331,-0.412841,0.825182,-0.390297,-0.396223,-0.338097,0.272351,-0.747158,0.306034,-0.740146,0.342498,-0.039766,1.092037,-0.393761,-0.335607,-0.696466,-0.591185,-1.648657,-1.565307,-1.777168,-0.267225,0.183436,-0.348318,-0.310795,1.107814,0.176721,0,-1.416007,0,0.431785,1
9,1,0,0.955936,0.660458,1.603875,0.005101,-0.266535,0.951328,0.038486,0.472338,0.366921,0.168116,0.736286,0.1824,0.113809,0.321293,0.02107,0.401302,0.17769,-0.00428,-0.13247,-0.112511,0.016365,1.217181,1.401585,0.442306,0.664412,0.883587,0.627847,0.044876,-0.165603,-0.696466,-0.591185,0.335158,0.42415,-0.470675,-1.171244,-0.45815,-1.15463,-0.515832,-0.016289,0.665644,0,0.110456,0,0.838249,2
7,1,0,1.537086,1.187512,-1.332406,-1.284303,-0.221295,1.680446,1.272998,0.195725,-0.468167,0.099476,-1.191218,-0.27848,0.102919,0.316912,0.270487,1.702265,1.567556,0.600554,1.098689,1.620618,2.195949,0.89687,0.418543,1.073713,-0.404909,-0.34796,1.479075,1.101196,1.24181,0.151906,0.079701,0.733027,0.761673,-0.539837,-1.857496,-0.834068,-1.97013,-0.523191,-0.292422,1.737582,0,0.294018,0,0.336429,2
4,0,0,-0.630457,0.074914,-0.091155,-0.527238,0.294511,-0.614813,-0.37491,-1.383578,-0.707036,-0.180114,-0.388279,0.270655,0.097007,0.031341,-0.324273,0.156771,0.275634,-0.284358,-0.218983,-0.394835,-0.629162,-0.326495,-0.501099,0.363113,0.08394,0.033461,0.478796,-0.270817,-0.39123,1.380719,0.37327,-0.150696,-0.082488,0.365599,0.802376,0.272615,0.866469,-0.183177,0.483202,0.244082,0,0.111731,1,-1.599279,3
9,0,0,-0.032987,-0.335246,1.393228,-0.553026,0.72471,0.541832,-0.221424,0.567131,0.700273,0.685961,1.53939,-0.244759,0.106885,-0.015147,0.357703,-0.221433,-1.000074,-0.249582,-0.375797,-0.137456,-0.267444,0.824904,0.2001,-1.176109,0.188361,-0.225381,-0.507579,-0.272759,-0.126887,-0.696466,-0.591185,0.834357,0.913712,0.320979,-0.698602,-1.05023,-0.712568,-0.527828,0.620773,0.086446,0,-0.961327,0,0.508484,1
9,0,0,0.208346,-0.410852,0.565238,-0.462768,-1.434753,-0.746605,-0.416196,0.702727,-0.512601,0.058193,0.214633,-0.12304,0.108473,0.494811,0.62086,-0.443313,0.444072,-0.365307,-0.385646,-0.338594,-0.033719,-0.472753,0.359571,-0.29281,-0.127451,-0.178823,-0.362691,-0.372374,-0.263464,0.230533,0.134868,-1.252116,-1.217761,-0.733267,0.73969,1.610214,0.852691,-0.114529,0.751902,0.144356,0,-0.103546,0,0.343223,0
