@relation 'train_processed_std_bal_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,49,51'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute 52WeekChange numeric
@attribute fiftyDayAverageChangePercent numeric
@attribute twoHundredDayAverageChangePercent numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute earningsQuarterlyGrowth numeric
@attribute revenueGrowth numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
4,1,0,0.646017,0.621636,-0.007919,-0.297277,-1.032279,-1.062795,0.079371,0.177774,0.81501,0.123688,1.461126,-0.085369,-0.164184,-0.318062,0.198987,0.575272,0.657284,1.322388,0.619586,0.823781,0.947521,0.659613,0.958188,1.218366,0.12492,0.4465,-0.652227,-1.199397,1.229489,-0.805264,-1.16651,-0.650406,0.392772,-0.638189,0.434415,0.198349,0.488486,0.540022,-0.109213,-0.953334,-0.583828,-1.032952,-0.384195,0.019927,-0.386745,0,1.570685,0,-0.045353,0
5,0,0,-0.673712,-1.146605,0.102472,-0.33283,-0.778389,-0.434613,-1.216947,-0.97086,-0.784629,-0.36386,-1.106366,0.424356,4.145762,1.601444,2.827673,3.99634,0.974087,-0.050831,-0.213441,-0.022193,-1.307212,-1.193793,-0.834894,-0.386827,-0.305759,0.057825,-0.326593,-0.313146,-0.760666,-0.024778,0.39118,0.294856,-0.356182,-0.309505,-0.828089,-0.720395,-0.374858,-0.306461,-0.846289,-0.714827,0.398221,-0.706031,-0.32525,0.416533,-1.836748,0,-0.913615,0,-0.994989,2
9,1,0,1.275488,1.750427,-0.10902,-0.729653,-0.51098,-0.461588,1.501211,-0.672142,0.315641,-0.221336,0.273597,0.025852,-0.07336,0.298711,-0.262852,-0.220614,0.173644,-0.096884,-0.265745,-0.093167,0.11453,0.873016,0.30494,0.05871,-0.241782,0.994616,0.472667,1.33041,0.166101,0.009762,-0.156998,1.114584,-0.235163,-0.037942,-0.828089,-0.720395,-0.732322,-0.649846,-1.182708,-0.662667,-0.836699,-0.788918,-0.467005,0.175064,0.198125,0,-0.437928,0,0.204146,2
3,0,0,0.33106,0.019689,1.352987,-0.249929,-0.034114,-0.365568,-1.50451,-0.499383,-0.308129,-0.267872,-0.863475,-0.695076,-0.629643,-0.645948,-0.384621,-0.430643,-0.463653,-0.397967,-0.169142,-0.403369,0.41022,1.137568,0.240905,0.294301,-0.310037,0.264143,0.593282,1.478603,0.780733,0.677076,0.618634,1.147738,-0.233477,-0.198887,-0.828089,-0.720395,-0.676381,-0.759481,-0.173403,0.861476,0.564267,0.564428,0.759521,0.207591,0.278489,0,0.153553,0,-0.206147,2
7,0,0,0.54555,0.532366,-1.464409,-0.142906,0.040306,-0.598572,0.985423,-0.31157,-0.201992,-0.303757,-0.567137,-0.335406,-0.026496,-0.202464,-0.114162,-0.068086,0.040281,-0.267779,-0.340131,-0.647153,-0.095943,0.586754,-0.097917,-0.075488,-0.28807,0.588993,0.182091,0.832687,0.175889,0.42695,0.602878,1.105212,-0.295636,-0.230324,-0.828089,-0.720395,-0.735035,-0.86811,-0.551023,0.354641,-0.190071,0.230512,-0.315902,1.404189,0.236023,0,-0.423156,0,-0.261361,2
7,0,0,-0.340222,-0.344388,-0.975653,-0.795566,-1.411759,-1.853455,-0.450111,-0.509952,-0.786403,-0.346319,-0.862965,-0.489391,-0.640703,-1.430835,-0.5074,-0.62859,-0.142369,-0.460606,0.6266,3.36274,-0.418855,0.113092,-1.141081,-0.630077,-0.406661,-0.58869,-1.227187,-1.058873,0.067199,0.235807,-0.033247,0.428396,-0.417601,-0.391261,-0.828089,-0.720395,-0.681771,-0.732609,-0.128362,0.942768,0.560184,0.545425,0.572787,0.198288,0.203579,0,-0.164991,0,0.446201,0
7,1,0,0.686971,0.295151,-1.344253,0.224603,0.650659,0.692956,-0.671489,-0.413743,0.459283,-0.170282,0.452848,-0.551927,-0.673039,-0.862337,-0.815295,-0.713707,-0.294709,-0.433651,-0.047276,-0.171739,0.691038,0.833912,0.423951,0.236854,-0.265462,-0.092083,0.689751,0.89213,0.296677,0.384612,-0.222416,0.319679,-0.331944,0.051535,-0.415565,-0.06709,-0.008984,0.056177,-0.68099,-1.051278,-0.373578,-1.141598,-0.415757,-0.190818,1.019904,0,0.121315,0,0.555195,2
0,0,0,-1.053477,-1.028043,-1.087562,5.064908,1.755658,3.363478,-1.655138,0.909832,-0.424164,-0.336622,-0.835068,0.383667,0.123939,0.04545,1.36622,0.09698,-0.093873,-0.665916,2.991841,6.033939,-0.85222,-1.440536,-0.799562,-0.280369,-0.385666,-0.734135,0.094064,-0.455016,-0.856171,0.202586,0.504855,-0.361053,-0.369274,-0.338854,-0.828089,-0.720395,0.438218,0.497251,0.887405,0.726358,-0.33415,0.300133,-0.472063,-1.575296,-0.594074,0,-0.653682,0,0.294814,3
9,1,1,1.029838,0.793897,-1.509676,0.574611,2.524628,1.36048,1.642711,1.630485,1.942453,1.507227,1.139311,0.884239,1.174924,0.294501,0.516704,1.060221,2.63243,0.741677,-0.214415,0.013132,1.308405,-0.010593,1.567502,1.767089,2.118757,0.668233,1.620888,0.701151,0.735553,0.59141,0.568639,0.056254,1.30933,0.962614,-0.42949,-0.286549,1.596018,1.636019,1.320634,-0.488425,-0.896738,-0.793968,-0.508245,-0.698782,0.9003,0,0.698884,0,0.175442,1
3,0,0,0.21093,0.507709,-0.525387,-1.570721,-1.224225,-1.516142,-1.611776,-1.656043,-1.064346,-0.37552,-0.583326,-0.885458,-0.571718,-0.622522,-0.764284,-0.48719,-0.279949,-0.416733,-0.049963,-0.301464,-0.708525,0.699365,-0.924216,-1.059531,-0.416135,-0.019145,-0.861278,0.00805,-1.266005,0.408878,0.504287,0.76174,-0.412844,-0.378669,-0.750944,0.59158,-1.544668,-1.625192,-1.41345,0.30436,0.592612,0.424936,1.814599,-0.873032,-0.17262,0,-1.667085,0,-0.030469,2
