@relation 'test_processed_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,44,46'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
2,0,0,0.197715,0.063241,-0.571524,0.309032,-0.419819,-0.240085,-0.344469,-0.3689,-0.748228,-0.126479,-0.767321,-0.287289,0.099543,-0.042136,-0.20307,0.385049,0.886708,-0.269106,-0.280738,-0.351342,-0.404712,-0.020488,0.273662,0.379238,-0.580479,-0.085967,0.518461,-0.222822,-0.117837,0.608757,1.589681,-0.523754,-0.420447,0.058403,0.879418,1.373876,0.61703,-0.488514,1.147023,0.648255,0,0.106119,0,1.046505,2
8,0,0,-0.94211,-1.60693,0.436424,0.611121,0.387735,-0.324648,-0.344498,-0.511351,-1.034428,-0.086125,-1.05981,-0.550803,0.095785,0.03883,0.072412,0.757867,0.42932,-0.201375,-0.291562,-0.277995,-0.404712,0.37042,-0.237016,0.517164,-0.042059,-0.582839,-0.580585,-0.375979,-0.112478,-0.696466,-0.591185,0.599845,0.684159,0.688308,0.197833,0.632147,0.046482,-0.452023,0.432348,1.307536,0,0.88457,0,0.209906,2
9,1,0,0.424994,0.024698,-0.859897,-0.092525,1.425237,1.550145,0.951731,0.70611,0.415841,0.026908,-0.370181,0.167374,0.109493,0.087862,-0.032537,0.974944,-0.272394,0.233706,0.369581,0.022049,-0.393582,0.884471,-0.557283,0.969244,-0.468303,-0.229622,-0.134062,0.238869,0.140685,-0.076223,0.999603,1.761655,1.750796,0.859078,-1.233583,-1.892262,-1.373029,0.25613,-1.023387,1.349669,0,1.109628,0,1.17611,1
8,1,0,1.477051,1.388965,0.43787,-0.562236,-0.411991,1.366004,0.739296,1.289051,1.401087,0.98349,1.160635,2.242543,0.154101,0.478986,0.302022,0.345453,0.092488,0.021357,0.412444,0.410221,1.133054,0.709327,0.516977,1.065751,-0.593568,-1.369382,0.504357,0.532036,0.764572,1.182366,1.105147,0.353551,0.353308,-0.483823,-1.217715,-0.280435,-1.205664,0.452497,-0.564838,0.153421,0,0.845608,0,0.58079,2
8,0,0,0.077102,-0.525046,-0.573656,-0.188309,-0.304869,0.129392,-0.282885,-0.133345,1.35589,0.843943,1.195109,2.183346,0.149999,0.001809,-0.007258,-0.746087,-1.064378,-0.375433,-0.308977,-0.262798,-0.23591,-1.204392,-1.363235,0.380614,-0.169781,-0.81473,0.193426,-0.297802,-0.174881,0.808161,0.76547,0.103678,0.197352,-0.339937,-0.63676,0.016388,-0.536739,-0.531658,0.641337,-1.7904,0,0.29435,0,0.529591,2
6,0,0,-1.565349,-1.601651,-1.338295,1.751323,-0.149099,-1.473885,-0.445756,1.11608,0.215159,0.315452,0.787709,-0.152142,0.103023,1.526881,0.881785,-1.790466,-1.796676,-0.43644,-0.429045,-0.370019,-0.527139,-0.98836,-1.046519,-2.716186,1.060223,0.982337,-2.601812,-0.417846,-0.351892,-0.696466,-0.591185,-0.346615,-0.600142,-0.255812,0.143938,0.132519,0.279188,2.854972,-3.317925,-1.988148,0,-1.398723,0,0.576731,0
2,0,0,-0.965695,0.005343,0.914677,0.054836,0.559019,-0.775827,-0.422855,-0.103005,-0.863713,-0.043798,0.733414,-0.402919,0.105312,-0.045386,-0.017351,-0.192014,-0.412548,-0.288915,-0.390054,-0.346889,-0.47891,0.763504,1.010148,0.074533,0.08394,-0.470209,-0.945874,-0.345847,-0.276449,-0.696466,-0.591185,-0.012882,-0.005464,1.341892,2.081775,1.669068,1.945292,-0.462506,1.659955,-0.236186,0,0.622903,0,0.55068,4
6,0,0,-1.385676,-1.016319,0.455064,0.804532,-0.244851,-1.003699,-0.400498,-1.475131,-0.874756,-0.074474,-0.937594,0.042719,0.098734,0.026819,-0.119407,0.124436,0.001955,-0.351871,-0.273862,-0.342603,-0.46778,-0.899745,-1.19707,0.278688,-0.392695,-0.67107,-0.251762,-0.256348,-0.251129,-0.696466,-0.591185,0.122755,-0.13797,0.609943,0.773951,1.83909,0.691061,0.245646,0.759706,0.459106,0,0.441566,0,0.177045,0
7,0,0,-1.249051,-1.611793,-1.471475,-0.403824,-0.630867,-1.216324,-0.440149,-1.050754,-0.891748,-0.081215,-0.811767,-0.168334,0.09173,-0.332794,-0.207252,-0.599684,-0.553373,-0.415753,-0.399456,-0.368464,-0.521574,-1.305333,-1.27124,-3.443792,0.056697,-0.375293,-0.459248,-0.387005,-0.388345,0.365827,0.773243,-0.32715,-0.521281,-1.226142,-1.350475,-1.440619,-0.637706,2.388953,-1.235534,-0.08325,0,-3.405001,0,0.733025,4
9,0,0,-0.207338,-0.399901,-1.59685,0.730852,-0.828657,-0.693769,-0.428526,-0.263427,-0.354677,-0.123703,0.587805,-0.166089,0.086425,0.081079,-0.272113,-0.793257,-0.493326,-0.394184,-0.409079,-0.375782,-0.551254,0.309007,1.032562,-1.589537,1.26515,1.287849,-0.002105,-0.382402,-0.295519,0.288435,4.088662,-0.723942,-0.639813,-1.115542,-0.606914,-0.734659,-0.891059,-0.20243,0.545453,-0.264869,0,-1.692223,0,2.136604,2
