@relation train_std_bal_main_finantial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute sector numeric
@attribute In_SP500 numeric
@attribute In_NASDAQ numeric
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent numeric
@attribute _debtToEquity numeric
@attribute has_benefits numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
9,1,0,3.089475,1.178357,1.729028,-0.369502,-0.225389,0.712422,0.696414,0.850594,-0.057472,0.139809,1.050737,0.00192,0.054145,0.266826,0.184686,0.031651,0.009731,0.379342,0.012534,0.083218,0.296129,0.356067,0.705565,-0.237456,-0.298,-0.412186,0.361119,0.377429,0.639017,-0.654697,-0.136099,-0.094173,-0.074912,-0.403839,-0.883161,-0.859835,-0.927877,-0.526878,0.073495,0.154201,0,-0.268858,0,0.33217,1
3,0,0,-0.35444,-0.228433,0.322438,-0.224459,-0.293377,-0.164009,-0.174439,-0.370517,-0.08779,-0.053307,-0.226826,-0.162406,0.053585,-0.198603,-0.122344,-0.275758,-0.253953,-0.247933,-0.243526,-0.168406,-0.192938,-0.143912,-0.235786,-0.336908,-0.351929,-0.365601,-0.33968,-0.228461,-0.189323,-0.243594,0.02603,-0.217336,-0.217432,-0.237682,0.290936,1.15054,0.68087,1.030806,0.337946,-0.32259,0,-0.208742,0,0.072508,2
8,0,0,-0.328206,-0.232245,0.738926,-0.416468,-0.249244,-0.160354,-0.175273,-0.388787,-0.060161,-0.122236,1.370435,0.90289,0.055401,-0.119877,-0.157405,-0.311775,-0.347285,-0.271332,-0.240534,-0.172067,-0.211262,-0.147592,-0.252551,-0.345104,-0.157888,0.435376,-0.224139,-0.228012,-0.174187,1.210831,1.305961,-0.207502,-0.201247,0.141564,1.792865,2.609977,1.159472,-0.493421,1.854057,-0.383547,0,-0.258114,1,-0.200347,1
9,1,0,0.156678,0.609028,0.720631,0.641651,-0.30515,-0.13113,-0.15294,-0.31194,-0.088883,0.049207,-0.363639,-0.07259,0.05401,0.631758,0.074565,-0.170346,0.20747,-0.175944,-0.173163,-0.109747,0.236733,-0.062734,0.352282,-0.402351,0.229162,0.082186,0.570033,-0.182706,-0.080395,-0.654697,-0.136099,-0.248305,-0.23099,-0.444116,-0.463841,-0.79416,-0.544459,-0.232434,0.315319,0.886122,0,-0.301999,0,-0.103756,1
7,1,0,0.719569,0.436636,-0.613212,-0.119476,-0.329673,-0.118059,-0.128277,0.165334,-0.0868,0.047276,-0.38174,-0.103867,0.054323,0.802294,0.44487,-0.164407,0.5311,-0.17391,-0.182615,-0.108579,0.479371,-0.14152,-0.183405,-0.300265,-0.324835,-0.073732,0.077831,-0.177966,-0.123842,0.051331,-0.073155,-0.266963,-0.252529,-0.396427,0.405296,0.391633,0.172774,0.546278,0.70574,-0.261182,0,-0.26971,0,-0.075031,3
6,1,0,0.634106,0.098272,-0.639751,-0.493824,-0.280017,0.014939,-0.000384,0.028583,-0.074928,0.347462,0.509646,0.26041,0.055356,1.240015,0.360031,-0.168168,-0.138304,-0.066732,-0.038444,0.043353,0.395333,-0.048904,0.012509,-0.351764,0.021446,0.145884,0.172218,-0.011083,0.059402,-0.323028,-0.10474,-0.156688,-0.137552,-0.132623,0.001224,1.789044,-0.182491,-0.489693,-1.311908,-0.167023,0,-0.287884,0,-0.068409,2
8,0,0,-0.275004,-0.211595,0.710945,-0.601569,-0.142263,-0.10388,-0.102337,-0.35058,-0.069748,0.293363,0.389095,0.487637,0.054851,-0.081944,-0.026447,-0.264971,-0.330477,-0.21234,-0.148904,-0.1082,-0.13607,-0.12181,-0.228005,-0.034436,-0.367669,-0.15478,-0.167938,-0.132427,-0.067619,0.794745,0.005856,0.07106,0.039492,-0.174096,-0.742117,-0.673756,-0.705333,0.127798,0.079831,-0.348586,0,-0.098676,0,-0.061945,2
0,0,0,0.648053,0.153797,-0.454219,-0.44962,-0.344551,-0.101798,-0.111481,-0.32898,-0.089475,0.010262,-0.382704,-0.140291,0.053958,0.380077,0.047059,0.078909,1.26318,-0.000924,-0.102565,-0.058169,0.665773,-0.1287,-0.108139,-0.287131,-0.169757,0.085275,1.706976,-0.079743,-0.059032,0.06702,-0.089236,-0.251455,-0.232545,-0.493883,-0.818357,-0.567947,-0.803199,-0.510843,-0.33604,-0.058536,0,-0.294243,0,-0.108103,2
2,0,0,-0.247031,-0.180569,-0.55683,-0.728654,-0.277503,-0.150407,-0.142307,-0.387663,-0.088733,0.062477,-0.612127,-0.026081,0.054033,0.160392,-0.084804,-0.133723,0.046317,-0.187023,-0.129223,-0.156928,-0.146812,-0.121271,-0.14753,0.007689,-0.365604,-0.37392,0.04594,-0.170299,-0.10311,1.543596,0.176708,-0.204717,-0.186513,-0.362452,-0.418097,-0.367274,-0.449275,-0.463083,-0.285035,0.094984,0,-0.169644,0,-0.000829,2
2,0,0,-0.162495,-0.156636,-0.416103,0.288024,-0.242754,-0.150118,-0.160288,-0.402644,-0.090134,0.049284,-0.643629,-0.120924,0.053993,0.370511,0.109468,-0.127821,0.231301,-0.188879,-0.173429,-0.092391,0.243052,-0.121207,-0.090234,-0.270096,-0.392182,0.490755,0.481228,-0.189969,-0.13944,0.034162,-0.116318,-0.239099,-0.222683,-0.259858,0.624486,-0.148359,0.741198,-0.216659,0.976793,-0.335199,0,-0.278915,0,-0.159551,4
7,0,0,-0.304136,-0.230252,-0.546054,-0.022781,-0.265615,-0.150415,-0.167933,-0.152404,-0.085505,0.091859,-0.222738,0.02968,0.054566,0.711034,0.192163,-0.276576,-0.304604,-0.248484,-0.222896,-0.148352,-0.146812,-0.1178,-0.178913,-0.379124,0.082857,0.246184,-0.380007,-0.212296,-0.160537,-0.206765,-0.096439,-0.146178,-0.128366,-0.39149,-0.764989,-0.655513,-0.809902,-0.404229,0.732148,-0.314402,0,-0.242152,0,-0.074495,3
9,1,0,0.09571,-0.004515,1.447064,-0.293527,-0.20408,-0.085186,-0.088599,2.953493,-0.082271,0.18983,0.62608,0.084943,0.054689,0.591515,5.518198,-0.179567,-0.146129,-0.070017,-0.120141,-0.047355,0.14764,-0.053392,0.015178,-0.12935,-0.427274,-0.52033,-0.428105,-0.046842,0.063173,-0.654697,-0.136099,-0.164294,-0.145649,-0.194798,-0.122666,0.136231,-0.171766,-0.48614,0.408385,-0.271048,0,0.717327,0,-0.092638,2
7,1,0,-0.132359,-0.153324,-0.647037,0.155413,-0.268454,-0.123049,-0.092729,-0.071217,-0.080295,0.138373,-0.126391,0.020623,0.054605,1.164587,0.394266,-0.20738,-0.193874,-0.181341,-0.166863,-0.091758,0.020634,-0.133768,-0.235721,-0.389856,-0.285098,-0.280275,-0.265385,-0.163393,-0.107283,0.161375,-0.08358,-0.188851,-0.055431,-0.439393,-0.862195,-0.863483,-0.866208,-0.476605,0.486651,-0.124038,0,-0.284531,0,-0.109371,3
9,0,0,-0.374454,-0.202791,-0.674289,-0.129146,-0.339348,-0.167798,-0.185119,-0.454457,-0.091036,-0.154878,-0.77945,-0.216401,0.053521,-0.364631,-0.29881,-0.287187,-0.175902,-0.271172,-0.251641,-0.179552,-0.303515,-0.138441,-0.144437,-0.38841,-0.133374,-0.077297,-0.164433,-0.236615,-0.185114,2.161362,-0.084945,-0.269096,-0.250392,-0.473199,-0.410473,-0.608082,-0.500218,-0.227147,0.204416,-0.250947,0,-0.290066,1,-0.200347,3
9,1,1,0.188939,-0.024178,2.259594,0.032473,0.100019,0.081625,0.056224,0.81356,-0.05394,-0.009187,1.092254,-0.270381,0.053236,-0.325818,-0.061331,-0.229764,-0.305317,-0.113999,-0.253666,-0.152108,-0.182828,0.173346,0.108675,-0.321476,0.325409,0.143982,-0.328913,-0.1147,-0.021135,-0.654697,-0.136099,0.02334,0.041462,0.070208,-0.423815,-0.451192,-0.556524,-0.471404,-0.069992,-0.250947,0,-0.19822,0,1.735383,1
7,0,0,-0.358381,-0.217124,-0.138175,1.213532,0.426569,-0.157496,-0.176854,0.342534,0.09562,-0.073003,-0.954918,-0.28528,0.020944,-2.688587,-1.474123,-0.316203,-0.360542,-0.282393,-0.27305,-0.190801,-0.250438,-0.131669,-0.222699,-0.399973,0.48926,0.366449,-0.457538,-0.253752,-0.213528,-0.654697,-0.136099,-0.083875,-0.109548,2.119287,3.933304,1.055677,3.493494,0.555726,-2.292885,-0.37233,0,-0.16237,1,-0.200347,0
9,1,0,-0.312983,-0.23283,0.021805,0.369524,1.877149,-0.026569,0.053884,-0.386059,-0.088649,-0.014717,-0.36939,-0.068227,0.05378,-0.076886,-0.043447,0.639377,-0.201896,0.408358,0.301987,0.002806,-0.152498,0.172855,-0.160031,1.327281,-0.403535,-0.445699,-0.180862,0.08546,-0.246645,0.321536,-0.050026,1.034676,1.052726,1.653358,-0.456217,-0.932806,-0.560546,-0.510236,-0.106356,0.864629,0,0.678427,0,-0.073792,2
7,1,0,0.499845,0.071822,-0.609669,-0.308722,-0.348675,-0.10734,-0.114409,-0.14078,-0.079709,0.179449,0.351228,0.169537,0.054949,0.544236,0.157987,-0.236464,-0.050075,-0.17636,-0.158538,-0.101498,0.296761,-0.136245,-0.170774,-0.251265,-0.292839,-0.269104,0.367303,-0.161212,-0.11724,-0.08663,-0.080879,-0.247808,-0.23469,-0.478753,-0.726869,-0.031604,-0.779068,-0.058299,-0.514773,-0.226384,0,-0.271831,0,-0.063006,2
6,0,0,-0.393269,-0.065942,-0.597712,-0.495205,1.133397,-0.165257,-0.184825,-0.399568,-0.087009,-2.566952,-0.640272,-2.63709,0.042933,-3.316525,-1.194716,-0.309989,-0.356598,-0.279097,-0.301407,-0.230912,-0.282664,-0.123626,-0.229307,-0.41039,0.185813,0.105716,-0.441886,-0.281961,-0.223863,-0.654697,-0.136099,0.06251,0.023573,2.802743,2.696309,1.103109,1.825761,-0.514657,-1.082223,-0.366844,0,-0.283954,1,-0.200347,2
