@relation 'train_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,49,51'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute 52WeekChange numeric
@attribute fiftyDayAverageChangePercent numeric
@attribute twoHundredDayAverageChangePercent numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute earningsQuarterlyGrowth numeric
@attribute revenueGrowth numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
8,0,0,-0.500979,-0.177029,0.154748,-0.113905,0.409555,-0.045203,0.009548,-0.382028,-0.192988,-0.207257,-0.345974,-0.071717,-0.701958,-1.404752,-0.528071,-1.012217,-1.095868,-0.563571,-0.170792,-1.542247,-0.290415,-0.423746,-0.27624,-0.267256,-0.221182,-0.545608,-0.162587,-0.248086,-0.390443,-0.295119,-0.316653,-0.183998,-0.250498,-0.209257,1.220845,0.342621,-0.28659,-0.275048,-0.642815,-0.685107,-0.57217,-0.594753,-0.348894,0.231536,-0.265134,0,-0.284039,0,0.141068,1
5,0,0,-0.745871,-0.200192,-0.667916,-1.731094,-0.886575,-1.801744,1.386732,-0.373702,-0.205003,-0.223547,-0.24964,0.701791,-1.035252,-4.183838,-1.366011,-1.031447,-4.444144,-3.536993,-0.187996,-0.930149,-0.310324,-0.530039,-0.283247,-0.287338,-0.243117,-0.754845,-0.153684,-0.224544,-0.447351,1.134617,0.889521,-0.604332,-0.265135,-0.233467,-0.792872,-0.118506,-0.24221,-0.241226,-0.612055,-0.777088,-0.41401,-0.780297,-0.203482,-0.963585,-0.276202,0,-0.156142,1,-0.190152,2
9,0,0,-0.481122,-0.106247,-0.603655,-1.373018,-0.873067,-1.344055,-0.283435,-0.385339,-0.198018,-0.211606,-0.39538,-0.630266,-0.739573,-0.72314,-0.873099,-0.884141,-0.290882,-0.391726,-0.162946,-0.661926,-0.233988,0.196353,-0.230159,-0.25021,-0.209384,-0.228103,-0.159718,-0.184631,-0.376253,0.105219,-0.056175,0.108499,-0.230367,-0.182369,-0.792872,-0.118506,-0.322947,-0.306232,-0.598654,-0.020806,-0.357234,0.131831,-0.165364,0.583814,-0.248063,0,-0.293052,0,-0.129919,3
8,0,0,-0.511238,-0.198632,-0.595899,-0.133611,-0.017872,0.150603,-0.672423,-0.180585,-0.157264,-0.158584,-0.290296,1.794985,2.534542,2.483522,3.484261,3.295707,-0.355272,-0.302242,-0.108213,0.245904,-0.289303,-0.499025,-0.232195,-0.196476,-0.171587,-0.41301,-0.120571,-0.206962,-0.14452,-0.079781,-0.256849,-0.320381,-0.187699,-0.105578,2.333844,0.106111,-0.05025,-0.03067,0.131075,-0.273751,0.749889,-0.399854,-0.47511,-0.888921,-0.277565,0,-0.088896,0,-0.086122,2
9,0,0,-0.697876,-0.20015,-0.445219,2.292693,4.588159,4.39102,0.903393,0.482976,-0.199397,-0.217021,-0.251651,0.003776,-0.589281,-0.503259,-0.540292,-0.313117,-0.497962,-0.511597,-0.110671,0.239027,-0.302973,-0.511955,-0.276735,-0.275941,-0.223644,-0.595484,-0.168544,-0.287541,-0.4478,-0.031598,0.004692,-0.55622,-0.262671,-0.228043,-0.792872,-0.118506,-0.18881,-0.194774,1.192234,2.268479,0.109136,1.698822,-0.410462,1.191375,-0.266008,0,-0.287255,0,0.150174,2
5,0,0,-0.542435,0.717675,-0.280135,0.357455,-1.275517,-0.255132,0.646826,-0.472445,-0.204775,-0.163172,-0.437233,1.923961,-0.719201,2.27397,1.546221,2.70516,-0.857379,-0.396689,-0.028053,-0.558764,-0.291747,0.46759,-0.240089,-0.23612,-0.222065,-0.130784,-0.153846,0.63911,0.494698,-0.418552,-0.339245,0.451002,-0.353826,-0.382058,-0.792872,-0.118506,-0.36175,-0.345854,-0.762184,-0.876733,-0.839826,-0.827073,1.159091,-2.286132,-0.238668,0,-0.124105,0,-0.152796,1
8,0,0,-0.719714,-0.213447,-0.364339,-0.718192,-1.076848,-0.930834,0.555787,-0.436251,-0.204642,-0.221339,-0.451199,-0.378851,-0.777526,0.131061,0.195323,-0.317594,-1.026991,-0.589969,-0.147443,-1.053944,-0.304699,-0.480421,-0.27614,-0.273535,-0.226015,-0.606433,-0.167724,-0.276966,-0.432925,-0.425393,-0.560386,-0.348571,-0.259258,-0.21834,1.591301,1.329791,-0.317325,-0.300161,-0.693961,-0.713212,-0.365345,-0.677391,-0.257536,0.027175,-0.277969,0,-0.298211,0,0.673148,2
3,0,1,-0.214393,-0.139618,-0.357691,0.313221,0.247546,-0.054287,-0.859468,-0.178749,-0.045915,-0.019577,-0.069911,-0.339298,-0.414393,-0.423216,-0.493606,-0.422331,-0.15425,-0.080555,-0.113318,-0.256154,0.089048,-0.167463,0.055218,0.00412,-0.042317,-0.136866,-0.033383,-0.140952,0.289054,-0.295119,-0.394796,-0.310967,0.00727,0.072623,0.272502,-0.036388,0.120509,-0.123642,-0.254175,-0.833298,-0.442397,-0.431038,4.419707,-3.315728,0.107082,0,0.211618,0,-0.094621,2
8,0,0,-0.66518,0.381037,-0.389532,-0.978473,-0.107694,-0.415469,0.88684,-0.416251,-0.201586,-0.202099,-0.446727,1.669105,1.169919,2.452538,3.028816,4.58051,-0.727926,-0.494882,-0.132602,-0.393704,-0.303102,-0.487103,-0.265114,-0.254035,-0.213869,-0.436124,-0.167938,-0.282106,-0.179845,10.923862,9.86512,-0.041432,-0.260652,-0.273994,1.363525,-0.051282,-0.292598,-0.291538,-0.484693,-0.002921,1.824569,-0.052154,1.535839,-1.076655,-0.277433,0,-0.212883,0,-0.145951,2
10,1,0,0.105189,-0.044507,1.051613,-0.069363,0.382903,-0.018487,-0.672423,-0.270201,-0.09629,-0.054588,-0.273143,0.728617,0.817099,0.700921,1.526604,1.463294,-0.573794,-0.309914,-0.123055,0.197762,-0.216054,-0.328335,-0.146891,-0.057308,-0.096372,0.065072,-0.157344,-0.259088,0.478845,-0.38405,-0.523175,0.335063,-0.083688,-0.461072,0.23397,-0.042117,-0.158701,-0.139259,-0.08653,-0.140891,1.045933,-0.211191,-0.480995,0.23264,-0.215179,0,-0.104212,0,-0.083799,3
