@relation InstanceResultListener

@attribute Key_Dataset {full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk,weka.classifiers.lazy.KStar,weka.classifiers.lazy.LWL,weka.classifiers.rules.JRip,weka.classifiers.rules.DecisionTable,weka.classifiers.rules.PART,weka.classifiers.rules.OneR,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.functions.SimpleLogistic,weka.classifiers.functions.Logistic,weka.classifiers.functions.SMO,weka.classifiers.trees.J48,weka.classifiers.trees.RandomTree,weka.classifiers.trees.RandomForest,weka.classifiers.trees.REPTree,weka.classifiers.trees.LMT}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-B 20 -M a','-U 0 -K -1 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\" -W weka.classifiers.trees.DecisionStump','-F 3 -N 2.0 -O 2 -S 1','-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"','-C 0.25 -M 2','-B 6','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-I 0 -M 500 -H 50 -W 0.0','-R 1.0E-8 -M -1 -num-decimal-places 4','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0','-I -1 -M 15 -W 0.0'}
@attribute Key_Scheme_version_ID {-3080186098777067172,332458330800479083,1979797405383665815,-6589312996832147161,2888557078165701326,8121455039782598361,-3459427003147861443,-5990607817048210779,7397710626304705059,3932117032546553727,-6585883636378691736,-217733168393644444,-9051119597407396024,1116839470751428698,-9216785998198681299,-1113212459618104943}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of rules: 186\n','Number of rules: 194\n','Number of rules: 195\n','Number of rules: 188\n','Number of rules: 197\n','Number of rules: 199\n','Number of rules: 182\n','Number of rules: 192\n','Number of rules: 189\n','Number of rules: 196\n','Number of rules: 190\n','Number of rules: 198\n','Number of rules: 178\n','Number of rules: 181\n','Number of rules: 177\n','Number of rules: 193\n','Number of rules: 183\n','Number of rules: 185\n','Number of rules: 191\n','Number of rules: 203\n','Number of rules: 187\n','Number of rules: 180\n','Number of rules: 174\n','Number of rules: 175\n','Number of rules: 184\n','Number of rules: 202\n','Number of rules: 201\n','Number of rules: 204\n','Number of rules: 200\n','Number of leaves: 293\nSize of the tree: 585\n','Number of leaves: 288\nSize of the tree: 575\n','Number of leaves: 282\nSize of the tree: 563\n','Number of leaves: 285\nSize of the tree: 569\n','Number of leaves: 287\nSize of the tree: 573\n','Number of leaves: 296\nSize of the tree: 591\n','Number of leaves: 300\nSize of the tree: 599\n','Number of leaves: 298\nSize of the tree: 595\n','Number of leaves: 290\nSize of the tree: 579\n','Number of leaves: 294\nSize of the tree: 587\n','Number of leaves: 291\nSize of the tree: 581\n','Number of leaves: 274\nSize of the tree: 547\n','Number of leaves: 284\nSize of the tree: 567\n','Number of leaves: 286\nSize of the tree: 571\n','Number of leaves: 304\nSize of the tree: 607\n','Number of leaves: 278\nSize of the tree: 555\n','Number of leaves: 301\nSize of the tree: 601\n','Number of leaves: 313\nSize of the tree: 625\n','Number of leaves: 289\nSize of the tree: 577\n','Number of leaves: 281\nSize of the tree: 561\n','Number of leaves: 302\nSize of the tree: 603\n','Number of leaves: 267\nSize of the tree: 533\n','Number of leaves: 275\nSize of the tree: 549\n','Number of leaves: 297\nSize of the tree: 593\n','Number of leaves: 283\nSize of the tree: 565\n','Number of leaves: 280\nSize of the tree: 559\n','Number of leaves: 306\nSize of the tree: 611\n','Number of leaves: 277\nSize of the tree: 553\n','Number of leaves: 270\nSize of the tree: 539\n','Number of leaves: 279\nSize of the tree: 557\n','Number of leaves: 295\nSize of the tree: 589\n','Number of leaves: 292\nSize of the tree: 583\n','Number of leaves: 303\nSize of the tree: 605\n'}
@attribute measureNumRules numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureOutOfBagError numeric

@data

full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1351,151,48,103,0,31.788079,68.211921,0,0.106612,0.273022,0.521386,88.790414,132.959874,332.463828,1071.934148,-739.47032,2.201747,7.098902,-4.897154,60.868194,0.403101,18.308215,0.142857,3,0.146154,19,0.853846,111,0.857143,18,0.136364,0.142857,0.139535,-0.003233,0.498352,0.138686,0.317881,0.210174,0.789826,0.682119,0.317472,0.317881,0.316619,0.110073,0.553853,0.260056,0.289727,0.317881,0,0.031,0,0.015625,0,15.625,575802,572589,67389,31.788079,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1351,151,47,104,0,31.125828,68.874172,0,0.107626,0.275661,0.523911,89.648732,133.603746,332.463828,1082.335027,-749.8712,2.201747,7.167782,-4.966034,60.069834,0.397813,18.068081,0.428571,9,0.123077,16,0.876923,114,0.571429,12,0.36,0.428571,0.391304,0.2844,0.652747,0.233756,0.311258,0.204211,0.795789,0.688742,0.307494,0.311258,0.305266,0.103512,0.553524,0.261289,0.270498,0.311258,0,0.02,0,0,0,0,575802,572589,67389,31.125828,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1352,150,35,115,0,23.333333,76.666667,0,0.003236,0.306716,0.552756,99.822203,141.07697,329.576675,1196.862636,-867.285961,2.197178,7.979084,-5.781906,30.860833,0.205739,9.363779,0.3,6,0.130769,17,0.869231,113,0.7,14,0.26087,0.3,0.27907,0.159662,0.584615,0.171594,0.233333,0.233831,0.766169,0.766667,0.23169,0.233333,0.231829,-0.002077,0.499751,0.235094,0.219186,0.233333,0,0.016,0,0,0,0,576223,573010,66968,23.333333,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1352,150,39,111,0,26,74,0,0.026942,0.296088,0.543058,96.363474,138.601761,329.576675,1155.254852,-825.678177,2.197178,7.701699,-5.504521,37.332451,0.248883,11.327395,0.2,4,0.138462,18,0.861538,112,0.8,16,0.181818,0.2,0.190476,0.059131,0.530769,0.14303,0.26,0.232803,0.767197,0.74,0.249675,0.26,0.251854,0.02594,0.513599,0.23807,0.217391,0.26,0,0.016,0,0,0,0,576223,573010,66968,26,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1352,150,39,111,0,26,74,0,0.028078,0.296088,0.543058,96.363474,138.601761,329.576675,1155.254852,-825.678177,2.197178,7.701699,-5.504521,39.817618,0.265451,12.081443,0.2,4,0.123077,16,0.876923,114,0.8,16,0.2,0.2,0.2,0.076923,0.538462,0.146667,0.26,0.236358,0.763642,0.74,0.259221,0.26,0.258644,0.026085,0.511821,0.237231,0.241409,0.26,0,0.016,0,0,0,0,576223,573010,66968,26,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1352,150,44,106,0,29.333333,70.666667,0,0.088982,0.282804,0.530686,92.009462,135.393547,329.839483,1103.245121,-773.405638,2.19893,7.354967,-5.156038,52.595752,0.350638,15.945863,0.05,1,0.176923,23,0.823077,107,0.95,19,0.041667,0.05,0.045455,-0.117689,0.436538,0.12875,0.293333,0.202891,0.797109,0.706667,0.30602,0.293333,0.298553,0.092554,0.545221,0.25985,0.270392,0.293333,0,0.016,0,0,0,0,576223,573010,66968,29.333333,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1352,150,39,111,0,26,74,0,0.02586,0.296088,0.543058,96.331437,138.549973,329.839483,1155.254852,-825.415369,2.19893,7.701699,-5.502769,39.218572,0.261457,11.890199,0.15,3,0.130769,17,0.869231,113,0.85,17,0.15,0.15,0.15,0.019231,0.509615,0.135833,0.26,0.237755,0.762245,0.74,0.261492,0.26,0.258823,0.026651,0.511123,0.237868,0.23835,0.26,0,0.026,0,0,0,0,576223,573010,66968,26,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1352,150,43,107,0,28.666667,71.333333,0,0.071825,0.285461,0.533183,92.84121,135.976911,330.0738,1113.647067,-783.573268,2.200492,7.424314,-5.223822,48.376628,0.322511,14.656307,0.15,3,0.130769,17,0.869231,113,0.85,17,0.15,0.15,0.15,0.019231,0.509615,0.135833,0.286667,0.213115,0.786885,0.713333,0.287048,0.286667,0.285968,0.073849,0.536776,0.248113,0.251076,0.286667,0,0,0,0,0,0,576223,573010,66968,28.666667,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1352,150,47,103,0,31.333333,68.666667,0,0.103724,0.274834,0.523122,89.384846,133.411098,330.0738,1072.039283,-741.965483,2.200492,7.146929,-4.946437,58.985583,0.393237,17.870423,0.25,5,0.038462,5,0.961538,125,0.75,15,0.5,0.25,0.333333,0.288278,0.605769,0.225,0.313333,0.209612,0.790388,0.686667,0.334411,0.313333,0.317144,0.113657,0.551861,0.263063,0.288162,0.313333,0,0,0,0,0,0,576223,573010,66968,31.333333,20,?,?,?,?,?,?,?
