state,industry,sector,fullTimeEmployees,regularMarketOpen,payoutRatio,beta,averageVolume,marketCap,allTimeHigh,allTimeLow,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,netIncomeToCommon,trailingEps,enterpriseToEbitda,52WeekChange,currentPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,symbol,shortName,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,fullExchangeName,Ticker,In_SP500,In_NASDAQ,trailingPE,enterpriseToRevenue,totalRevenue,revenuePerShare,grossProfits,revenueGrowth,dividendYield,earningsQuarterlyGrowth,recommendationMean,averageAnalystRating,Total Assets_2024-12-31 00:00:00,Total Liabilities Net Minority Interest_2024-12-31 00:00:00,Stockholders Equity_2024-12-31 00:00:00,Total Debt_2024-12-31 00:00:00,Working Capital_2024-12-31 00:00:00,Total Assets_2023-12-31 00:00:00,Total Liabilities Net Minority Interest_2023-12-31 00:00:00,Stockholders Equity_2023-12-31 00:00:00,Total Debt_2023-12-31 00:00:00,Working Capital_2023-12-31 00:00:00,Total Assets_2022-12-31 00:00:00,Total Liabilities Net Minority Interest_2022-12-31 00:00:00,Stockholders Equity_2022-12-31 00:00:00,Total Debt_2022-12-31 00:00:00,Working Capital_2022-12-31 00:00:00,Total Assets_2021-12-31 00:00:00,Total Liabilities Net Minority Interest_2021-12-31 00:00:00,Stockholders Equity_2021-12-31 00:00:00,Total Debt_2021-12-31 00:00:00,Working Capital_2021-12-31 00:00:00,Operating Cash Flow_2024-12-31 00:00:00,Capital Expenditure_2024-12-31 00:00:00,Operating Cash Flow_2023-12-31 00:00:00,Capital Expenditure_2023-12-31 00:00:00,Operating Cash Flow_2022-12-31 00:00:00,Capital Expenditure_2022-12-31 00:00:00,Operating Cash Flow_2021-12-31 00:00:00,Capital Expenditure_2021-12-31 00:00:00
NY,Financial Data & Stock Exchanges,Financial Services,42350.0,473.54,0.2875,1.189,1409834.0,144464904192.0,579.05,0.335938,159203901440.0,0.27286,304622234.0,305300000.0,0.0101,0.00253,0.90519994,1.98,0.0101,109.368,4.326586,4011000064.0,13.01,21.929,-0.095567584,473.19,strong_buy,22.0,1847000064.0,6.05,7260000256.0,12014999552.0,0.807,0.982,31.651,0.06261,0.11291,4932874752.0,5583000064.0,0.69558,0.49388,0.4269,SPGI,S&P Global Inc.,-0.09343557,-0.07774652,NYSE,SPGI,True,False,36.371254,10.83,14700000256.0,47.689,10225000448.0,0.058,0.81,0.06,1.32,Strong Buy,60221000000.0,22713000000.0,33159000000.0,11933000000.0,-933000000.0,60589000000.0,22489000000.0,34200000000.0,12000000000.0,-982000000.0,61784000000.0,22040000000.0,36388000000.0,11533000000.0,-332000000.0,15026000000.0,9490000000.0,2032000000.0,4702000000.0,4995000000.0,5689000000.0,-124000000.0,3710000000.0,-143000000.0,2603000000.0,-89000000.0,3598000000.0,-35000000.0
VA,Aerospace & Defense,Industrials,117000.0,328.92,0.39220002,0.484,1044250.0,89077145600.0,347.37,0.3375,98039226368.0,0.08128,251745725.0,268993342.0,0.01,0.00508,0.8669,2.39,0.0112,87.792,3.7719836,4086000128.0,14.9,16.143,0.0748831,331.15,buy,17.0,1523000064.0,5.67,6072999936.0,10618999808.0,0.737,1.364,45.034,0.05752,0.17915002,3491124992.0,5016999936.0,0.15402001,0.120799996,0.1016,GD,General Dynamics Corporation,0.01380908,0.15190396,NYSE,GD,True,False,22.224833,1.95,50273001472.0,185.34,7743000064.0,0.089,1.81,0.12,2.25,Buy,55880000000.0,33817000000.0,22063000000.0,10676000000.0,6562000000.0,54810000000.0,33511000000.0,21299000000.0,11083000000.0,7183000000.0,51585000000.0,33017000000.0,18568000000.0,12114000000.0,5722000000.0,50073000000.0,32432000000.0,17641000000.0,13175000000.0,6009000000.0,4112000000.0,-916000000.0,4710000000.0,-904000000.0,4579000000.0,-1114000000.0,4271000000.0,-887000000.0
MN,Leisure,Consumer Cyclical,49000.0,25.14,0.0,1.702,2283057.0,5653899776.0,34.99,8.75,9564423168.0,0.080299996,161164744.0,219996102.0,0.0345,0.12613,0.80370003,3.66,0.0573,13.048,1.9696505,226762000.0,1.02,13.519,-0.0038759708,25.7,strong_buy,11.0,180280000.0,0.819,707478016.0,4090802944.0,0.411,0.647,142.574,0.03604,0.0866,36997000.0,693841024.0,0.47241002,0.25052,0.15883,LTH,"Life Time Group Holdings, Inc.",-0.06966974,-0.11206467,NYSE,LTH,False,False,25.19608,3.387,2824026880.0,13.425,1334104064.0,0.14,0.0,0.365,1.45455,Strong Buy,7152537000.0,4542187000.0,2610350000.0,3987297000.0,-349128000.0,7032141000.0,4778029000.0,2254112000.0,4260502000.0,-382674000.0,6625363000.0,4501102000.0,2124261000.0,4035238000.0,-326370000.0,6256675000.0,4165283000.0,2091392000.0,3756818000.0,-274728000.0,575117000.0,-524535000.0,463004000.0,-697993000.0,200969000.0,-591178000.0,-20029000.0,-328909000.0
CA,Health Information Services,Healthcare,7291.0,291.19,0.0,0.982,1325242.0,46505623552.0,343.96,17.11,40187355136.0,0.27287,150420023.0,163908013.0,0.0325,0.085209996,0.88598996,4.06,0.0355,40.509,7.004123,809932032.0,4.85,46.2,0.27863908,283.73,buy,30.0,6403713024.0,39.069,869854976.0,85448000.0,5.479,5.573,1.287,0.072399996,0.13701001,1096729856.0,1349251968.0,0.75593,0.29306,0.28709,VEEV,Veeva Systems Inc.,0.0003892982,0.109859005,NYSE,VEEV,False,False,58.501034,13.539,2968217088.0,18.248,2243760128.0,0.167,0.0,0.171,2.0,Buy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,Apparel Retail,Consumer Cyclical,39000.0,162.98,0.0,1.072,4981781.0,19853010944.0,516.39,2.165,20459077632.0,0.16377,109026169.0,113468082.0,0.0725,0.04617,0.88831,1.07,0.099300005,36.885,4.5387015,1785750016.0,14.65,6.873,-0.4377309,167.41,hold,27.0,1155794048.0,9.747,2976704000.0,1762717952.0,0.832,2.266,40.178,0.21861,0.42422,1018826496.0,1911771008.0,0.59096,0.27299,0.20743,LULU,lululemon athletica inc.,-0.07722005,-0.3859766,NasdaqGS,LULU,True,True,11.427304,1.876,10904036352.0,90.031,6443886080.0,0.065,0.0,-0.056,2.97059,Hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Asset Management,Financial Services,3776.0,141.46,2.3295,1.447,1672240.0,46349918208.0,200.485,10.72,49006465024.0,0.099429995,213506722.0,215934693.0,0.0332,0.12295,0.83927,4.64,0.0354,13.228,10.7249775,369512992.0,1.76,41.436,-0.15898985,141.87,buy,15.0,1531905024.0,6.981,1182716032.0,13471129600.0,0.469,0.541,152.399,0.02394,0.13430001,1484232192.0,4058841088.0,0.38009998,0.24499,0.19549999,ARES,Ares Management Corporation,-0.17121463,-0.16088532,NYSE,ARES,False,False,80.607956,10.151,4827668992.0,23.218,1834992000.0,0.712,3.16,0.444,2.0625,Buy,24884308000.0,18060118000.0,3543646000.0,13147967000.0,-85802000.0,24730500000.0,20256187000.0,1893399000.0,15755950000.0,-1020222000.0,22002839000.0,18204221000.0,1589239000.0,13334236000.0,-1222078000.0,21605164000.0,17790738000.0,1825227000.0,12494216000.0,-1467281000.0,2791154000.0,-91509000.0,-233261000.0,-67183000.0,-734112000.0,-35796000.0,-2596045000.0,-27226000.0
OH,Banks - Regional,Financial Services,18476.0,41.91,0.45069999,0.966,5903606.0,27027185664.0,69.7,0.474724,43567185920.0,0.29674,656795651.0,660973000.0,0.040799998,0.0043599997,0.88541,5.94,0.0473,29.255,1.3977098,2259000064.0,3.35,,-0.05718237,40.89,buy,20.0,4167000064.0,6.304,,18936999936.0,,,,0.01129,0.115109995,,,0.0,0.0,0.39780998,FITB,Fifth Third Bancorp,-0.07498319,-0.009932204,NasdaqGS,FITB,True,False,12.205971,5.362,8125000192.0,12.111,8125000192.0,0.067,3.91,0.133,1.81818,Buy,212927000000.0,193282000000.0,19645000000.0,18495000000.0,,214574000000.0,195402000000.0,19172000000.0,18908000000.0,,207452000000.0,190125000000.0,17327000000.0,18040000000.0,,211116000000.0,188906000000.0,22210000000.0,11821000000.0,,2824000000.0,-414000000.0,4509000000.0,-516000000.0,6428000000.0,-685000000.0,2704000000.0,-309000000.0
FL,Packaging & Containers,Consumer Cyclical,23000.0,92.32,0.2147,0.731,1280610.0,10920685568.0,130.42,0.83,17043852288.0,0.04637,110880677.0,116375594.0,0.051999997,0.00903,1.01959,4.42,0.0691,25.129,3.7343307,557000000.0,4.75,8.294,-0.025747538,93.84,buy,15.0,936000000.0,8.136,2055000064.0,6703000064.0,0.643,1.064,198.784,0.068730004,0.22145,989000000.0,1312000000.0,0.22301,0.17106001,0.14036,CCK,"Crown Holdings, Inc.",-0.02640859,-0.00442093,NYSE,CCK,False,False,19.755789,1.419,12012999680.0,102.325,2679000064.0,0.036,1.11,0.04,1.6,Buy,13848000000.0,10620000000.0,2756000000.0,6418000000.0,746000000.0,15034000000.0,12170000000.0,2410000000.0,7694000000.0,632000000.0,14301000000.0,12014000000.0,1849000000.0,7210000000.0,727000000.0,13858000000.0,11528000000.0,1912000000.0,6462000000.0,362000000.0,1192000000.0,-403000000.0,1453000000.0,-793000000.0,803000000.0,-839000000.0,905000000.0,-816000000.0
FL,Railroads,Industrials,23200.0,36.88,0.3312,1.286,19793617.0,68154208256.0,40.12,0.335648,87347855360.0,0.20548001,1857847080.0,1862136956.0,0.0153,0.00247,0.80132,1.84,0.0154,6.849,5.343846,2902000128.0,1.54,13.36,0.08734405,36.6,buy,24.0,618000000.0,0.332,6537999872.0,19811000320.0,0.67,0.847,155.283,0.07007,0.22589001,922249984.0,4615000064.0,0.46293,0.46293,0.35071,CSX,CSX Corporation,0.06396578,0.1338184,NasdaqGS,CSX,True,True,23.766233,6.185,14122999808.0,7.492,6537999872.0,-0.009,1.42,-0.224,1.74074,Buy,42764000000.0,30257000000.0,12502000000.0,18989000000.0,-456000000.0,42212000000.0,30227000000.0,11980000000.0,19024000000.0,136000000.0,41912000000.0,29287000000.0,12615000000.0,18535000000.0,1378000000.0,40531000000.0,27031000000.0,13490000000.0,16844000000.0,1640000000.0,5247000000.0,-2529000000.0,5514000000.0,-2257000000.0,5526000000.0,-2113000000.0,5099000000.0,-1791000000.0
NJ,Utilities - Regulated Electric,Utilities,13047.0,84.14,0.62119997,0.538,2688268.0,42297008128.0,95.22,5.166667,65544007680.0,0.17783001,497817082.0,499079754.0,0.0175,0.00115,0.76865,3.39,0.0228,33.409,2.5367415,1980000000.0,3.96,15.595,-0.06010866,84.75,buy,15.0,186000000.0,0.373,4203000064.0,23433000960.0,0.556,1.001,140.561,0.03199,0.12186,-965750016.0,2516999936.0,0.35351002,0.37749,0.29697,PEG,Public Service Enterprise Group,0.02282688,0.02544553,NYSE,PEG,True,False,21.401514,5.887,11134000128.0,22.335,3936000000.0,0.158,2.97,0.348,2.42105,Buy,54640000000.0,38526000000.0,13996000000.0,153000000.0,-2270000000.0,50741000000.0,35264000000.0,13396000000.0,173000000.0,-1684000000.0,48718000000.0,34989000000.0,13729000000.0,20439000000.0,-2377000000.0,48999000000.0,34561000000.0,14438000000.0,19629000000.0,-822000000.0,2133000000.0,-3380000000.0,3806000000.0,-3325000000.0,1503000000.0,-2888000000.0,1736000000.0,-2719000000.0
