ticker,Symbol,Name,CIK,Exchange,Sector,Industry,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TotalAnalysts,AnalystConsensus,AnalystConsensusNorm,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions
MMM,MMM,3M Company,66740.0,NYSE,INDUSTRIALS,CONGLOMERATES,December,2025-06-30,80480354000.0,5795000000.0,20.96,3.367,8.05,2.86,0.0192,7.21,45.23,0.16,0.178,0.0732,0.948,24601999000,10114000000,7.21,-0.351,0.014,163.06,17,3.4705882352941178,3.088235294117647,2,9,3,1,2,19.19,3.271,19.72,3.825,13.4,1.108,163.4,120.83,154.84,147.94,532630000,531841000,0.107,75.354
AOS,AOS,Smith AO Corporation,91142.0,NYSE,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,December,2025-06-30,9483971000.0,768100000.0,18.85,1.791,13.17,1.34,0.0198,3.59,26.34,0.137,0.203,0.133,0.276,3790200000,1447900000,3.59,0.009,-0.013,79.83,15,3.2,2.75,0,4,10,1,0,17.39,2.502,5.58,2.759,13.47,1.303,80.34,58.25,72.07,68.31,114260000,226060000,0.772,98.792
ABT,ABT,Abbott Laboratories,1800.0,NYSE,HEALTHCARE,MEDICAL DEVICES,December,2025-06-30,228661510000.0,11453000000.0,16.48,4.168,29.05,2.32,0.0175,7.97,24.78,0.324,0.197,0.0662,0.309,43108999000,24278000000,7.97,0.365,0.074,143.12,28,3.857142857142857,3.5714285714285716,6,14,7,0,1,23.36,5.3,4.577,5.51,20.54,0.696,139.95,109.7,132.52,129.92,1740459000,1730208000,0.543,80.645
ABBV,ABBV,AbbVie Inc,1551152.0,NYSE,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,December,2025-06-30,406838346000.0,28074000000.0,109.67,0.425,-0.104,6.47,0.0281,2.1,32.98,0.0645,0.375,0.0887,1.129,58327998000,41556001000,2.1,-0.324,0.066,234.15,28,3.7857142857142856,3.4821428571428568,5,14,8,0,1,16.84,6.97,50.46,8.26,34.03,0.507,244.81,159.42,215.24,196.06,1766558000,1762937000,0.104,74.506
ACN,ACN,Accenture plc,1467373.0,NYSE,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,August,2025-08-31,151041032000.0,12222532000.0,20.06,1.898,50.16,6.07,0.0252,12.14,111.5,0.11,0.152,0.112,0.255,69672976000,22235400000,12.14,-0.155,0.073,278.32,24,3.7083333333333335,3.385416666666667,3,12,8,1,0,17.64,2.168,4.872,2.134,11.49,1.278,391.86,227.92,247.36,304.4,620139000,619041000,0.073,82.145
ADBE,ADBE,Adobe Systems Incorporated,796343.0,NASDAQ,TECHNOLOGY,SOFTWARE - APPLICATION,November,2025-08-31,142039351000.0,9060000000.0,21.14,1.003,28.02,,,16.05,53.63,0.3,0.363,0.181,0.529,23181001000,20662999000,16.05,0.112,0.107,454.18,40,3.675,3.34375,5,20,12,3,0,15.06,6.13,12.5,6.38,15.46,1.49,557.9,330.04,351.32,389.64,418600000,417374000,0.182,86.867
AMD,AMD,Advanced Micro Devices Inc,2488.0,NASDAQ,TECHNOLOGY,SEMICONDUCTORS,December,2025-06-30,351215813000.0,5510000000.0,129.59,0.525,36.78,,,1.67,18.25,0.0957,-0.0128,0.0219,0.047,29600000000,15092000000,1.67,2.336,0.317,230.11,52,3.7884615384615383,3.485576923076923,5,31,16,0,0,28.57,11.87,4.617,9.24,48.83,1.894,240.1,76.48,171.41,130.91,1622844000,1611354000,0.504,69.098
AES,AES,The AES Corporation,874761.0,NYSE,UTILITIES,UTILITIES - DIVERSIFIED,December,2025-06-30,10281995000.0,3076000000.0,11.11,1.092,4.732,0.7,0.0498,1.3,16.9,0.0766,0.14,0.0228,0.0174,12032000000,2036000000,1.3,-0.892,-0.03,14.21,13,3.6153846153846154,3.269230769230769,3,4,4,2,0,6.18,0.855,3.02,3.249,11.94,0.924,16.98,9.28,13.34,11.92,712050000,708034000,0.464,93.868
AFL,AFL,Aflac Incorporated,4977.0,NYSE,FINANCIAL SERVICES,INSURANCE - LIFE,December,2025-06-30,58970522000.0,3446000000.0,24.83,0.93,50.86,2.16,0.0195,4.44,29.04,0.153,0.21,0.0173,0.0915,15910000000,6585000000,4.44,-0.642,-0.19,110.0,13,3.1538461538461537,2.692307692307692,2,1,8,1,1,15.2,3.707,2.175,4.128,-,0.849,113.9,96.14,107.4,105.57,534831000,530189000,10.541,59.609
A,A,Agilent Technologies Inc,1090872.0,NYSE,HEALTHCARE,DIAGNOSTICS & RESEARCH,October,2025-07-31,39188263000.0,1838000000.0,32.22,2.163,22.46,0.98,0.0072,4.29,23.84,0.18,0.232,0.0835,0.199,6788000000,3569000000,4.29,0.216,0.101,147.77,18,3.5555555555555554,3.194444444444444,2,6,10,0,0,22.94,5.77,6.17,6.07,22.92,1.262,152.88,96.03,124.76,123.07,283500000,282491000,0.29,92.679
