Dataset,[1],[2],'',[3],'',[4],'',[5],'',[6],'',[7],'',[8],'',[9],'',[10],'',[11],'',[12],'',[13],'',[14],'',[15],'',[16],'',[17],'',[18],'',[19],'',[20],''
'\'train_main_financial_met',31.95,28.08,' ',34.87,' ',32.11,' ',32.98,' ',30.48,' ',31.55,' ',31.26,' ',27.37,' ',24.52,*,32.56,' ',27.19,*,28.08,' ',28.06,' ',13.55,*,13.55,*,32.71,' ',28.08,' ',34.58,' ',28.95,' '
'\'train_main_financial_met_fssu',31.40,27.86,' ',31.60,' ',30.08,' ',30.71,' ',28.59,*,31.66,' ',32.64,' ',28.33,' ',24.34,*,32.73,' ',28.35,' ',30.20,' ',28.77,' ',13.55,*,13.55,*,31.35,' ',24.61,*,32.29,' ',26.48,*
'\'train_main_financial_met_fssm',32.64,27.04,*,33.11,' ',30.26,' ',32.49,' ',30.24,' ',32.35,' ',32.40,' ',27.99,*,25.08,*,33.29,' ',27.57,*,29.28,' ',28.30,' ',13.64,*,13.64,*,31.51,' ',26.97,*,33.36,' ',28.55,' '
'\'train_std_main_financial',31.69,29.71,' ',35.07,v,31.44,' ',32.82,' ',30.13,' ',31.73,' ',31.98,' ',27.99,*,24.21,*,32.51,' ',27.30,' ',28.08,' ',27.64,' ',27.79,*,27.01,*,32.80,' ',28.13,' ',34.09,' ',29.39,' '
'\'train_std_main_financial_fssu',30.42,27.84,' ',31.95,' ',30.39,' ',31.06,' ',28.86,' ',31.37,' ',32.51,' ',28.46,' ',25.34,*,32.87,' ',27.53,' ',30.20,' ',29.40,' ',31.95,' ',30.77,' ',31.35,' ',25.14,*,32.33,' ',26.92,' '
'\'train_std_main_financial_fssm',32.71,29.48,' ',33.04,' ',30.66,' ',32.91,' ',31.49,' ',32.20,' ',32.78,' ',28.48,*,25.43,*,33.22,' ',27.68,*,29.28,' ',27.79,*,29.82,' ',29.59,' ',31.40,' ',26.55,*,33.29,' ',27.95,' '
'\'train_proc_std_main_fina',30.89,28.41,' ',34.85,v,32.01,' ',36.37,v,32.55,' ',32.16,' ',30.88,' ',29.59,' ',25.01,*,31.42,' ',27.65,' ',29.44,' ',29.27,' ',30.25,' ',29.44,' ',35.81,v,33.68,' ',35.96,v,31.33,' '
'\'train_proc_std_main_fina_fssu',32.11,28.09,*,32.48,' ',30.98,' ',33.58,' ',29.27,' ',31.20,' ',32.18,' ',29.93,' ',25.64,*,30.76,' ',27.87,*,30.20,' ',29.93,' ',30.96,' ',30.08,' ',32.28,' ',29.25,' ',33.58,' ',28.31,*
'\'train_proc_std_main_fina_fssm',32.50,28.56,*,32.84,' ',30.79,' ',36.08,' ',30.71,' ',31.57,' ',32.50,' ',27.97,*,23.83,*,32.06,' ',26.53,*,28.95,' ',27.68,*,30.47,' ',28.83,*,33.51,' ',30.64,' ',34.93,' ',29.39,' '
'[v/ /*]','','',[0/6/3],'',[2/7/0],'',[0/9/0],'',[1/8/0],'',[0/8/1],'',[0/9/0],'',[0/9/0],'',[0/5/4],'',[0/0/9],'',[0/9/0],'',[0/4/5],'',[0/9/0],'',[0/7/2],'',[0/5/4],'',[0/4/5],'',[1/8/0],'',[0/5/4],'',[1/8/0],'',[0/7/2]
