@relation InstanceResultListener

@attribute Key_Dataset {'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48','train_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48','train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48'}
@attribute Key_Run {1,2,3}
@attribute Key_Fold {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.meta.AttributeSelectedClassifier}
@attribute Key_Scheme_options {'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.rules.JRip -- -F 3 -N 2.0 -O 2 -S 1','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.rules.OneR -- -B 6','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.rules.DecisionTable -- -X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.lazy.KStar -- -B 40 -M a','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.RBFClassifier -- -N 2 -R 0.01 -L 1.0E-6 -C 2 -P 1 -E 1 -S 1','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"'}
@attribute Key_Scheme_version_ID {-1151805453487947577}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumAttributesSelected numeric
@attribute measureSelectionTime numeric
@attribute measureTime numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,1,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2222,1198,300,95,205,0,31.666667,68.333333,0,0.115248,0.28099,0.488535,91.384342,124.595383,660.315921,166628.585119,-165968.269198,2.201053,555.428617,-553.227564,119.237067,0.397457,18.057579,0.243902,10,0.111969,29,0.888031,230,0.756098,31,0.25641,0.243902,0.25,0.134755,0.601092,0.203816,0.316667,0.1998,0.8002,0.683333,0.323386,0.316667,0.317395,0.118081,0.566934,0.269871,0.285649,0.316667,0.126,0,0.125,0,125,0,161734,499121,128247,46.666667,33,?,19,89,126,548,306,306,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,2,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2222,1198,300,88,212,0,29.333333,70.666667,0,0.078555,0.285327,0.492283,92.794982,125.551334,660.315921,169850.161394,-169189.845473,2.201053,566.167205,-563.966152,113.053451,0.376845,17.121115,0.341463,14,0.119691,31,0.880309,228,0.658537,27,0.311111,0.341463,0.325581,0.21334,0.668754,0.258352,0.293333,0.221103,0.778897,0.706667,0.288468,0.293333,0.289974,0.07086,0.547953,0.265634,0.285259,0.293333,0.115,0,0.015625,0,15.625,0,167321,499121,128247,46.333333,34.6,?,17,84,115,572,318,318,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,3,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2222,1198,300,85,215,0,28.333333,71.666667,0,0.078269,0.287733,0.496001,93.564399,126.475728,660.580234,189126.79704,-188466.216806,2.201934,630.422657,-628.220723,105.801007,0.35267,16.016375,0.268293,11,0.200772,52,0.799228,207,0.731707,30,0.174603,0.268293,0.211538,0.056942,0.554054,0.154638,0.283333,0.205893,0.794107,0.716667,0.296273,0.283333,0.286705,0.079151,0.545509,0.261145,0.270833,0.283333,0.047,0,0.03125,0,31.25,0,175197,499121,128247,41.333333,32.133333,?,13,26,47,606,335,335,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,4,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2222,1199,299,83,216,0,27.759197,72.240803,0,0.056328,0.283639,0.49215,92.261787,125.545894,657.702014,170912.542737,-170254.840724,2.199672,571.613855,-569.414183,116.215152,0.388679,17.669879,0.375,15,0.150579,39,0.849421,220,0.625,25,0.277778,0.375,0.319149,0.198593,0.651158,0.269405,0.277592,0.223538,0.776462,0.722408,0.268241,0.277592,0.27088,0.050731,0.562656,0.269594,0.246702,0.277592,0.063,0,0.015625,0,15.625,0,170215,499534,127834,46.822742,32.909699,?,18,15,57,584,324,324,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,5,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2222,1199,299,86,213,0,28.762542,71.237458,0,0.068059,0.281539,0.490524,91.605121,125.179246,657.203496,170911.273517,-170254.070021,2.198005,571.60961,-569.411605,113.104608,0.378276,17.209983,0.15,6,0.138996,36,0.861004,223,0.85,34,0.142857,0.15,0.146341,0.01078,0.523069,0.153504,0.287625,0.220422,0.779578,0.712375,0.283464,0.287625,0.281365,0.066843,0.554593,0.266092,0.251342,0.287625,0.063,0,0.03125,0,31.25,0,161910,499534,127834,46.822742,34.381271,?,17,32,63,549,320,320,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,1,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2222,1198,300,90,210,0,30,70,0,0.087869,0.285222,0.48013,92.747689,122.428853,660.580234,154848.19662,-154187.616386,2.201934,516.160655,-513.958721,114.295212,0.380984,17.302245,0.390244,16,0.146718,38,0.853282,221,0.609756,25,0.296296,0.390244,0.336842,0.217732,0.632828,0.202681,0.3,0.21561,0.78439,0.7,0.2949,0.3,0.293439,0.082592,0.556564,0.262621,0.282101,0.3,0.063,0,0.015625,0,15.625,0,156847,499121,128247,50.666667,36.666667,?,14,32,63,530,297,297,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,2,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2222,1198,300,80,220,0,26.666667,73.333333,0,0.052772,0.294627,0.506456,95.806063,129.141795,660.580234,190223.148805,-189562.56857,2.201934,634.077163,-631.875229,95.785138,0.319284,14.500152,0.390244,16,0.142857,37,0.857143,222,0.609756,25,0.301887,0.390244,0.340426,0.222809,0.662115,0.244431,0.266667,0.219727,0.780273,0.733333,0.26405,0.266667,0.264105,0.042988,0.533952,0.25387,0.257423,0.266667,0.054,0,0,0,0,0,168507,499121,128247,41,32.133333,?,16,26,54,576,320,320,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,3,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2222,1198,300,92,208,0,30.666667,69.333333,0,0.109818,0.28851,0.491204,93.881327,125.367049,659.159136,169841.770138,-169182.611001,2.197197,566.139234,-563.942037,109.008032,0.36336,16.537438,0.325,13,0.126923,33,0.873077,227,0.675,27,0.282609,0.325,0.302326,0.186877,0.581538,0.170936,0.306667,0.199187,0.800813,0.693333,0.314181,0.306667,0.308359,0.105107,0.556574,0.259152,0.299441,0.306667,0.072,0,0.03125,0,31.25,0,162496,499121,128247,47.333333,34.466667,?,19,25,72,551,312,312,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,4,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2222,1199,299,85,214,0,28.428094,71.571906,0,0.073513,0.293513,0.502067,95.486732,128.099709,657.4377,185934.643374,-185277.205673,2.198788,621.854995,-619.656206,98.896675,0.330758,15.042745,0.275,11,0.166023,43,0.833977,216,0.725,29,0.203704,0.275,0.234043,0.096435,0.560039,0.157367,0.284281,0.211846,0.788154,0.715719,0.287847,0.284281,0.284141,0.07176,0.527862,0.24991,0.259096,0.284281,0.063,0,0,0,0,0,164195,499534,127834,42.140468,34.448161,?,15,32,63,560,303,303,?
