@relation InstanceResultListener

@attribute Key_Dataset {'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48','train_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48','train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48'}
@attribute Key_Run {1,2,3}
@attribute Key_Fold {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.meta.AttributeSelectedClassifier}
@attribute Key_Scheme_options {'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.rules.JRip -- -F 3 -N 2.0 -O 2 -S 1','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.rules.OneR -- -B 6','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.rules.DecisionTable -- -X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.lazy.KStar -- -B 40 -M a','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.functions.RBFClassifier -- -N 2 -R 0.01 -L 1.0E-6 -C 2 -P 1 -E 1 -S 1','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"'}
@attribute Key_Scheme_version_ID {-1151805453487947577}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumAttributesSelected numeric
@attribute measureSelectionTime numeric
@attribute measureTime numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,1,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2219,1198,300,81,219,0,27,73,0,0.048171,0.299356,0.50374,97.357614,128.473171,660.315921,184871.669704,-184211.353783,2.201053,616.238899,-614.037846,80.531647,0.268439,12.195927,0.097561,4,0.100386,26,0.899614,233,0.902439,37,0.133333,0.097561,0.112676,-0.003235,0.483002,0.140202,0.27,0.21955,0.78045,0.73,0.266962,0.27,0.267948,0.049885,0.521666,0.243699,0.227969,0.27,0.078,0,0.0625,0,62.5,0,148186,499121,128247,42.666667,35.266667,?,15,48,78,553,304,304,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,2,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2219,1198,300,88,212,0,29.333333,70.666667,0,0.079302,0.28835,0.485488,93.77802,123.81826,660.315921,163417.074325,-162756.758404,2.201053,544.723581,-542.522528,111.03239,0.370108,16.815041,0.365854,15,0.146718,38,0.853282,221,0.634146,26,0.283019,0.365854,0.319149,0.197364,0.625859,0.215891,0.293333,0.218122,0.781878,0.706667,0.292504,0.293333,0.291132,0.075032,0.551086,0.25632,0.281383,0.293333,0.079,0,0,0,0,0,139244,499121,128247,49.333333,36.866667,?,15,45,79,516,281,281,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,3,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2219,1198,300,91,209,0,30.333333,69.666667,0,0.091094,0.278618,0.485329,90.60037,123.754671,660.580234,167685.862086,-167025.281852,2.201934,558.952874,-556.75094,127.132595,0.423775,19.245595,0.243902,10,0.162162,42,0.837838,217,0.756098,31,0.192308,0.243902,0.215054,0.074174,0.605754,0.177543,0.303333,0.214409,0.785591,0.696667,0.311739,0.303333,0.304663,0.093434,0.569023,0.273049,0.286878,0.303333,0.047,0,0.046875,0,46.875,0,149164,499121,128247,48,33.933333,?,15,16,47,557,306,306,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,4,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2219,1199,299,86,213,0,28.762542,71.237458,0,0.070914,0.286733,0.492485,93.268051,125.631238,657.702014,179483.823086,-178826.121073,2.199672,600.280345,-598.080672,104.400146,0.349164,15.873472,0.325,13,0.162162,42,0.837838,217,0.675,27,0.236364,0.325,0.273684,0.143073,0.574952,0.185791,0.287625,0.216362,0.783638,0.712375,0.281729,0.287625,0.282803,0.069049,0.546329,0.265607,0.245816,0.287625,0.063,0,0,0,0,0,159816,499534,127834,44.147157,33.110368,?,15,32,63,601,337,337,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,5,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2219,1199,299,87,212,0,29.09699,70.90301,0,0.075545,0.289015,0.489173,94.037364,124.834534,657.203496,174128.723555,-173471.52006,2.198005,582.370313,-580.172308,103.34977,0.345651,15.725688,0.25,10,0.142857,37,0.857143,222,0.75,30,0.212766,0.25,0.229885,0.100206,0.542423,0.157452,0.29097,0.218723,0.781277,0.70903,0.2921,0.29097,0.290135,0.073036,0.539239,0.257816,0.270355,0.29097,0.084,0.001,0.015625,0,15.625,0,153038,499534,127834,45.150502,34.381271,?,15,32,84,573,323,323,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,1,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2219,1198,300,96,204,0,32,68,0,0.114878,0.27593,0.48405,89.726177,123.428382,660.580234,176239.318296,-175578.738062,2.201934,587.464394,-585.26246,128.469074,0.42823,19.447914,0.268293,11,0.111969,29,0.888031,230,0.731707,30,0.275,0.268293,0.271605,0.157961,0.587908,0.19841,0.32,0.204439,0.795561,0.68,0.317368,0.32,0.318013,0.114694,0.569511,0.26975,0.294021,0.32,0.058,0,0,0,0,0,161026,499121,128247,45.333333,32,?,15,27,58,606,335,335,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,2,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2219,1198,300,74,226,0,24.666667,75.333333,0,0.020953,0.297205,0.49644,96.64419,126.587724,660.580234,166661.673703,-166001.093469,2.201934,555.538912,-553.336978,87.449336,0.291498,13.238261,0.195122,8,0.158301,41,0.841699,218,0.804878,33,0.163265,0.195122,0.177778,0.034214,0.553913,0.150882,0.246667,0.22753,0.77247,0.753333,0.247805,0.246667,0.246613,0.019369,0.538735,0.249697,0.224415,0.246667,0.054,0,0.015625,0,15.625,0,135856,499121,128247,48.333333,37.333333,?,15,22,54,502,274,274,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,3,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2219,1198,300,74,226,0,24.666667,75.333333,0,0.017163,0.300281,0.491121,97.711537,125.345987,659.159136,170940.411861,-170281.252724,2.197197,569.801373,-567.604176,83.763695,0.279212,12.707659,0.175,7,0.138462,36,0.861538,224,0.825,33,0.162791,0.175,0.168675,0.035446,0.585288,0.161648,0.246667,0.235222,0.764778,0.753333,0.246131,0.246667,0.245759,0.01172,0.514869,0.241448,0.231678,0.246667,0.063,0,0.015625,0,15.625,0,140210,499121,128247,45.666667,37.4,?,15,35,63,520,283,283,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,4,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2219,1199,299,74,225,0,24.749164,75.250836,0,0.020899,0.295471,0.49693,96.123891,126.788983,657.4377,172011.649859,-171354.212159,2.198788,575.289799,-573.091011,84.140694,0.281407,12.798276,0.175,7,0.111969,29,0.888031,230,0.825,33,0.194444,0.175,0.184211,0.065933,0.534363,0.17056,0.247492,0.226155,0.773845,0.752508,0.249081,0.247492,0.247386,0.021859,0.528663,0.252385,0.213662,0.247492,0.047,0.01,0.046875,0,46.875,0,143600,499534,127834,46.488294,37.257525,?,15,16,47,534,290,290,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,5,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2219,1199,299,87,212,0,29.09699,70.90301,0,0.07219,0.290068,0.494952,94.328557,126.217382,658.360281,182702.105987,-182043.745707,2.201874,611.043833,-608.841959,103.873904,0.347404,15.777669,0.341463,14,0.089147,23,0.910853,235,0.658537,27,0.378378,0.341463,0.358974,0.26357,0.630034,0.212848,0.29097,0.223668,0.776332,0.70903,0.292195,0.29097,0.290382,0.070067,0.531073,0.256111,0.27857,0.29097,0.047,0,0.03125,0,31.25,0,158846,499534,127834,43.143813,34.314381,?,15,15,47,597,335,335,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',3,1,weka.classifiers.meta.AttributeSelectedClassifier,'-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 15\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-1151805453487947577,20251029.2219,1198,300,88,212,0,29.333333,70.666667,0,0.073251,0.287727,0.484947,93.58934,123.704732,660.081717,168776.290621,-168116.208904,2.200272,562.587635,-560.387363,112.015057,0.373384,16.969877,0.243902,10,0.138996,36,0.861004,223,0.756098,31,0.217391,0.243902,0.229885,0.100011,0.572935,0.177993,0.293333,0.224641,0.775359,0.706667,0.300246,0.293333,0.293009,0.073736,0.535005,0.258502,0.281894,0.293333,0.054,0,0.015625,0,15.625,0,147472,499121,128247,47.666667,37.666667,?,15,21,54,550,298,298,?
