@relation InstanceResultListener

@attribute Key_Dataset {'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48','train_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48','train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48'}
@attribute Key_Run {1,2,3}
@attribute Key_Fold {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.trees.RandomTree,weka.classifiers.trees.RandomForest,weka.classifiers.trees.REPTree,weka.classifiers.trees.LMT,weka.classifiers.rules.JRip,weka.classifiers.rules.OneR,weka.classifiers.rules.DecisionTable,weka.classifiers.lazy.IBk,weka.classifiers.lazy.KStar,weka.classifiers.functions.RBFClassifier,weka.classifiers.functions.SMO}
@attribute Key_Scheme_options {'-C 0.1 -M 10','-K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 20','-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0','-I -1 -M 15 -W 0.0','-F 3 -N 2.0 -O 2 -S 1','-B 6','-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-B 40 -M a','-N 5 -R 0.01 -L 1.0E-6 -C 2 -P 1 -E 1 -S 1','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"'}
@attribute Key_Scheme_version_ID {-217733168393644444,-9051119597407396024,1116839470751428698,-9216785998198681299,-1113212459618104943,-6589312996832147161,-3459427003147861443,2888557078165701326,-3080186098777067172,332458330800479083,-7847475556438394611,-6585883636378691736}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 66\nSize of the tree: 113\n','Number of leaves: 64\nSize of the tree: 109\n','Number of leaves: 47\nSize of the tree: 84\n','Number of leaves: 46\nSize of the tree: 82\n','Number of leaves: 40\nSize of the tree: 70\n','Number of leaves: 75\nSize of the tree: 131\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 73\nSize of the tree: 127\n','Number of leaves: 52\nSize of the tree: 94\n','Number of leaves: 53\nSize of the tree: 96\n','Number of leaves: 60\nSize of the tree: 101\n','Number of leaves: 43\nSize of the tree: 76\n','Number of leaves: 57\nSize of the tree: 104\n','Number of leaves: 49\nSize of the tree: 88\n','Number of leaves: 85\nSize of the tree: 142\n','Number of leaves: 48\nSize of the tree: 86\n','Number of leaves: 72\nSize of the tree: 125\n','Number of leaves: 63\nSize of the tree: 107\n','Number of leaves: 79\nSize of the tree: 139\n','Number of leaves: 81\nSize of the tree: 134\n','Number of leaves: 71\nSize of the tree: 123\n','Number of leaves: 54\nSize of the tree: 98\n','Number of leaves: 57\nSize of the tree: 95\n','Number of leaves: 59\nSize of the tree: 108\n','Number of leaves: 62\nSize of the tree: 114\n','Number of leaves: 89\nSize of the tree: 141\n','Number of leaves: 62\nSize of the tree: 105\n','Number of leaves: 55\nSize of the tree: 100\n','Number of leaves: 39\nSize of the tree: 68\n','Number of leaves: 67\nSize of the tree: 106\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 87\nSize of the tree: 137\n','Number of leaves: 68\nSize of the tree: 117\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,1,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.2214,1198,300,96,204,0,32,68,0,0.113814,0.28454,0.406787,92.539017,103.746534,660.315921,37036.665432,-36376.349511,2.201053,123.455551,-121.254498,116.126714,0.387089,17.586539,0.292683,12,0.104247,27,0.895753,232,0.707317,29,0.307692,0.292683,0.3,0.192465,0.67318,0.273723,0.32,0.208994,0.791006,0.68,0.325878,0.32,0.321421,0.114279,0.596893,0.311811,0.308929,0.32,0.257,0,0.203125,0,203.125,0,33189,499121,128247,86.333333,72.2,'Number of leaves: 66\nSize of the tree: 113\n',113,66,66,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,2,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.2214,1198,300,91,209,0,30.333333,69.666667,0,0.083065,0.288978,0.411814,93.982287,105.02858,660.315921,35975.965781,-35315.64986,2.201053,119.919886,-117.718833,112.038679,0.373462,16.967436,0.317073,13,0.127413,33,0.872587,226,0.682927,28,0.282609,0.317073,0.298851,0.18081,0.669319,0.259378,0.303333,0.225604,0.774396,0.696667,0.301145,0.303333,0.288289,0.080515,0.593778,0.293731,0.272858,0.303333,0.166,0.002,0.09375,0,93.75,0,32221,499121,128247,88,71.066667,'Number of leaves: 64\nSize of the tree: 109\n',109,64,64,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,3,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.2214,1198,300,106,194,0,35.333333,64.666667,0,0.143412,0.281642,0.397963,91.583467,101.477146,660.580234,20972.002525,-20311.422291,2.201934,69.906675,-67.704741,124.540603,0.415135,18.853214,0.390244,16,0.135135,35,0.864865,224,0.609756,25,0.313725,0.390244,0.347826,0.233283,0.67883,0.236505,0.353333,0.215291,0.784709,0.646667,0.358152,0.353333,0.34237,0.1455,0.626218,0.317609,0.328139,0.353333,0.142,0,0.078125,0,78.125,0,26171,499121,128247,90.333333,74.066667,'Number of leaves: 47\nSize of the tree: 84\n',84,47,47,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,4,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.2214,1199,299,106,193,0,35.451505,64.548495,0,0.150906,0.285686,0.402125,92.927319,102.580689,657.702014,35961.214776,-35303.512763,2.199672,120.271621,-118.071949,116.59864,0.389962,17.728187,0.525,21,0.150579,39,0.849421,220,0.475,19,0.35,0.525,0.42,0.318248,0.733398,0.298716,0.354515,0.207607,0.792393,0.645485,0.344508,0.354515,0.332786,0.145915,0.603069,0.30661,0.313826,0.354515,0.199,0,0.0625,0,62.5,0,25687,499534,127834,87.959866,76.120401,'Number of leaves: 46\nSize of the tree: 82\n',82,46,46,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,5,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.2214,1199,299,97,202,0,32.441472,67.558528,0,0.091992,0.28847,0.402588,93.860139,102.738504,657.203496,22064.016238,-21406.812742,2.198005,73.792696,-71.594691,107.992906,0.36118,16.432187,0.15,6,0.054054,14,0.945946,245,0.85,34,0.3,0.15,0.2,0.130734,0.686245,0.275576,0.324415,0.235849,0.764151,0.675585,0.309224,0.324415,0.301431,0.092551,0.598261,0.297276,0.273625,0.324415,0.081,0,0.0625,0,62.5,0,22783,499534,127834,88.294314,72.374582,'Number of leaves: 40\nSize of the tree: 70\n',70,40,40,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,1,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.2214,1198,300,94,206,0,31.333333,68.666667,0,0.097968,0.284616,0.412799,92.550513,105.260029,660.580234,56310.595705,-55650.015471,2.201934,187.701986,-185.500052,122.110016,0.407033,18.485266,0.341463,14,0.131274,34,0.868726,225,0.658537,27,0.291667,0.341463,0.314607,0.196939,0.752237,0.326425,0.313333,0.217358,0.782642,0.686667,0.304467,0.313333,0.304654,0.095484,0.593161,0.319875,0.274214,0.313333,0.071,0,0,0,0,0,37545,499121,128247,82.333333,68.866667,'Number of leaves: 75\nSize of the tree: 131\n',131,75,75,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,2,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.2214,1198,300,87,213,0,29,71,0,0.068106,0.287075,0.411156,93.350262,104.841117,660.580234,34903.230752,-34242.650518,2.201934,116.344103,-114.142168,110.907907,0.369693,16.789468,0.341463,14,0.127413,33,0.872587,226,0.658537,27,0.297872,0.341463,0.318182,0.202278,0.709577,0.276591,0.29,0.226085,0.773915,0.71,0.289618,0.29,0.283106,0.066602,0.597821,0.303685,0.264848,0.29,0.084,0,0,0,0,0,32221,499121,128247,87.666667,68.133333,'Number of leaves: 64\nSize of the tree: 109\n',109,64,64,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,3,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.2214,1198,300,98,202,0,32.666667,67.333333,0,0.108168,0.282537,0.399489,91.937469,101.959286,659.159136,14559.181645,-13900.022509,2.197197,48.530605,-46.333408,123.020806,0.410069,18.663294,0.3,12,0.073077,19,0.926923,241,0.7,28,0.387097,0.3,0.338028,0.253419,0.781587,0.337759,0.326667,0.225657,0.774343,0.673333,0.351657,0.326667,0.322712,0.113322,0.624047,0.329632,0.314927,0.326667,0.084,0,0,0,0,0,25445,499121,128247,90,74.4,'Number of leaves: 41\nSize of the tree: 81\n',81,41,41,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,4,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.2214,1199,299,97,202,0,32.441472,67.558528,0,0.115048,0.282578,0.412969,91.929453,105.366789,657.4377,38114.581905,-37457.144205,2.198788,127.473518,-125.27473,119.97673,0.40126,18.249141,0.3,12,0.146718,38,0.853282,221,0.7,28,0.24,0.3,0.266667,0.139825,0.664382,0.222117,0.324415,0.210185,0.789815,0.675585,0.326622,0.324415,0.31933,0.115747,0.603727,0.311848,0.286024,0.324415,0.088,0.001,0.015625,0,15.625,0,36577,499534,127834,87.29097,68.963211,'Number of leaves: 73\nSize of the tree: 127\n',127,73,73,?
