@relation InstanceResultListener

@attribute Key_Dataset {'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48','train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48','train_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48'}
@attribute Key_Run {1,2,3}
@attribute Key_Fold {1,2,3,4,5,6,7}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.trees.RandomTree,weka.classifiers.trees.RandomForest,weka.classifiers.trees.REPTree,weka.classifiers.trees.LMT,weka.classifiers.rules.JRip,weka.classifiers.rules.OneR,weka.classifiers.rules.DecisionTable,weka.classifiers.lazy.IBk,weka.classifiers.lazy.KStar,weka.classifiers.lazy.LWL,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.functions.RBFClassifier,weka.classifiers.functions.SMO,weka.classifiers.meta.AttributeSelectedClassifier,weka.classifiers.meta.FilteredClassifier}
@attribute Key_Scheme_options {'-C 0.1 -M 10','-K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 20','-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0','-I -1 -M 15 -W 0.0','-F 3 -N 2.0 -O 2 -S 1','-B 6','-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-B 40 -M a','-U 0 -K -1 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\" -W weka.classifiers.trees.DecisionStump','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 10','-N 5 -R 0.01 -L 1.0E-6 -C 2 -P 1 -E 1 -S 1','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.instance.SMOTE -C 2 -K 5 -P 10.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 4 -K 5 -P 30.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 1 -K 5 -P 100.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 5 -K 5 -P 210.0 -S 1\\\" -S 1\" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\" -W weka.classifiers.meta.FilteredClassifier -- -F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.instance.SMOTE -C 5 -K 5 -P 220.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 1 -K 5 -P 100.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 2 -K 5 -P 15.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 4 -K 5 -P 30.0 -S 1\\\" -S 1\" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.meta.FilteredClassifier -- -F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.instance.SMOTE -C 5 -K 5 -P 220.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 1 -K 5 -P 100.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 2 -K 5 -P 15.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 4 -K 5 -P 30.0 -S 1\\\" -S 1\" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\" -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1','-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.instance.SMOTE -C 2 -K 5 -P 10.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 4 -K 5 -P 30.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 1 -K 5 -P 100.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 5 -K 5 -P 210.0 -S 1\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -V 0.001 -S 1','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\" -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\" -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\" -W weka.classifiers.rules.JRip -- -F 3 -N 2.0 -O 2 -S 1','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\" -W weka.classifiers.rules.OneR -- -B 6','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\" -W weka.classifiers.rules.DecisionTable -- -X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\" -W weka.classifiers.lazy.IBk -- -K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\" -W weka.classifiers.lazy.KStar -- -B 20 -M a','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\" -W weka.classifiers.functions.MultilayerPerceptron -- -L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\" -W weka.classifiers.functions.RBFClassifier -- -N 2 -R 0.01 -L 1.0E-6 -C 2 -P 1 -E 1 -S 1','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"'}
@attribute Key_Scheme_version_ID {-217733168393644444,-9051119597407396024,1116839470751428698,-9216785998198681299,-1113212459618104943,-6589312996832147161,-3459427003147861443,2888557078165701326,-3080186098777067172,332458330800479083,1979797405383665815,-5990607817048210779,-7847475556438394611,-6585883636378691736,-1151805453487947577,-4523450618538717400}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 73\nSize of the tree: 118\n','Number of leaves: 90\nSize of the tree: 152\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 84\nSize of the tree: 140\n','Number of leaves: 51\nSize of the tree: 92\n','Number of leaves: 46\nSize of the tree: 82\n','Number of leaves: 56\nSize of the tree: 102\n','Number of leaves: 74\nSize of the tree: 129\n','Number of leaves: 60\nSize of the tree: 110\n','Number of leaves: 72\nSize of the tree: 116\n','Number of leaves: 72\nSize of the tree: 125\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 68\nSize of the tree: 117\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 49\nSize of the tree: 88\n','Number of leaves: 67\nSize of the tree: 115\n','Number of leaves: 53\nSize of the tree: 96\n','Number of leaves: 52\nSize of the tree: 94\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 58\nSize of the tree: 106\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 79\nSize of the tree: 130\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 54\nSize of the tree: 98\n','Number of leaves: 83\nSize of the tree: 138\n','Number of leaves: 43\nSize of the tree: 76\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 55\nSize of the tree: 91\n','Number of leaves: 61\nSize of the tree: 103\n','Number of leaves: 63\nSize of the tree: 107\n','Number of leaves: 65\nSize of the tree: 111\n','Number of leaves: 57\nSize of the tree: 95\n','Number of leaves: 64\nSize of the tree: 109\n','Number of leaves: 76\nSize of the tree: 124\n','Number of leaves: 54\nSize of the tree: 89\n','Number of leaves: 71\nSize of the tree: 114\n','Number of leaves: 91\nSize of the tree: 154\n','Number of leaves: 87\nSize of the tree: 146\n','Number of leaves: 78\nSize of the tree: 137\n','Number of leaves: 64\nSize of the tree: 118\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 50\nSize of the tree: 90\n','Number of leaves: 70\nSize of the tree: 121\n','Number of leaves: 45\nSize of the tree: 80\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureNumAttributesSelected numeric
@attribute measureSelectionTime numeric
@attribute measureTime numeric

@data

'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,1,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1751,1284,214,72,142,0,33.64486,66.35514,0,0.126179,0.286969,0.403381,93.382156,102.948139,470.01699,18658.609978,-18188.592988,2.196341,87.189766,-84.993425,80.882452,0.377955,17.20841,0.482759,14,0.151351,28,0.848649,157,0.517241,15,0.333333,0.482759,0.394366,0.2856,0.766729,0.297902,0.336449,0.212789,0.787211,0.663551,0.317076,0.336449,0.319084,0.118256,0.610278,0.317901,0.286761,0.336449,0.058,0,0.046875,0,46.875,0,34399,534639,92729,89.719626,78.504673,'Number of leaves: 73\nSize of the tree: 118\n',118,73,73,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,2,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1751,1284,214,69,145,0,32.242991,67.757009,0,0.107282,0.285725,0.418142,92.977335,106.71541,470.01699,37932.468975,-37462.451984,2.196341,177.254528,-175.058187,76.021516,0.355241,16.174206,0.206897,6,0.118919,22,0.881081,163,0.793103,23,0.214286,0.206897,0.210526,0.089294,0.635042,0.196836,0.32243,0.213946,0.786054,0.67757,0.315836,0.32243,0.31697,0.109761,0.589845,0.291973,0.269694,0.32243,0.048,0,0.03125,0,31.25,0,42627,534639,92729,81.775701,66.82243,'Number of leaves: 90\nSize of the tree: 152\n',152,90,90,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,3,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1751,1284,214,83,131,0,38.785047,61.214953,0,0.196089,0.2788,0.392663,90.744702,100.240608,469.781891,18647.706306,-18177.924415,2.195242,87.138815,-84.943572,95.975223,0.448482,20.429741,0.448276,13,0.135135,25,0.864865,160,0.551724,16,0.342105,0.448276,0.38806,0.280463,0.670177,0.344051,0.38785,0.19599,0.80401,0.61215,0.414337,0.38785,0.384122,0.20049,0.635557,0.354982,0.36778,0.38785,0.079,0,0.078125,0,78.125,0,28349,534639,92729,89.252336,74.953271,'Number of leaves: 47\nSize of the tree: 93\n',93,47,47,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,4,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1751,1284,214,75,139,0,35.046729,64.953271,0,0.14014,0.278837,0.407208,90.657596,103.817149,471.576866,27211.459651,-26739.882785,2.20363,127.156354,-124.952723,94.535587,0.441755,20.046697,0.310345,9,0.081081,15,0.918919,170,0.689655,20,0.375,0.310345,0.339623,0.248678,0.801398,0.357474,0.350467,0.219415,0.780585,0.649533,0.350248,0.350467,0.344583,0.13779,0.625271,0.334589,0.355877,0.350467,0.063,0,0.0625,0,62.5,0,39723,534639,92729,85.514019,69.53271,'Number of leaves: 84\nSize of the tree: 140\n',140,84,84,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,5,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1751,1284,214,65,149,0,30.373832,69.626168,0,0.06687,0.287367,0.404097,93.430921,103.024059,471.576866,20795.285048,-20323.708182,2.20363,97.174229,-94.970599,79.865464,0.373203,16.935832,0.103448,3,0.054054,10,0.945946,175,0.896552,26,0.230769,0.103448,0.142857,0.070777,0.626561,0.215502,0.303738,0.237379,0.762621,0.696262,0.283239,0.303738,0.282626,0.067527,0.609881,0.297148,0.235574,0.303738,0.063,0,0.078125,0,78.125,0,28107,534639,92729,87.383178,71.869159,'Number of leaves: 51\nSize of the tree: 92\n',92,51,51,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,6,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1751,1284,214,63,151,0,29.439252,70.560748,0,0.07919,0.293788,0.405149,95.518707,103.292379,471.576866,11179.233065,-10707.656199,2.20363,52.239407,-50.035777,61.054445,0.285301,12.94687,0.172414,5,0.027027,5,0.972973,180,0.827586,24,0.5,0.172414,0.25641,0.235773,0.71165,0.362526,0.294393,0.216966,0.783034,0.705607,0.31444,0.294393,0.27822,0.086328,0.594689,0.303562,0.257882,0.294393,0.051,0,0.0625,0,62.5,0,25687,534639,92729,92.990654,79.252336,'Number of leaves: 46\nSize of the tree: 82\n',82,46,46,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,7,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1751,1284,214,71,143,0,33.17757,66.82243,0,0.122272,0.289738,0.411791,94.201833,104.985668,471.576866,29382.868522,-28911.291656,2.20363,137.303124,-135.099494,71.443091,0.333846,15.149829,0.310345,9,0.118919,22,0.881081,163,0.689655,20,0.290323,0.310345,0.3,0.186157,0.604101,0.260201,0.331776,0.211933,0.788067,0.668224,0.329888,0.331776,0.326871,0.122167,0.567982,0.296394,0.305178,0.331776,0.049,0,0.03125,0,31.25,0,30527,534639,92729,83.64486,71.775701,'Number of leaves: 56\nSize of the tree: 102\n',102,56,56,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,1,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1751,1284,214,70,144,0,32.71028,67.28972,0,0.105642,0.280589,0.404488,91.30612,103.230741,470.01699,17572.283647,-17102.266657,2.196341,82.113475,-79.917134,91.821187,0.429071,19.535717,0.344828,10,0.12973,24,0.87027,161,0.655172,19,0.294118,0.344828,0.31746,0.201393,0.712768,0.277763,0.327103,0.228572,0.771428,0.672897,0.3346,0.327103,0.315486,0.108317,0.622967,0.321925,0.300329,0.327103,0.063,0,0.015625,0,15.625,0,37061,534639,92729,91.121495,72.897196,'Number of leaves: 74\nSize of the tree: 129\n',129,74,74,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,2,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1751,1284,214,74,140,0,34.579439,65.420561,0,0.162895,0.280645,0.398084,91.324291,101.596284,470.01699,21850.738808,-21380.721818,2.196341,102.106256,-99.909915,88.5598,0.413831,18.84183,0.517241,15,0.194595,36,0.805405,149,0.482759,14,0.294118,0.517241,0.375,0.259199,0.697763,0.274827,0.345794,0.183089,0.816911,0.654206,0.358963,0.345794,0.343587,0.16064,0.638297,0.346447,0.331626,0.345794,0.063,0,0.0625,0,62.5,0,32463,534639,92729,87.850467,72.149533,'Number of leaves: 60\nSize of the tree: 110\n',110,60,60,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,3,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1751,1284,214,77,137,0,35.981308,64.018692,0,0.165324,0.280255,0.401964,91.218361,102.614937,469.781891,23998.196249,-23528.414357,2.195242,112.141104,-109.945861,92.823449,0.433754,19.758839,0.344828,10,0.156757,29,0.843243,156,0.655172,19,0.25641,0.344828,0.294118,0.166746,0.626281,0.194786,0.359813,0.196102,0.803898,0.640187,0.36974,0.359813,0.358247,0.166646,0.619319,0.320339,0.336078,0.359813,0.089,0,0.0625,0,62.5,0,33915,534639,92729,88.317757,74.11215,'Number of leaves: 72\nSize of the tree: 116\n',116,72,72,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,4,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1751,1284,214,64,150,0,29.906542,70.093458,0,0.061705,0.290474,0.418321,94.440951,106.650614,471.576866,22952.449364,-22480.872498,2.20363,107.254436,-105.050806,70.835646,0.331008,15.021018,0.275862,8,0.064865,12,0.935135,173,0.724138,21,0.4,0.275862,0.326531,0.248111,0.676794,0.268781,0.299065,0.241462,0.758538,0.700935,0.296305,0.299065,0.286167,0.066393,0.60151,0.287197,0.263646,0.299065,0.063,0,0.03125,0,31.25,0,36093,534639,92729,87.850467,70.46729,'Number of leaves: 72\nSize of the tree: 125\n',125,72,72,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,5,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1751,1284,214,65,149,0,30.373832,69.626168,0,0.083341,0.288108,0.400986,93.671892,102.231036,471.576866,10095.33112,-9623.754254,2.20363,47.174444,-44.970814,75.033525,0.350624,15.911197,0.241379,7,0.151351,28,0.848649,157,0.758621,22,0.2,0.241379,0.21875,0.083311,0.708854,0.231363,0.303738,0.221121,0.778879,0.696262,0.303932,0.303738,0.298522,0.086371,0.609485,0.31895,0.266844,0.303738,0.043,0,0.03125,0,31.25,0,24477,534639,92729,94.392523,79.065421,'Number of leaves: 39\nSize of the tree: 77\n',77,39,39,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,6,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1751,1284,214,81,133,0,37.850467,62.149533,0,0.188261,0.273174,0.394628,88.816469,100.610077,471.576866,18635.701602,-18164.124736,2.20363,87.082718,-84.879088,101.946999,0.476388,21.618321,0.413793,12,0.108108,20,0.891892,165,0.586207,17,0.375,0.413793,0.393443,0.293392,0.733085,0.424813,0.378505,0.193254,0.806746,0.621495,0.380409,0.378505,0.377714,0.187526,0.646721,0.372174,0.366987,0.378505,0.08,0,0.015625,0,15.625,0,34157,534639,92729,90.186916,72.990654,'Number of leaves: 68\nSize of the tree: 117\n',117,68,68,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,7,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1751,1284,214,60,154,0,28.037383,71.962617,0,0.05209,0.28796,0.400237,93.623728,102.039978,471.576866,13293.663467,-12822.086601,2.20363,62.119923,-59.916293,77.349829,0.361448,16.40238,0.344828,10,0.140541,26,0.859459,159,0.655172,19,0.277778,0.344828,0.307692,0.186924,0.789189,0.310764,0.280374,0.231831,0.768169,0.719626,0.269331,0.280374,0.270973,0.047765,0.620677,0.311981,0.24469,0.280374,0.063,0,0.0625,0,62.5,0,23509,534639,92729,92.990654,77.757009,'Number of leaves: 37\nSize of the tree: 73\n',73,37,37,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',3,1,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1751,1284,214,68,146,0,31.775701,68.224299,0,0.109172,0.287815,0.407528,93.657311,104.006471,470.01699,26147.33298,-25677.31599,2.196341,122.183799,-119.987458,79.556751,0.371761,16.926356,0.448276,13,0.183784,34,0.816216,151,0.551724,16,0.276596,0.448276,0.342105,0.218671,0.650513,0.240606,0.317757,0.212655,0.787345,0.682243,0.316598,0.317757,0.308174,0.104552,0.613391,0.313878,0.293739,0.317757,0.063,0,0.0625,0,62.5,0,27139,534639,92729,88.785047,75.700935,'Number of leaves: 49\nSize of the tree: 88\n',88,49,49,?,?,?,?
