@relation InstanceResultListener

@attribute Key_Dataset {train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast}
@attribute Key_Run {1,2,3,4,5}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {-D,-K}
@attribute Key_Scheme_version_ID {5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,741,83,22,61,0,26.506024,73.493976,0,0.063621,0.300344,0.45484,99.750699,117.233895,177.76735,315.797992,-138.030642,2.141775,3.804795,-1.66302,17.67085,0.212902,9.940436,0.25,2,0.293333,22,0.706667,53,0.75,6,0.083333,0.25,0.125,-0.028208,0.563333,0.228718,0.26506,0.197421,0.802579,0.73494,0.30295,0.26506,0.27135,0.07078,0.571613,0.334316,0.231045,0.26506,0.006,0.001,0,0,0,0,28970,339810,41736,67.46988,54.216867,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,2,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,741,83,21,62,0,25.301205,74.698795,0,0.030885,0.289478,0.431864,96.141686,111.311788,177.76735,246.576696,-68.809346,2.141775,2.970804,-0.829028,27.41317,0.330279,15.420813,0.375,3,0.226667,17,0.773333,58,0.625,5,0.15,0.375,0.214286,0.10236,0.740833,0.228943,0.253012,0.225779,0.774221,0.746988,0.288372,0.253012,0.24999,0.032553,0.598299,0.351514,0.209037,0.253012,0.005,0.001,0,0,0,0,28746,339810,41736,78.313253,60.963855,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,3,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,741,83,21,62,0,25.301205,74.698795,0,0.039029,0.294451,0.446962,97.79323,115.203156,177.76735,265.022365,-87.255015,2.141775,3.193041,-1.051265,26.43029,0.318437,14.86791,0.75,6,0.32,24,0.68,51,0.25,2,0.2,0.75,0.315789,0.264147,0.753333,0.288651,0.253012,0.222686,0.777314,0.746988,0.272672,0.253012,0.218966,0.022287,0.593388,0.310899,0.192479,0.253012,0.005,0,0,0,0,0,28854,339810,41736,77.108434,59.036145,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,4,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,741,83,20,63,0,24.096386,75.903614,0,-0.003647,0.29764,0.444729,98.702123,114.431611,178.78839,286.83587,-108.047481,2.154077,3.455854,-1.301777,21.997369,0.265029,12.303578,0.444444,4,0.27027,20,0.72973,54,0.555556,5,0.166667,0.444444,0.242424,0.119451,0.745495,0.278559,0.240964,0.254354,0.745646,0.759036,?,0.240964,?,?,0.556782,0.295381,?,0.240964,0.007,0.001,0,0,0,0,28652,339810,41736,73.493976,58.795181,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,5,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,32,50,0,39.02439,60.97561,0,0.21471,0.277708,0.3774,92.311123,97.366827,175.167642,162.595011,12.572632,2.136191,1.982866,0.153325,33.227949,0.405219,18.969228,0.555556,5,0.123288,9,0.876712,64,0.444444,4,0.357143,0.555556,0.434783,0.359101,0.851598,0.37107,0.390244,0.176022,0.823978,0.609756,0.448991,0.390244,0.391413,0.22293,0.683628,0.420437,0.377585,0.390244,0.005,0.001,0.046875,0,46.875,0,28000,340263,41283,96.341463,78.536585,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,6,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,19,63,0,23.170732,76.829268,0,0.023071,0.290077,0.432035,96.422781,111.462251,175.167642,239.333444,-64.165802,2.136191,2.918701,-0.78251,29.875986,0.364341,17.055654,0.555556,5,0.315068,23,0.684932,50,0.444444,4,0.178571,0.555556,0.27027,0.158525,0.707763,0.302769,0.231707,0.22181,0.77819,0.768293,0.236192,0.231707,0.21502,-0.003916,0.597606,0.340055,0.246392,0.231707,0.004,0,0,0,0,0,28656,340263,41283,80.487805,60.243902,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,7,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,30,52,0,36.585366,63.414634,0,0.173964,0.285781,0.421975,94.994573,108.86689,175.167642,253.030615,-77.862973,2.136191,3.085739,-0.949548,28.712143,0.350148,16.391237,0.444444,4,0.205479,15,0.794521,58,0.555556,5,0.210526,0.444444,0.285714,0.177039,0.774734,0.268015,0.365854,0.187835,0.812165,0.634146,0.411733,0.365854,0.365321,0.187814,0.609462,0.348424,0.320496,0.365854,0.005,0.001,0,0,0,0,28754,340263,41283,73.170732,60.487805,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,8,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,21,61,0,25.609756,74.390244,0,0.016129,0.29361,0.443745,97.596917,114.483463,175.167642,318.428583,-143.260941,2.136191,3.883275,-1.747085,24.029725,0.293045,13.71813,0.222222,2,0.246575,18,0.753425,55,0.777778,7,0.1,0.222222,0.137931,-0.017727,0.621766,0.180514,0.256098,0.243751,0.756249,0.743902,0.282529,0.256098,0.256076,0.020542,0.573575,0.319271,0.235616,0.256098,0.005,0,0.015625,0,15.625,0,29178,340263,41283,69.512195,56.341463,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,9,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,28,54,0,34.146341,65.853659,0,0.16184,0.284986,0.429724,94.699653,110.825353,175.521693,253.91874,-78.397047,2.140508,3.09657,-0.956062,33.078158,0.403392,18.845624,0.625,5,0.256757,19,0.743243,55,0.375,3,0.208333,0.625,0.3125,0.240146,0.748311,0.410424,0.341463,0.183035,0.816965,0.658537,0.463279,0.341463,0.339947,0.183264,0.604183,0.373012,0.343188,0.341463,0.005,0.002,0,0,0,0,28652,340263,41283,76.829268,60.731707,?,?,?,?,?,?,?
