@relation InstanceResultListener

@attribute Key_Dataset {'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47','train_processed_std_bal_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47','train_std_bal_main_finantial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47','train_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47'}
@attribute Key_Run {1,2,3,4,5}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {-D,-K}
@attribute Key_Scheme_version_ID {5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data

'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',1,1,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,38,65,0,36.893204,63.106796,0,0.185919,0.264784,0.423014,87.709562,108.983215,219.972346,330.069758,-110.097412,2.135654,3.204561,-1.068907,51.898291,0.503867,23.593098,0.727273,8,0.206522,19,0.793478,73,0.272727,3,0.296296,0.727273,0.421053,0.365706,0.785079,0.338249,0.368932,0.182849,0.817151,0.631068,0.395911,0.368932,0.349758,0.183205,0.639897,0.392956,0.333087,0.368932,0,0,0,0,0,0,28360,394690,47786,77.669903,55.145631,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',1,2,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,33,70,0,32.038835,67.961165,0,0.110206,0.279891,0.440945,92.552692,113.380928,221.182383,426.579388,-205.397005,2.147402,4.141547,-1.994146,39.653417,0.384985,17.927927,0.333333,4,0.241758,22,0.758242,69,0.666667,8,0.153846,0.333333,0.210526,0.067633,0.60348,0.197194,0.320388,0.211456,0.788544,0.679612,0.337509,0.320388,0.313744,0.11296,0.615977,0.362026,0.282261,0.320388,0.016,0,0,0.015625,0,15.625,28853,394690,47786,75.728155,53.592233,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',1,3,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,32,71,0,31.067961,68.932039,0,0.107844,0.268984,0.427462,88.946087,109.914106,221.182383,355.01346,-133.831077,2.147402,3.446733,-1.299331,50.61956,0.491452,22.885892,0.75,9,0.21978,20,0.78022,71,0.25,3,0.310345,0.75,0.439024,0.378227,0.837912,0.483975,0.31068,0.210006,0.789994,0.68932,0.301404,0.31068,0.285229,0.085712,0.646083,0.392577,0.276352,0.31068,0.01,0,0,0,0,0,28261,394690,47786,79.61165,56.504854,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',1,4,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,29,74,0,28.15534,71.84466,0,0.067303,0.284308,0.453699,94.013211,116.66041,221.182383,441.410216,-220.227833,2.147402,4.285536,-2.138134,39.416104,0.382681,17.820635,0.583333,7,0.208791,19,0.791209,72,0.416667,5,0.269231,0.583333,0.368421,0.276618,0.788462,0.374034,0.281553,0.224906,0.775094,0.718447,0.2514,0.281553,0.25302,0.036526,0.593671,0.341243,0.266754,0.281553,0,0,0.015625,0,15.625,0,29015,394690,47786,69.902913,50.485437,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',1,5,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,31,72,0,30.097087,69.902913,0,0.089279,0.287936,0.458613,95.314017,118.064902,220.686919,488.318992,-267.632073,2.142591,4.740961,-2.59837,32.201838,0.312639,14.591639,0.333333,4,0.21978,20,0.78022,71,0.666667,8,0.166667,0.333333,0.222222,0.086177,0.695971,0.361405,0.300971,0.206768,0.793232,0.699029,0.30724,0.300971,0.294993,0.090415,0.581543,0.34897,0.237092,0.300971,0.015,0,0,0,0,0,29296,394690,47786,63.106796,50.291262,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',1,6,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,32,71,0,31.067961,68.932039,0,0.08963,0.278177,0.447688,92.029085,115.175334,220.942715,413.615663,-192.672949,2.145075,4.015686,-1.870611,43.79476,0.425192,19.821772,0.583333,7,0.186813,17,0.813187,74,0.416667,5,0.291667,0.583333,0.388889,0.300924,0.748626,0.332534,0.31068,0.232374,0.767626,0.68932,0.28789,0.31068,0.269344,0.06756,0.583195,0.334928,0.291198,0.31068,0,0,0.015625,0,15.625,0,28436,394690,47786,69.902913,50.873786,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',1,7,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,33,70,0,32.038835,67.961165,0,0.130802,0.284691,0.458808,94.18412,118.036254,220.942715,515.439358,-294.496643,2.145075,5.004266,-2.859191,36.058011,0.350078,16.320073,0.583333,7,0.296703,27,0.703297,64,0.416667,5,0.205882,0.583333,0.304348,0.195555,0.724359,0.322523,0.320388,0.185842,0.814158,0.679612,0.372912,0.320388,0.314663,0.141815,0.592721,0.332102,0.281159,0.320388,0.016,0,0,0,0,0,28757,394690,47786,66.019417,48.737864,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',1,8,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,39,64,0,37.864078,62.135922,0,0.192256,0.267932,0.423939,88.639786,109.065682,220.942715,364.457395,-143.514681,2.145075,3.538421,-1.393346,50.352913,0.488863,22.790031,0.5,6,0.21978,20,0.78022,71,0.5,6,0.230769,0.5,0.315789,0.206956,0.737179,0.281905,0.378641,0.186635,0.813365,0.621359,0.379089,0.378641,0.361084,0.185361,0.643847,0.41001,0.370594,0.378641,0.01,0,0.015625,0,15.625,0,28334,394690,47786,74.757282,54.368932,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',1,9,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,27,76,0,26.213592,73.786408,0,0.043616,0.299521,0.4668,99.090326,120.092354,220.942715,536.170666,-315.227951,2.145075,5.20554,-3.060466,24.115221,0.234128,10.914694,0.416667,5,0.230769,21,0.769231,70,0.583333,7,0.192308,0.416667,0.263158,0.137294,0.64652,0.229665,0.262136,0.219393,0.780607,0.737864,0.315395,0.262136,0.260121,0.055708,0.541693,0.295476,0.215024,0.262136,0.006,0.005,0,0,0,0,28781,394690,47786,66.019417,51.650485,?,?,?
