@relation InstanceResultListener

@attribute Key_Dataset {'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2'}
@attribute Key_Run {1,2,3}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {-D,-K}
@attribute Key_Scheme_version_ID {5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric

@data

'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',1,1,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,979,109,26,83,0,23.853211,76.146789,0,0.044163,0.292924,0.461583,95.739481,117.941779,238.541847,503.121687,-264.57984,2.188457,4.615795,-2.427338,39.909638,0.366143,16.730665,0.571429,8,0.336842,32,0.663158,63,0.428571,6,0.2,0.571429,0.296296,0.162845,0.642105,0.285831,0.238532,0.199771,0.800229,0.761468,0.283801,0.238532,0.222908,0.040438,0.60124,0.362373,0.21918,0.238532,0.01,0,0.015625,0,15.625,0,27254,400406,48056,66.972477,51.376147,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',1,2,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,979,109,35,74,0,32.110092,67.889908,0,0.139718,0.276489,0.434372,90.367909,110.988895,238.541847,397.949203,-159.407355,2.188457,3.65091,-1.462453,51.565202,0.473075,21.616837,0.642857,9,0.231579,22,0.768421,73,0.357143,5,0.290323,0.642857,0.4,0.305024,0.790977,0.367935,0.321101,0.181952,0.818048,0.678899,0.362737,0.321101,0.317113,0.143193,0.62701,0.375185,0.298617,0.321101,0.006,0,0,0,0,0,27362,400406,48056,67.889908,49.908257,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',1,3,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,979,109,29,80,0,26.605505,73.394495,0,0.092706,0.293131,0.464693,95.807074,118.73629,238.541847,441.043173,-202.501326,2.188457,4.046268,-1.85781,42.489389,0.389811,17.812132,0.714286,10,0.421053,40,0.578947,55,0.285714,4,0.2,0.714286,0.3125,0.196892,0.742481,0.298246,0.266055,0.171264,0.828736,0.733945,0.29442,0.266055,0.244646,0.085848,0.606408,0.313911,0.221019,0.266055,0,0,0,0,0,0,27358,400406,48056,62.385321,50.458716,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',1,4,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,979,109,34,75,0,31.192661,68.807339,0,0.133362,0.276055,0.43457,90.447455,111.346291,236.588645,402.998721,-166.410075,2.170538,3.697236,-1.526698,49.695794,0.455925,21.005147,0.714286,10,0.263158,25,0.736842,70,0.285714,4,0.285714,0.714286,0.408163,0.323278,0.812782,0.391912,0.311927,0.180519,0.819481,0.688073,0.319054,0.311927,0.288055,0.116548,0.617775,0.349554,0.278143,0.311927,0,0,0.015625,0,15.625,0,27262,400406,48056,72.477064,51.743119,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',1,5,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,979,109,37,72,0,33.944954,66.055046,0,0.171365,0.281371,0.438417,92.189347,112.331927,236.588645,423.273285,-186.684639,2.170538,3.883241,-1.712703,46.321349,0.424967,19.578856,0.5,7,0.252632,24,0.747368,71,0.5,7,0.225806,0.5,0.311111,0.18346,0.737594,0.370201,0.33945,0.165848,0.834152,0.66055,0.381727,0.33945,0.332139,0.17277,0.622011,0.365534,0.3298,0.33945,0.016,0,0,0,0,0,27347,400406,48056,74.311927,55.045872,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',1,6,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,979,109,39,70,0,35.779817,64.220183,0,0.171463,0.2606,0.405629,85.383749,103.930834,236.588645,317.963753,-81.375108,2.170538,2.917099,-0.746561,61.863938,0.567559,26.148313,0.642857,9,0.210526,20,0.789474,75,0.357143,5,0.310345,0.642857,0.418605,0.327339,0.795113,0.479942,0.357798,0.191165,0.808835,0.642202,0.345463,0.357798,0.337959,0.152501,0.680528,0.425451,0.324339,0.357798,0.01,0,0.015625,0,15.625,0,27358,400406,48056,80.733945,57.614679,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',1,7,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,979,109,30,79,0,27.522936,72.477064,0,0.096527,0.298946,0.473707,97.947658,121.374015,236.588645,562.095778,-325.507133,2.170538,5.156842,-2.986304,34.333912,0.31499,14.512071,0.428571,6,0.4,38,0.6,57,0.571429,8,0.136364,0.428571,0.206897,0.019484,0.600752,0.187226,0.275229,0.174196,0.825804,0.724771,0.348144,0.275229,0.276353,0.113028,0.574222,0.335123,0.270361,0.275229,0.006,0,0,0.015625,0,15.625,27364,400406,48056,60.550459,48.807339,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',1,8,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,979,109,41,68,0,37.614679,62.385321,0,0.215744,0.263872,0.422934,86.285988,108.125586,238.311413,365.898901,-127.587488,2.186343,3.356871,-1.170527,62.900151,0.577066,26.394099,0.857143,12,0.284211,27,0.715789,68,0.142857,2,0.307692,0.857143,0.45283,0.399897,0.830075,0.359395,0.376147,0.158556,0.841444,0.623853,0.421688,0.376147,0.362394,0.217731,0.669242,0.398872,0.351119,0.376147,0,0.015,0,0,0,0,27252,400406,48056,74.311927,51.926606,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',1,9,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,980,108,34,74,0,31.481481,68.518519,0,0.134409,0.281336,0.443397,92.013096,113.379305,236.121378,426.980636,-190.859258,2.186309,3.953524,-1.767215,48.137884,0.445721,20.386923,0.714286,10,0.265957,25,0.734043,69,0.285714,4,0.285714,0.714286,0.408163,0.321757,0.74772,0.391316,0.314815,0.187662,0.812338,0.685185,0.348782,0.314815,0.299883,0.124684,0.600386,0.352274,0.321505,0.314815,0.005,0,0.03125,0,31.25,0,27341,400811,47651,69.444444,52.037037,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
