@relation InstanceResultListener

@attribute Key_Dataset {'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48','train_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48','train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48'}
@attribute Key_Run {1,2,3}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.trees.RandomForest,weka.classifiers.meta.AttributeSelectedClassifier,weka.classifiers.meta.FilteredClassifier}
@attribute Key_Scheme_options {'-C 0.1 -M 10','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-E \"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.trees.J48 -F 5 -T 0.01 -R 1 -E DEFAULT -- -C 0.25 -M 2\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.instance.SMOTE -C 2 -K 5 -P 10.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 4 -K 5 -P 30.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 1 -K 5 -P 100.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 5 -K 5 -P 210.0 -S 1\\\" -S 1\" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-E \"weka.attributeSelection.InfoGainAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1\" -W weka.classifiers.meta.FilteredClassifier -- -F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.instance.SMOTE -C 5 -K 5 -P 220.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 1 -K 5 -P 100.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 2 -K 5 -P 15.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 4 -K 5 -P 30.0 -S 1\\\" -S 1\" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-E \"weka.attributeSelection.CfsSubsetEval -P 1 -E 1\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.meta.FilteredClassifier -- -F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.instance.SMOTE -C 5 -K 5 -P 220.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 1 -K 5 -P 100.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 2 -K 5 -P 15.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 4 -K 5 -P 30.0 -S 1\\\" -S 1\" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2','-E \"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.trees.J48 -F 5 -T 0.01 -R 1 -E DEFAULT -- -C 0.25 -M 2\" -S \"weka.attributeSelection.BestFirst -D 1 -N 5\" -W weka.classifiers.meta.FilteredClassifier -- -F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.instance.SMOTE -C 5 -K 5 -P 220.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 1 -K 5 -P 100.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 2 -K 5 -P 15.0 -S 1\\\" -F \\\"weka.filters.supervised.instance.SMOTE -C 4 -K 5 -P 30.0 -S 1\\\" -S 1\" -S 1 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-217733168393644444,1116839470751428698,-1151805453487947577,-4523450618538717400}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 58\nSize of the tree: 106\n','Number of leaves: 60\nSize of the tree: 110\n','Number of leaves: 89\nSize of the tree: 150\n','Number of leaves: 65\nSize of the tree: 111\n','Number of leaves: 74\nSize of the tree: 129\n','Number of leaves: 73\nSize of the tree: 127\n','Number of leaves: 61\nSize of the tree: 103\n','Number of leaves: 52\nSize of the tree: 94\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 83\nSize of the tree: 138\n','Number of leaves: 88\nSize of the tree: 148\n','Number of leaves: 72\nSize of the tree: 125\n','Number of leaves: 65\nSize of the tree: 120\n','Number of leaves: 62\nSize of the tree: 114\n','Number of leaves: 98\nSize of the tree: 168\n','Number of leaves: 91\nSize of the tree: 154\n','Number of leaves: 97\nSize of the tree: 157\n','Number of leaves: 51\nSize of the tree: 92\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 44\nSize of the tree: 78\n','Number of leaves: 59\nSize of the tree: 108\n','Number of leaves: 45\nSize of the tree: 80\n','Number of leaves: 86\nSize of the tree: 144\n','Number of leaves: 67\nSize of the tree: 115\n','Number of leaves: 92\nSize of the tree: 156\n','Number of leaves: 57\nSize of the tree: 104\n','Number of leaves: 63\nSize of the tree: 116\n','Number of leaves: 70\nSize of the tree: 121\n','Number of leaves: 75\nSize of the tree: 131\n','Number of leaves: 48\nSize of the tree: 86\n','Number of leaves: 64\nSize of the tree: 109\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 77\nSize of the tree: 135\n','Number of leaves: 84\nSize of the tree: 149\n','Number of leaves: 50\nSize of the tree: 90\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 71\nSize of the tree: 123\n','Number of leaves: 82\nSize of the tree: 145\n','Number of leaves: 56\nSize of the tree: 93\n','Number of leaves: 62\nSize of the tree: 105\n','Number of leaves: 71\nSize of the tree: 132\n','Number of leaves: 50\nSize of the tree: 81\n','Number of leaves: 69\nSize of the tree: 119\n','Number of leaves: 77\nSize of the tree: 126\n','Number of leaves: 88\nSize of the tree: 139\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 55\nSize of the tree: 91\n','Number of leaves: 80\nSize of the tree: 132\n','Number of leaves: 82\nSize of the tree: 136\n','Number of leaves: 39\nSize of the tree: 68\n','Number of leaves: 49\nSize of the tree: 88\n','Number of leaves: 27\nSize of the tree: 53\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureNumAttributesSelected numeric
@attribute measureSelectionTime numeric
@attribute measureTime numeric

@data

'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,1,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1722,1348,150,49,101,0,32.666667,67.333333,0,0.096547,0.285846,0.399601,93.024146,101.988274,329.576312,11021.449625,-10691.873313,2.197175,73.476331,-71.279155,53.221166,0.354808,16.148359,0.15,3,0.084615,11,0.915385,119,0.85,17,0.214286,0.15,0.176471,0.076406,0.773077,0.309079,0.326667,0.234671,0.765329,0.673333,0.322702,0.326667,0.314378,0.100378,0.618475,0.329379,0.273335,0.326667,0.031,0,0,0,0,0,31495,561071,66297,91.333333,76,'Number of leaves: 58\nSize of the tree: 106\n',106,58,58,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,2,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1722,1348,150,39,111,0,26,74,0,0.028701,0.293377,0.414995,95.475019,105.917212,329.576312,12116.087392,-11786.51108,2.197175,80.773916,-78.576741,47.451641,0.316344,14.39777,0.35,7,0.2,26,0.8,104,0.65,13,0.212121,0.35,0.264151,0.123091,0.648077,0.206304,0.26,0.235341,0.764659,0.74,0.239792,0.26,0.246306,0.019171,0.582674,0.282534,0.213973,0.26,0.048,0,0.046875,0,46.875,0,32463,561071,66297,86.666667,74.533333,'Number of leaves: 60\nSize of the tree: 110\n',110,60,60,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,3,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1722,1348,150,52,98,0,34.666667,65.333333,0,0.137223,0.28035,0.410782,91.235644,104.841854,329.576312,27087.944953,-26758.368641,2.197175,180.5863,-178.389124,58.479941,0.389866,17.743976,0.4,8,0.076923,10,0.923077,120,0.6,12,0.444444,0.4,0.421053,0.337963,0.652885,0.341181,0.346667,0.215414,0.784586,0.653333,0.340729,0.346667,0.33932,0.133799,0.583538,0.346021,0.327126,0.346667,0.057,0,0.0625,0,62.5,0,42143,561071,66297,80.666667,66,'Number of leaves: 89\nSize of the tree: 150\n',150,89,89,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,4,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1722,1348,150,52,98,0,34.666667,65.333333,0,0.154103,0.28236,0.40015,91.889656,102.128466,329.576312,14232.203638,-13902.627326,2.197175,94.881358,-92.684182,60.678283,0.404522,18.410996,0.5,10,0.184615,24,0.815385,106,0.5,10,0.294118,0.5,0.37037,0.25607,0.735,0.265364,0.346667,0.192486,0.807514,0.653333,0.349278,0.346667,0.336898,0.15173,0.62493,0.334103,0.304519,0.346667,0.047,0,0.046875,0,46.875,0,32705,561071,66297,88.666667,72.933333,'Number of leaves: 65\nSize of the tree: 111\n',111,65,65,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,5,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1722,1348,150,47,103,0,31.333333,68.666667,0,0.105748,0.287158,0.411929,93.451085,105.134601,329.576312,18524.105157,-18194.528845,2.197175,123.494034,-121.296859,60.3818,0.402545,18.321038,0.45,9,0.138462,18,0.861538,112,0.55,11,0.333333,0.45,0.382979,0.275654,0.641346,0.268076,0.313333,0.21784,0.78216,0.686667,0.307905,0.313333,0.306256,0.092383,0.603145,0.29999,0.320484,0.313333,0.048,0,0.0625,0,62.5,0,37061,561071,66297,86,71.6,'Number of leaves: 74\nSize of the tree: 129\n',129,74,74,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,6,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1722,1348,150,47,103,0,31.333333,68.666667,0,0.105592,0.289738,0.412134,94.168031,105.033191,330.743082,19591.577955,-19260.834873,2.204954,130.61052,-128.405566,48.373721,0.322491,14.62577,0.380952,8,0.162791,21,0.837209,108,0.619048,13,0.275862,0.380952,0.32,0.191686,0.636951,0.264073,0.313333,0.211369,0.788631,0.686667,0.32244,0.313333,0.307299,0.10441,0.588976,0.289525,0.284659,0.313333,0.062,0,0.03125,0,31.25,0,36577,561071,66297,88,73.066667,'Number of leaves: 73\nSize of the tree: 127\n',127,73,73,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,7,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1722,1348,150,42,108,0,28,72,0,0.070088,0.284529,0.41173,92.475245,104.930329,330.743082,21725.3162,-21394.573118,2.204954,144.835441,-142.630487,64.168383,0.427789,19.401277,0.428571,9,0.108527,14,0.891473,115,0.571429,12,0.391304,0.428571,0.409091,0.308211,0.831118,0.486223,0.28,0.214405,0.785595,0.72,0.283806,0.28,0.28079,0.065012,0.623462,0.342334,0.268153,0.28,0.046,0,0.03125,0,31.25,0,37061,561071,66297,84.666667,69.466667,'Number of leaves: 74\nSize of the tree: 129\n',129,74,74,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,8,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1722,1348,150,52,98,0,34.666667,65.333333,0,0.134683,0.285176,0.402591,92.65379,102.56199,331.012316,9953.872806,-9622.86049,2.206749,66.359152,-64.152403,54.35833,0.362389,16.421845,0.190476,4,0.069767,9,0.930233,120,0.809524,17,0.307692,0.190476,0.235294,0.148871,0.730712,0.284582,0.346667,0.215434,0.784566,0.653333,0.342544,0.346667,0.337423,0.136555,0.626465,0.331145,0.315825,0.346667,0.051,0,0.078125,0,78.125,0,30769,561071,66297,90.666667,75.466667,'Number of leaves: 61\nSize of the tree: 103\n',103,61,61,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,9,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1722,1349,149,46,103,0,30.872483,69.127517,0,0.083925,0.285561,0.402476,92.847615,102.617791,328.127647,13158.221063,-12830.093417,2.202199,88.310208,-86.10801,57.232565,0.384111,17.442165,0.35,7,0.162791,21,0.837209,108,0.65,13,0.25,0.35,0.291667,0.163367,0.725388,0.236834,0.308725,0.229842,0.770158,0.691275,0.327235,0.308725,0.296424,0.088611,0.62782,0.327089,0.272026,0.308725,0.069,0,0.046875,0,46.875,0,32705,561484,65884,91.275168,73.959732,'Number of leaves: 65\nSize of the tree: 111\n',111,65,65,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,10,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1722,1349,149,39,110,0,26.174497,73.825503,0,0.019502,0.2956,0.416118,96.17847,106.179255,327.623409,17471.102351,-17143.478942,2.198815,117.25572,-115.056906,42.618941,0.286033,13.008515,0.25,5,0.062016,8,0.937984,121,0.75,15,0.384615,0.25,0.30303,0.227086,0.749031,0.301051,0.261745,0.249085,0.750915,0.738255,0.255962,0.261745,0.25417,0.016522,0.541022,0.278281,0.241324,0.261745,0.047,0,0.015625,0,15.625,0,28591,561484,65884,84.563758,71.275168,'Number of leaves: 52\nSize of the tree: 94\n',94,52,52,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,1,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.1722,1348,150,54,96,0,36,64,0,0.147172,0.288053,0.402458,93.588782,102.528124,331.012316,17453.90857,-17122.896253,2.206749,116.35939,-114.152642,58.082677,0.387218,17.546983,0.47619,10,0.093023,12,0.906977,117,0.52381,11,0.454545,0.47619,0.465116,0.375817,0.761351,0.369002,0.36,0.2198,0.7802,0.64,0.355872,0.36,0.338093,0.146947,0.60279,0.327877,0.312358,0.36,0.063,0,0.015625,0,15.625,0,25445,561071,66297,85.333333,72.133333,'Number of leaves: 41\nSize of the tree: 81\n',81,41,41,?,?,?,?
