@relation train_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute numberOfAnalystOpinions numeric
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute 52WeekChange numeric
@attribute fiftyDayAverageChangePercent numeric
@attribute twoHundredDayAverageChangePercent numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute revenueGrowth numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute _PER numeric
@attribute sector numeric
@attribute state numeric
@attribute In_SP500 numeric
@attribute In_NASDAQ numeric
@attribute is_Insolvent numeric
@attribute has_benefits numeric
@attribute target {0,1,2,3,4}

@data
-0.195179,-0.254214,-0.145831,-0.442846,-0.429818,0.951859,-0.673372,0.005711,0.038536,-0.15473,-0.163686,-0.227129,-0.038919,-0.050363,0.174586,-0.05612,0.052552,0.049821,-0.082312,-0.085636,-0.196243,-0.210394,-0.1597,-0.191777,-0.161034,-0.174832,-0.280767,-0.219644,-0.225488,-0.365048,-0.277743,-0.271348,-0.22679,-0.143036,-0.416581,-0.095886,-0.172165,-0.211096,0.077081,0.532585,-0.699331,1.403384,2.307492,-0.304192,-0.115922,-0.142726,0.159294,6,19,0,0,0,0,2
-0.679345,-0.306762,-0.040084,0.738825,-0.442319,-1.464662,-0.744199,0.237353,-0.347993,-0.182413,-0.200913,-0.366079,-0.039218,-0.341457,-0.385367,-0.13839,0.052595,-0.132638,-0.643034,-0.068826,-0.248688,-0.140041,-0.259057,-0.24778,-0.22512,-0.570513,-0.284636,-0.179418,-0.355542,-0.239036,0.089961,-0.105506,-0.232031,-0.17293,-0.642815,-0.183513,-0.320148,-0.292562,-0.466536,-0.499669,-0.495045,-0.471926,-0.506429,0.599146,-0.20432,-0.272191,-0.202169,2,10,0,0,0,1,2
-0.437262,-0.274532,-0.107197,0.280196,-0.291845,0.146501,-0.631661,0.823271,-0.300542,-0.177362,-0.19185,-0.384967,-0.039139,-0.639692,0.517728,-0.050792,0.052522,-0.267483,-0.741391,-0.069036,-0.22909,-0.114615,-0.188938,-0.218594,-0.336665,-1.107939,-0.292737,-0.21601,-0.304081,-0.295918,-0.111119,0.22741,-0.223232,-0.183047,-0.642815,-0.183513,-0.29947,-0.272934,-0.194891,1.331047,1.313819,1.464314,-0.4113,1.743957,-0.164737,-0.274029,-0.202169,6,8,0,0,0,1,0
1.983566,0.378069,0.00403,0.865119,0.906635,-0.141155,0.75106,1.078077,-0.134505,0.246192,0.212994,3.429848,-0.029747,-0.175773,0.999507,-0.332378,0.05213,-0.699227,-0.390453,-0.026379,-0.237166,-0.312756,-0.17996,-0.276529,-0.199009,-0.226705,0.555964,0.11301,-0.149167,0.826761,0.63046,-0.39648,-0.176735,-0.106829,-0.642815,-0.183513,0.044794,0.063643,-0.086417,-0.624491,-0.053043,-0.635762,-0.493197,0.059066,-0.198068,0.427971,-0.202169,9,4,0,0,0,1,2
0.773152,0.303451,0.023866,-0.475609,-0.231107,-0.636954,-0.74349,-0.527065,-0.137575,0.363058,0.44212,-0.029553,-0.03844,0.144899,0.021579,0.130448,0.052946,0.566886,0.420484,-0.060631,0.406849,-0.026029,0.632964,0.795394,0.620453,0.296848,0.241959,-0.080762,1.244114,-0.392809,-0.401683,0.014461,0.563445,0.999884,0.151977,-0.089803,0.283139,0.299604,-0.279211,-0.947442,-0.729045,-0.951247,-0.545768,0.141178,0.83644,0.218851,-0.086624,5,35,1,0,0,0,3
-1.405593,-0.13443,-0.16119,-0.672371,-0.094692,-0.308548,-0.116249,-0.303599,-0.391662,-0.176429,-0.197086,-0.341863,-0.03929,-0.035978,0.564001,-0.173782,0.052646,0.043257,-0.017862,-0.042559,-0.216531,0.224749,-0.162663,-0.239206,-0.159443,-0.018008,-0.255379,0.000158,-0.373031,-0.058591,-0.231716,0.322825,-0.226521,-0.164633,0.612399,-0.037468,-0.33873,-0.311319,-0.503024,-0.723556,-0.153329,-0.741375,-0.398157,0.594836,-0.170395,-0.289915,-0.088524,5,45,0,0,0,0,4
-1.16351,-0.311037,-0.216851,-0.652604,-0.253999,-0.594037,-0.603323,0.270055,-0.39904,-0.184836,-0.205689,-0.346317,-0.039322,-0.037624,-0.60549,-0.109215,0.052566,0.027625,0.009459,-0.073659,-0.256667,-0.088816,-0.273046,-0.24897,-0.16948,-0.127182,-0.302259,-0.239773,-0.393737,-0.29864,-0.409397,-0.199974,-0.233273,-0.197159,-0.144766,-0.140041,-0.349068,-0.328377,-0.511923,-0.820639,-0.019614,-0.643886,1.973376,-1.054358,-0.216436,-0.284418,-0.119021,7,44,0,0,0,0,1
-0.679345,-0.317468,-0.107867,-0.331927,-0.509137,0.099026,-0.622454,-1.430469,-0.304846,-0.183545,-0.200891,-0.349422,-0.039358,-0.242334,-0.407182,-0.172794,0.052477,-0.197435,-0.983553,-0.10812,-0.213879,0.084131,-0.228281,-0.23783,-0.233911,-0.676068,-0.293294,-0.206318,-0.34356,-0.297551,-0.434339,-0.211717,-0.203532,-0.133325,-0.642815,-0.183513,-0.324828,-0.297232,-0.42125,0.061037,-0.747617,0.075096,-0.484167,0.870844,-0.218035,-0.253295,-0.202169,6,45,0,0,0,1,3
-0.195179,-0.317615,0.467777,0.947484,-0.296518,-0.722968,-0.968104,-0.510714,0.730437,-0.152227,-0.165092,-0.266685,-0.037385,-3.714727,-4.32971,-4.341402,0.044657,-2.989925,-1.274445,-0.023227,-0.26213,-0.325546,-0.367726,-0.630367,-0.766638,-0.887782,0.310204,0.045727,-0.205103,-0.006607,-0.028065,-0.33224,-0.615508,-0.73063,-0.642815,-0.183513,0.037292,-0.179607,1.308397,1.368692,-0.446759,5.252847,-0.461815,-0.842062,-0.171607,-0.037202,-0.202169,2,4,0,0,0,1,4
0.65211,0.187832,-0.061626,-0.682466,0.081082,-0.099107,0.20604,-0.749169,0.076946,1.066369,1.258489,-0.208921,-0.038748,0.023692,-0.704689,-0.047083,0.052752,0.06772,0.044997,-0.065043,1.904633,0.026175,1.042357,1.667585,1.010288,0.068246,0.73419,-0.128971,2.963544,-0.369675,-0.431768,0.2501,0.685486,0.511663,0.064295,-0.054829,1.425648,1.271601,0.103445,-0.965274,-0.443044,-0.963433,-0.544964,-0.359117,1.999571,0.399717,-0.025724,7,48,1,0,0,0,2
