recommendationClass,recommendationKey,recommendationMean,numberOfAnalystOpinions,shortName,symbol,Ticker,sector,state,fullExchangeName,In_SP500,In_NASDAQ,currentPrice,allTimeHigh,allTimeLow,beta,averageVolume,marketCap,enterpriseValue,priceToBook,enterpriseToRevenue,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,totalRevenue,revenuePerShare,grossProfits,ebitda,netIncomeToCommon,trailingEps,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,bookValue,operatingCashflow,freeCashflow,trailingAnnualDividendYield,payoutRatio,sharesOutstanding,floatShares,sharesShort,sharesPercentSharesOut,shortRatio,shortPercentOfFloat,heldPercentInsiders,heldPercentInstitutions,fullTimeEmployees,is_Insolvent,_debtToEquity,has_benefits,_PER,Total Assets_2024-12-31 00:00:00,Total Liabilities Net Minority Interest_2024-12-31 00:00:00,Stockholders Equity_2024-12-31 00:00:00,Total Debt_2024-12-31 00:00:00,Working Capital_2024-12-31 00:00:00,Total Assets_2023-12-31 00:00:00,Total Liabilities Net Minority Interest_2023-12-31 00:00:00,Stockholders Equity_2023-12-31 00:00:00,Total Debt_2023-12-31 00:00:00,Working Capital_2023-12-31 00:00:00,Total Assets_2022-12-31 00:00:00,Total Liabilities Net Minority Interest_2022-12-31 00:00:00,Stockholders Equity_2022-12-31 00:00:00,Total Debt_2022-12-31 00:00:00,Working Capital_2022-12-31 00:00:00,Total Assets_2021-12-31 00:00:00,Total Liabilities Net Minority Interest_2021-12-31 00:00:00,Stockholders Equity_2021-12-31 00:00:00,Total Debt_2021-12-31 00:00:00,Working Capital_2021-12-31 00:00:00,Operating Cash Flow_2024-12-31 00:00:00,Capital Expenditure_2024-12-31 00:00:00,Operating Cash Flow_2023-12-31 00:00:00,Capital Expenditure_2023-12-31 00:00:00,Operating Cash Flow_2022-12-31 00:00:00,Capital Expenditure_2022-12-31 00:00:00,Operating Cash Flow_2021-12-31 00:00:00,Capital Expenditure_2021-12-31 00:00:00
0,Strong Buy,1.32,22.0,S&P Global Inc.,SPGI,SPGI,Financial Services,NY,NYSE,True,False,473.19,579.05,0.335938,1.189,1409834.0,144464904192.0,159203901440.0,4.326586,10.83,0.27286,0.69558,0.49388,0.4269,0.06261,0.11291,14700000256.0,47.689,10225000448.0,7260000256.0,4011000064.0,13.01,1847000064.0,6.05,12014999552.0,0.807,0.982,109.368,5583000064.0,4932874752.0,0.00792289,0.2875,305300000.0,304622234.0,3085150.0,0.0101,1.98,0.0101,0.00253,0.90519994,42350.0,0,109858455.41657524,0,36.37125288239815,60221000000.0,22713000000.0,33159000000.0,11933000000.0,-933000000.0,60589000000.0,22489000000.0,34200000000.0,12000000000.0,-982000000.0,61784000000.0,22040000000.0,36388000000.0,11533000000.0,-332000000.0,15026000000.0,9490000000.0,2032000000.0,4702000000.0,4995000000.0,5689000000.0,-124000000.0,3710000000.0,-143000000.0,2603000000.0,-89000000.0,3598000000.0,-35000000.0
2,Hold,2.25,17.0,General Dynamics Corporation,GD,GD,Industrials,VA,NYSE,True,False,331.15,347.37,0.3375,0.484,1044250.0,89077145600.0,98039226368.0,3.7719836,1.95,0.08128,0.15402001,0.120799996,0.1016,0.05752,0.17915002,50273001472.0,185.34,7743000064.0,6072999936.0,4086000128.0,14.9,1523000064.0,5.67,10618999808.0,0.737,1.364,87.792,5016999936.0,3491124992.0,0.017665386,0.39220002,268993342.0,251745725.0,2689182.0,0.01,2.39,0.0112,0.00508,0.8669,117000.0,0,120956349.18899216,0,22.224832214765097,55880000000.0,33817000000.0,22063000000.0,10676000000.0,6562000000.0,54810000000.0,33511000000.0,21299000000.0,11083000000.0,7183000000.0,51585000000.0,33017000000.0,18568000000.0,12114000000.0,5722000000.0,50073000000.0,32432000000.0,17641000000.0,13175000000.0,6009000000.0,4112000000.0,-916000000.0,4710000000.0,-904000000.0,4579000000.0,-1114000000.0,4271000000.0,-887000000.0
1,Buy,1.45455,11.0,"Life Time Group Holdings, Inc.",LTH,LTH,Consumer Cyclical,MN,NYSE,False,False,25.7,34.99,8.75,1.702,2283057.0,5653899776.0,9564423168.0,1.9696505,3.387,0.080299996,0.47241002,0.25052,0.15883,0.03604,0.0866,2824026880.0,13.425,1334104064.0,707478016.0,226762000.0,1.02,180280000.0,0.819,4090802944.0,0.411,0.647,13.048,693841024.0,36997000.0,0.0,0.0,219996102.0,161164744.0,7582910.0,0.0345,3.66,0.0573,0.12613,0.80370003,49000.0,0,313519538.93316984,0,25.19607843137255,7152537000.0,4542187000.0,2610350000.0,3987297000.0,-349128000.0,7032141000.0,4778029000.0,2254112000.0,4260502000.0,-382674000.0,6625363000.0,4501102000.0,2124261000.0,4035238000.0,-326370000.0,6256675000.0,4165283000.0,2091392000.0,3756818000.0,-274728000.0,575117000.0,-524535000.0,463004000.0,-697993000.0,200969000.0,-591178000.0,-20029000.0,-328909000.0
2,Hold,2.0625,15.0,Ares Management Corporation,ARES,ARES,Financial Services,CA,NYSE,False,False,141.87,200.485,10.72,1.447,1672240.0,46349918208.0,49006465024.0,10.7249775,10.151,0.099429995,0.38009998,0.24499,0.19549999,0.02394,0.13430001,4827668992.0,23.218,1834992000.0,1182716032.0,369512992.0,1.76,1531905024.0,6.981,13471129600.0,0.469,0.541,13.228,4058841088.0,1484232192.0,0.029028602,2.3295,215934693.0,213506722.0,7276985.0,0.0332,4.64,0.0354,0.12295,0.83927,3776.0,0,1018379921.3788933,0,80.60795454545455,24884308000.0,18060118000.0,3543646000.0,13147967000.0,-85802000.0,24730500000.0,20256187000.0,1893399000.0,15755950000.0,-1020222000.0,22002839000.0,18204221000.0,1589239000.0,13334236000.0,-1222078000.0,21605164000.0,17790738000.0,1825227000.0,12494216000.0,-1467281000.0,2791154000.0,-91509000.0,-233261000.0,-67183000.0,-734112000.0,-35796000.0,-2596045000.0,-27226000.0
1,Buy,1.6,15.0,"Crown Holdings, Inc.",CCK,CCK,Consumer Cyclical,FL,NYSE,False,False,93.84,130.42,0.83,0.731,1280610.0,10920685568.0,17043852288.0,3.7343307,1.419,0.04637,0.22301,0.17106001,0.14036,0.068730004,0.22145,12012999680.0,102.325,2679000064.0,2055000064.0,557000000.0,4.75,936000000.0,8.136,6703000064.0,0.643,1.064,25.129,1312000000.0,989000000.0,0.011046134,0.2147,116375594.0,110880677.0,6047712.0,0.051999997,4.42,0.0691,0.00903,1.01959,23000.0,0,266743605.55533445,0,19.75578947368421,13848000000.0,10620000000.0,2756000000.0,6418000000.0,746000000.0,15034000000.0,12170000000.0,2410000000.0,7694000000.0,632000000.0,14301000000.0,12014000000.0,1849000000.0,7210000000.0,727000000.0,13858000000.0,11528000000.0,1912000000.0,6462000000.0,362000000.0,1192000000.0,-403000000.0,1453000000.0,-793000000.0,803000000.0,-839000000.0,905000000.0,-816000000.0
1,Buy,1.74074,24.0,CSX Corporation,CSX,CSX,Industrials,FL,NasdaqGS,True,True,36.6,40.12,0.335648,1.286,19793617.0,68154208256.0,87347855360.0,5.343846,6.185,0.20548001,0.46293,0.46293,0.35071,0.07007,0.22589001,14122999808.0,7.492,6537999872.0,6537999872.0,2902000128.0,1.54,618000000.0,0.332,19811000320.0,0.67,0.847,6.849,4615000064.0,922249984.0,0.014170602,0.3312,1862136956.0,1857847080.0,28569432.0,0.0153,1.84,0.0154,0.00247,0.80132,23200.0,0,2892539103.5187616,0,23.766233766233768,42764000000.0,30257000000.0,12502000000.0,18989000000.0,-456000000.0,42212000000.0,30227000000.0,11980000000.0,19024000000.0,136000000.0,41912000000.0,29287000000.0,12615000000.0,18535000000.0,1378000000.0,40531000000.0,27031000000.0,13490000000.0,16844000000.0,1640000000.0,5247000000.0,-2529000000.0,5514000000.0,-2257000000.0,5526000000.0,-2113000000.0,5099000000.0,-1791000000.0
3,Sell,2.42105,15.0,Public Service Enterprise Group,PEG,PEG,Utilities,NJ,NYSE,True,False,84.75,95.22,5.166667,0.538,2688268.0,42297008128.0,65544007680.0,2.5367415,5.887,0.17783001,0.35351002,0.37749,0.29697,0.03199,0.12186,11134000128.0,22.335,3936000000.0,4203000064.0,1980000000.0,3.96,186000000.0,0.373,23433000960.0,0.556,1.001,33.409,2516999936.0,-965750016.0,0.029167656,0.62119997,499079754.0,497817082.0,8745827.0,0.0175,3.39,0.0228,0.00115,0.76865,13047.0,0,701397855.6676345,0,21.401515151515152,54640000000.0,38526000000.0,13996000000.0,153000000.0,-2270000000.0,50741000000.0,35264000000.0,13396000000.0,173000000.0,-1684000000.0,48718000000.0,34989000000.0,13729000000.0,20439000000.0,-2377000000.0,48999000000.0,34561000000.0,14438000000.0,19629000000.0,-822000000.0,2133000000.0,-3380000000.0,3806000000.0,-3325000000.0,1503000000.0,-2888000000.0,1736000000.0,-2719000000.0
0,Strong Buy,0.0,1.0,CTS Corporation,CTS,CTS,Technology,IL,NYSE,False,False,40.03,86.25,2.11,0.84,203668.0,1179949696.0,1193496832.0,2.1499543,2.291,0.1232,0.37752998,0.22084999,0.17018999,0.06764,0.11964,520936992.0,17.346,196667008.0,115049000.0,64179000.0,2.11,100101000.0,3.396,113648000.0,1.874,2.605,18.619,105219000.0,66982876.0,0.0039014874,0.0758,29476637.0,28981135.0,454027.0,0.0154,2.58,0.0189,0.02152,0.97277,3549.0,0,6103872.388420431,0,18.971563981042657,766112000.0,235262000.0,530850000.0,117092000.0,146724000.0,741167000.0,214345000.0,526822000.0,96859000.0,222310000.0,748487000.0,242263000.0,506224000.0,109360000.0,213228000.0,664462000.0,200884000.0,463578000.0,74747000.0,175023000.0,99289000.0,-18644000.0,88811000.0,-14738000.0,121197000.0,-14333000.0,86141000.0,-15641000.0
3,Sell,2.5,4.0,"TriNet Group, Inc.",TNET,TNET,Industrials,CA,NYSE,False,False,61.21,134.67,11.1,0.784,440217.0,2974189568.0,3602189824.0,27.797457,0.721,0.02864,0.16783,0.047670003,0.04098,0.03518,1.38164,4992999936.0,100.869,838000000.0,238000000.0,143000000.0,2.93,407000000.0,8.376,1035000000.0,0.361,1.101,2.202,319000000.0,220124992.0,0.017369727,0.3584,48589933.0,29721490.0,2472341.0,0.0509,6.73,0.08180001,0.01556,0.96442,342200.0,0,470027247.95640326,0,20.890784982935152,4119000000.0,4050000000.0,69000000.0,1022000000.0,199000000.0,3693000000.0,3615000000.0,78000000.0,1137000000.0,115000000.0,3443000000.0,2668000000.0,775000000.0,552000000.0,338000000.0,3309000000.0,2428000000.0,881000000.0,547000000.0,700000000.0,279000000.0,-78000000.0,539000000.0,-75000000.0,497000000.0,-56000000.0,218000000.0,-40000000.0
2,Hold,2.0,4.0,"MYR Group, Inc.",MYRG,MYRG,Industrials,CO,NasdaqGS,False,False,208.02,220.02,5.0,1.188,220614.0,3229060096.0,3340025856.0,5.5364223,0.968,0.022130001,0.10541,0.051119998,0.043530002,0.0437,0.12556,3451782912.0,216.013,363844992.0,176458000.0,76375000.0,4.76,22956000.0,1.479,133922000.0,1.284,1.328,37.573,172891008.0,116724752.0,0.0,0.0,15522834.0,15225106.0,611824.0,0.0394,2.5,0.049000002,0.01811,1.01905,8500.0,0,3564314.8005216513,0,43.701680672268914,1574059000.0,973699000.0,600360000.0,119994000.0,265762000.0,1578746000.0,927544000.0,651202000.0,73606000.0,279042000.0,1398858000.0,838658000.0,560200000.0,74549000.0,223331000.0,1121092000.0,601990000.0,519102000.0,25498000.0,249791000.0,87115000.0,-75938000.0,71016000.0,-84736000.0,167484000.0,-77056000.0,137228000.0,-52361000.0
