recommendationClass,recommendationKey,recommendationMean,numberOfAnalystOpinions,shortName,symbol,Ticker,sector,state,fullExchangeName,In_SP500,In_NASDAQ,currentPrice,allTimeHigh,allTimeLow,52WeekChange,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,beta,averageVolume,marketCap,enterpriseValue,priceToBook,enterpriseToRevenue,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,revenueGrowth,totalRevenue,revenuePerShare,grossProfits,ebitda,netIncomeToCommon,trailingEps,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,bookValue,operatingCashflow,freeCashflow,trailingAnnualDividendYield,payoutRatio,sharesOutstanding,floatShares,sharesShort,sharesPercentSharesOut,shortRatio,shortPercentOfFloat,heldPercentInsiders,heldPercentInstitutions,fullTimeEmployees,is_Insolvent,_debtToEquity,has_benefits,_PER
0,Strong Buy,1.32,22.0,S&P Global Inc.,SPGI,SPGI,Financial Services,NY,NYSE,True,False,473.19,579.05,0.335938,-0.095567584,-0.09343557,-0.07774652,1.189,1409834.0,144464904192.0,159203901440.0,4.326586,10.83,0.27286,0.69558,0.49388,0.4269,0.06261,0.11291,0.058,14700000256.0,47.689,10225000448.0,7260000256.0,4011000064.0,13.01,1847000064.0,6.05,12014999552.0,0.807,0.982,109.368,5583000064.0,4932874752.0,0.00792289,0.2875,305300000.0,304622234.0,3085150.0,0.0101,1.98,0.0101,0.00253,0.90519994,42350.0,0,109858455.41657524,0,36.37125288239815
2,Hold,2.25,17.0,General Dynamics Corporation,GD,GD,Industrials,VA,NYSE,True,False,331.15,347.37,0.3375,0.0748831,0.01380908,0.15190396,0.484,1044250.0,89077145600.0,98039226368.0,3.7719836,1.95,0.08128,0.15402001,0.120799996,0.1016,0.05752,0.17915002,0.089,50273001472.0,185.34,7743000064.0,6072999936.0,4086000128.0,14.9,1523000064.0,5.67,10618999808.0,0.737,1.364,87.792,5016999936.0,3491124992.0,0.017665386,0.39220002,268993342.0,251745725.0,2689182.0,0.01,2.39,0.0112,0.00508,0.8669,117000.0,0,120956349.18899216,0,22.224832214765097
1,Buy,1.45455,11.0,"Life Time Group Holdings, Inc.",LTH,LTH,Consumer Cyclical,MN,NYSE,False,False,25.7,34.99,8.75,-0.0038759708,-0.06966974,-0.11206467,1.702,2283057.0,5653899776.0,9564423168.0,1.9696505,3.387,0.080299996,0.47241002,0.25052,0.15883,0.03604,0.0866,0.14,2824026880.0,13.425,1334104064.0,707478016.0,226762000.0,1.02,180280000.0,0.819,4090802944.0,0.411,0.647,13.048,693841024.0,36997000.0,0.0,0.0,219996102.0,161164744.0,7582910.0,0.0345,3.66,0.0573,0.12613,0.80370003,49000.0,0,313519538.93316984,0,25.19607843137255
2,Hold,2.0,30.0,Veeva Systems Inc.,VEEV,VEEV,Healthcare,CA,NYSE,False,False,283.73,343.96,17.11,0.27863908,0.0003892982,0.109859005,0.982,1325242.0,46505623552.0,40187355136.0,7.004123,13.539,0.27287,0.75593,0.29306,0.28709,0.072399996,0.13701001,0.167,2968217088.0,18.248,2243760128.0,869854976.0,809932032.0,4.85,6403713024.0,39.069,85448000.0,5.479,5.573,40.509,1349251968.0,1096729856.0,0.0,0.0,163908013.0,150420023.0,5329311.0,0.0325,4.06,0.0355,0.085209996,0.88598996,7291.0,0,2109358.414179565,0,58.50103092783506
4,Strong Sell,2.97059,27.0,lululemon athletica inc.,LULU,LULU,Consumer Cyclical,BC,NasdaqGS,True,True,167.41,516.39,2.165,-0.4377309,-0.07722005,-0.3859766,1.072,4981781.0,19853010944.0,20459077632.0,4.5387015,1.876,0.16377,0.59096,0.27299,0.20743,0.21861,0.42422,0.065,10904036352.0,90.031,6443886080.0,2976704000.0,1785750016.0,14.65,1155794048.0,9.747,1762717952.0,0.832,2.266,36.885,1911771008.0,1018826496.0,0.0,0.0,113468082.0,109026169.0,8600626.0,0.0725,1.07,0.099300005,0.04617,0.88831,39000.0,0,47789560.85129457,0,11.42730375426621
2,Hold,2.0625,15.0,Ares Management Corporation,ARES,ARES,Financial Services,CA,NYSE,False,False,141.87,200.485,10.72,-0.15898985,-0.17121463,-0.16088532,1.447,1672240.0,46349918208.0,49006465024.0,10.7249775,10.151,0.099429995,0.38009998,0.24499,0.19549999,0.02394,0.13430001,0.712,4827668992.0,23.218,1834992000.0,1182716032.0,369512992.0,1.76,1531905024.0,6.981,13471129600.0,0.469,0.541,13.228,4058841088.0,1484232192.0,0.029028602,2.3295,215934693.0,213506722.0,7276985.0,0.0332,4.64,0.0354,0.12295,0.83927,3776.0,0,1018379921.3788933,0,80.60795454545455
1,Buy,1.6,15.0,"Crown Holdings, Inc.",CCK,CCK,Consumer Cyclical,FL,NYSE,False,False,93.84,130.42,0.83,-0.025747538,-0.02640859,-0.00442093,0.731,1280610.0,10920685568.0,17043852288.0,3.7343307,1.419,0.04637,0.22301,0.17106001,0.14036,0.068730004,0.22145,0.036,12012999680.0,102.325,2679000064.0,2055000064.0,557000000.0,4.75,936000000.0,8.136,6703000064.0,0.643,1.064,25.129,1312000000.0,989000000.0,0.011046134,0.2147,116375594.0,110880677.0,6047712.0,0.051999997,4.42,0.0691,0.00903,1.01959,23000.0,0,266743605.55533445,0,19.75578947368421
1,Buy,1.74074,24.0,CSX Corporation,CSX,CSX,Industrials,FL,NasdaqGS,True,True,36.6,40.12,0.335648,0.08734405,0.06396578,0.1338184,1.286,19793617.0,68154208256.0,87347855360.0,5.343846,6.185,0.20548001,0.46293,0.46293,0.35071,0.07007,0.22589001,-0.009,14122999808.0,7.492,6537999872.0,6537999872.0,2902000128.0,1.54,618000000.0,0.332,19811000320.0,0.67,0.847,6.849,4615000064.0,922249984.0,0.014170602,0.3312,1862136956.0,1857847080.0,28569432.0,0.0153,1.84,0.0154,0.00247,0.80132,23200.0,0,2892539103.5187616,0,23.766233766233768
3,Sell,2.42105,15.0,Public Service Enterprise Group,PEG,PEG,Utilities,NJ,NYSE,True,False,84.75,95.22,5.166667,-0.06010866,0.02282688,0.02544553,0.538,2688268.0,42297008128.0,65544007680.0,2.5367415,5.887,0.17783001,0.35351002,0.37749,0.29697,0.03199,0.12186,0.158,11134000128.0,22.335,3936000000.0,4203000064.0,1980000000.0,3.96,186000000.0,0.373,23433000960.0,0.556,1.001,33.409,2516999936.0,-965750016.0,0.029167656,0.62119997,499079754.0,497817082.0,8745827.0,0.0175,3.39,0.0228,0.00115,0.76865,13047.0,0,701397855.6676345,0,21.401515151515152
0,Strong Buy,0.0,1.0,CTS Corporation,CTS,CTS,Technology,IL,NYSE,False,False,40.03,86.25,2.11,-0.15208644,-0.02115652,-0.06092938,0.84,203668.0,1179949696.0,1193496832.0,2.1499543,2.291,0.1232,0.37752998,0.22084999,0.17018999,0.06764,0.11964,0.04,520936992.0,17.346,196667008.0,115049000.0,64179000.0,2.11,100101000.0,3.396,113648000.0,1.874,2.605,18.619,105219000.0,66982876.0,0.0039014874,0.0758,29476637.0,28981135.0,454027.0,0.0154,2.58,0.0189,0.02152,0.97277,3549.0,0,6103872.388420431,0,18.971563981042657
