recommendationClass,numberOfAnalystOpinions,allTimeHigh,allTimeLow,52WeekChange,fiftyDayAverageChangePercent,twoHundredDayAverageChangePercent,beta,enterpriseValue,priceToBook,enterpriseToRevenue,profitMargins,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,grossProfits,trailingEps,totalCash,totalCashPerShare,quickRatio,currentRatio,bookValue,operatingCashflow,freeCashflow,trailingAnnualDividendYield,payoutRatio,sharesShort,sharesPercentSharesOut,shortRatio,shortPercentOfFloat,heldPercentInsiders,heldPercentInstitutions,fullTimeEmployees,_debtToEquity,_PER,sector_Basic Materials,sector_Communication Services,sector_Consumer Cyclical,sector_Consumer Defensive,sector_Energy,sector_Financial Services,sector_Healthcare,sector_Industrials,sector_Real Estate,sector_Technology,sector_Utilities,state_AL,state_AR,state_AZ,state_BC,state_CA,state_CO,state_CT,state_DC,state_DE,state_FL,state_GA,state_HI,state_IA,state_ID,state_IL,state_IN,state_KS,state_KY,state_LA,state_MA,state_MD,state_ME,state_MI,state_MN,state_MO,state_MS,state_MT,state_NC,state_ND,state_NE,state_NH,state_NJ,state_NM,state_NSW,state_NV,state_NY,state_OH,state_OK,state_ON,state_OR,state_PA,state_RI,state_SC,state_SD,state_TN,state_TX,state_UNK,state_UT,state_VA,state_VT,state_WA,state_WI,In_SP500_False,In_SP500_True,In_NASDAQ_False,In_NASDAQ_True,has_benefits_0,has_benefits_1
0,1.1458357623641717,1.7464735311212958,-0.7579901522733064,-0.3448312638585956,-0.9309478866643855,-0.5634590738409939,0.016459580574933616,2.0556283663632233,0.199251862760485,0.22627425292852527,0.9911022450837936,1.001386125932178,1.2496355085861832,0.3358202704362905,0.39634908142739245,0.07197962618149412,-0.2065731423332596,-0.044556166483076705,0.8511593735234845,1.7735885770963138,0.9769725346611102,-0.021350732650157273,-0.5026770605296351,-0.8127403787806473,1.7551202145314364,1.115812757770102,1.7607418320807637,-0.3181797053011982,-0.1900764990805072,-0.45878702966375356,-0.974012929620751,-1.1498763504598661,-1.0486601995488938,-0.5561579704841728,0.022859635222887142,1.1857644532087455,0.21570761856584306,0.05742236420228804,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2,0.5361456924069041,1.2024913849363366,-0.7577955554515732,-0.027757814316786485,0.11893441237859771,0.3634308995753492,-1.210250035639171,1.0880641827558641,0.06145412551145485,-0.28159660974204737,0.18014247466364727,-1.1055703223020508,-0.253572098576845,0.15764030321348885,0.32891325573823527,0.26407997955315304,-0.11636683779949251,1.6776535843002134,0.5349967549596216,2.10776533415645,0.8638127639017998,-0.06508455247217879,-0.5785701398609812,-0.46672277332610757,1.5468712219005156,0.9595181077781059,1.145621129031594,0.12343744274424998,-0.11549628229131764,-0.5733662365128527,-0.9760494882140756,-0.8425120447320187,-1.0312166101855293,-0.5321374860440022,-0.19450668872062643,1.7135740768885597,0.26362462442912477,-0.17619388469989833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1,-0.1954823915418171,-1.2195043699402142,0.29024910705128265,-0.17426594015841448,-0.69828990103,-0.7019702110317287,0.9090865779051968,-0.3115190019379118,-0.533005598430236,-0.19941075054637025,0.1759941093914329,0.13313618669035188,0.26909353539805575,0.18898748896252338,0.04433142159224384,-0.004321079905375231,0.03203708256251144,-0.4732475301552524,-0.2813823860451634,-0.3464004795973551,-0.3881253466031781,-0.6233812892001431,-0.9778560543651527,-1.1762353355990982,-0.2183293809578047,-0.2342742176731337,-0.32807818953868,-0.6773160176053347,-0.394869318861172,0.29134624543740023,-0.4770926328495551,-0.08383205718128948,-0.3167347250912746,0.6081290400276254,-0.5531898916770887,1.2615182974614887,0.7378466573257946,-0.12712625042002604,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2,2.1213398742958,1.1919961827184256,1.3317532233691278,0.3512703592713692,-0.012439892715774682,0.19373368308252342,-0.34372324290920786,0.17290525331077666,0.7096512401449121,0.381209181641879,0.9911445751688975,1.2361797295935852,0.4404949799223117,0.25924067862128924,0.5260536912021558,0.1418712179603087,0.11060386393063115,-0.41290494181206694,-0.16550841396976793,0.3307936894715983,1.7064043891371896,3.7787729428849186,1.9501539522979694,1.5409116263659288,0.8189059855122393,-0.053289763737809075,0.1240554868539725,-0.6773160176053347,-0.394869318861172,-0.002831754104079998,-0.5178238047160466,0.11252534150514297,-0.650636231290175,0.22267087556734366,-0.08616410569233175,0.27202808199045747,-1.752421309062504,0.4228770511141215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4,1.7555258323214393,1.6245029394861545,-0.5301222572971638,-0.9813256466607444,-0.7722044209737662,-1.8075033739326694,-0.18712201530740713,-0.13917642937072716,0.24819247231923486,-0.2858288669309688,0.529323346685559,0.5943586724929663,0.3596292772518412,0.21560767465889027,2.2739333766982823,0.9747988132549755,-0.1862039767933767,0.4852024641673805,0.36951278419067424,2.063562059413046,0.7019501531057155,0.40413329861829955,-0.47628300373573884,0.16781627870997207,0.7314461285658099,0.10204362246000064,0.090818117303037,-0.6773160176053347,-0.394869318861172,0.3963952883282682,0.29679963261378256,-2.018689556889988,0.307587158546662,-0.145077993633567,-0.07299702067334932,1.142963403026436,-0.19874252705416381,-0.35450599315626335,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2,0.29226966442399704,0.6182842379039042,0.5356753162792918,-0.462809767590374,-1.6923738256758156,-0.8990147414009602,0.4653830997000953,0.3124147798288465,1.1881145959218113,0.1874404335869353,0.25697155796214816,-0.2259989739679522,0.24681215344650104,0.2090731256556081,-0.11597771216783519,0.134012042228822,1.6964888952500845,-0.3507231744337483,-0.21757818904597045,-0.21555878635687845,0.8672331012499636,0.08579712591379549,-0.9004748312156751,-1.3068373970799279,-0.20614041792688956,0.694933182127887,0.28938286610286207,0.638520132287505,1.264486763500771,0.2569963015795055,-0.5035678945627746,0.37127412484153416,-0.6521840310490348,0.5781740829610599,-0.35131715710672007,-0.06965826949880471,1.3244335831009584,0.7879543163570427,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,0.29226966442399704,0.1623599516688518,-0.696439003144571,-0.21495156896462972,-0.27478051738015496,-0.26751040364514816,-0.7804666665542295,-0.1932018896206621,0.05152590207043107,-0.3119659147057945,0.03236814756599976,-0.8371625614294005,-0.05106530493769751,0.17887072291701112,0.47743110951402207,0.38675266451934276,-0.2705905197443201,0.6390178863301673,-0.11006660229383224,0.3131123795742367,0.5782026455973605,0.21872492037283453,-0.6854422828258588,-0.7331519729591901,0.3757769539680442,-0.0635764810229208,0.07809268068564977,-0.1766063232921055,-0.24193360266322855,0.10265111335449094,-0.12069494011451265,0.27640321927971306,-0.1388595239593476,-0.49492928465628705,0.6720655305291964,0.8686942856907772,0.6573980339790888,-0.21696805062515068,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1.3897117903470788,-1.0773299226941018,-0.7580262810046139,-0.004577875648614228,0.6099484770280623,0.29043595426707164,0.1852409036568742,0.918937351806108,0.41829597445489874,-0.03938567467336777,0.7058821739839306,0.09625386591848428,1.1249322949513523,0.29408792582299426,0.49518429943154024,0.39962898143430897,-0.401535155357853,-0.5474777969269959,0.38150120414157734,-0.25445766813107423,0.33465470236407635,-0.6794296319720496,-0.654131544787919,-0.9512343318916799,-0.7756041942169642,0.848510307279751,0.04961387117957895,-0.03497745864394299,-0.15894799047384614,1.397774292514541,-0.8681118827678732,-1.2646116469020638,-0.9647879066926184,-0.5567231583533533,-0.5666974421321357,0.8731910914078604,1.8442089288633932,-0.15073893344639716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
3,0.29226966442399704,-0.17027264283304785,-0.15616908309675248,-0.2788703472704237,0.20721507343077902,-0.1469666873183185,-1.1162892990780906,0.5740222181090104,-0.3139779645609617,-0.056429088758483834,0.5888394886717004,-0.32944806310817887,0.7806789000253427,0.264652354231991,-0.009325767806790928,0.0979352065493193,0.08441493680792456,-0.36177076006655623,0.05005278925109997,0.17343003138507918,-0.36980002560721825,-0.6747109829912525,-0.7899512315999229,-0.7940098970119004,0.6393123503659215,0.2691708699414554,-0.7558989297081647,0.6448233045858885,0.04762561506566066,0.41036008161122384,-0.8233075937147326,-0.2261475858187271,-0.8484126282324458,-0.569157291475324,-0.7521117744583633,0.5742447867795726,1.1387677193208485,-0.1897902740970898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
0,-1.4148625314563523,-0.2746837489294345,-0.5369742580624127,-0.44996800027718786,-0.22336484931340592,-0.4955835856315248,-0.5908051797920488,-0.4439387114646111,-0.4591318342839742,-0.2620939110741797,0.35759019141911513,-0.2359976410998465,0.14954763570249563,0.19520981495653306,0.4629899857921196,0.09149706259216042,-0.2589509965786727,-0.4241902444630214,-0.4262715973421312,-0.15367420171611249,-0.7332894157997125,-0.3267969374071182,0.38870474720866816,0.3616971087635785,0.10144732074320345,-0.3968156530324211,-0.3152847536468195,-0.5004656767149458,-0.3408752467242176,-2.057150910506069,-0.8660753241745486,-0.7124841192025199,-0.9096402102714954,-0.3772760098885495,0.4063447151170758,-0.10185196755744498,-1.2233761401916445,-0.22991887558567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
